date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-07-03,106349210888.16,1.5083,,,,,0.3753,,,,,5.1684,,,,,0.3753,,,,,5.1847,,,,,0.0553
2026-07-02,106137781045.44,1.5053,,,,,0.3745,,,,,5.1581,,,,,0.3745,,,,,5.1744,,,,,0.0554
2026-07-01,104446342303.68,1.4813,,,,,0.3686,,,,,5.0759,,,,,0.3686,,,,,5.0920,,,,,0.0563
2026-06-30,103600622932.8,1.4693,,,,,0.3656,,,,,5.0348,,,,,0.3656,,,,,5.0507,,,,,0.0567
2026-06-29,105080631831.84,1.4903,,,,,0.3708,,,,,5.1067,,,,,0.3708,,,,,5.1229,,,,,0.0559
2026-06-26,104446342303.68,1.4813,,,,,0.3686,,,,,5.0759,,,,,0.3686,,,,,5.0920,,,,,0.0563
2026-06-25,105503491517.28,1.4963,,,,,0.3723,,,,,5.1273,,,,,0.3723,,,,,5.1435,,,,,0.0557
2026-06-24,105714921360.0,1.4993,,,,,0.3730,,,,,5.1375,,,,,0.3730,,,,,5.1538,,,,,0.0556
2026-06-23,107829219787.2,1.5293,,,,,0.3805,,,,,5.2403,,,,,0.3805,,,,,5.2569,,,,,0.0545
2026-06-22,107194930259.04,1.5203,,,,,0.3783,,,,,5.2095,,,,,0.3783,,,,,5.2260,,,,,0.0548
2026-06-18,105926351202.72,1.5023,,,,,0.3738,,,,,5.1478,,,,,0.3738,,,,,5.1641,,,,,0.0555
2026-06-17,108674939158.08,1.5413,,,,,0.3835,,,,,5.2814,,,,,0.3835,,,,,5.2981,,,,,0.0541
2026-06-16,109520658528.96,1.5533,,,,,0.3865,,,,,5.3225,,,,,0.3865,,,,,5.3393,,,,,0.0537
2026-06-15,110577807742.56,1.5683,,,,,0.3902,,,,,5.3739,,,,,0.3902,,,,,5.3909,,,,,0.0532
2026-06-12,111423527113.44,1.5803,,,,,0.3932,,,,,5.4150,,,,,0.3932,,,,,5.4321,,,,,0.0528
2026-06-11,109732088371.68,1.5563,,,,,0.3872,,,,,5.3328,,,,,0.3872,,,,,5.3497,,,,,0.0536
2026-06-10,109943518214.4,1.5593,,,,,0.3880,,,,,5.3430,,,,,0.3880,,,,,5.3600,,,,,0.0535
2026-06-09,108674939158.08,1.5413,,,,,0.3835,,,,,5.2814,,,,,0.3835,,,,,5.2981,,,,,0.0541
2026-06-08,108252079472.64,1.5353,,,,,0.3820,,,,,5.2608,,,,,0.3820,,,,,5.2775,,,,,0.0543
2026-06-05,108674939158.08,1.5413,,,,,0.3835,,,,,5.2814,,,,,0.3835,,,,,5.2981,,,,,0.0541
2026-06-04,107194930259.04,1.5203,,,,,0.3783,,,,,5.2095,,,,,0.3783,,,,,5.2260,,,,,0.0548
2026-06-03,108463509315.36,1.5383,,,,,0.3827,,,,,5.2711,,,,,0.3827,,,,,5.2878,,,,,0.0542
2026-06-02,109097798843.52,1.5473,,,,,0.3850,,,,,5.3019,,,,,0.3850,,,,,5.3187,,,,,0.0539
2026-06-01,109309228686.24,1.5503,,,,,0.3857,,,,,5.3122,,,,,0.3857,,,,,5.3290,,,,,0.0538
2026-05-29,107617789944.48,1.5263,,,,,0.3798,,,,,5.2300,,,,,0.3798,,,,,5.2466,,,,,0.0546
2026-05-28,105926351202.72,1.5023,,,,,0.3738,,,,,5.1478,,,,,0.3738,,,,,5.1641,,,,,0.0555
2026-05-27,106983500416.32,1.5173,,,,,0.3775,,,,,5.1992,,,,,0.3775,,,,,5.2157,,,,,0.0549
2026-05-26,107617789944.48,1.5263,,,,,0.3798,,,,,5.2300,,,,,0.3798,,,,,5.2466,,,,,0.0546
2026-05-25,107617789944.48,1.5263,,,,,0.3798,,,,,5.2300,,,,,0.3798,,,,,5.2466,,,,,0.0546
2026-05-22,107829219787.2,1.5293,,,,,0.3805,,,,,5.2403,,,,,0.3805,,,,,5.2569,,,,,0.0545
2026-05-21,108252079472.64,1.5353,,,,,0.3820,,,,,5.2608,,,,,0.3820,,,,,5.2775,,,,,0.0543
2026-05-20,108674939158.08,1.5413,,,,,0.3835,,,,,5.2814,,,,,0.3835,,,,,5.2981,,,,,0.0541
2026-05-19,109097798843.52,1.5473,,,,,0.3850,,,,,5.3019,,,,,0.3850,,,,,5.3187,,,,,0.0539
2026-05-18,109309228686.24,1.5503,,,,,0.3857,,,,,5.3122,,,,,0.3857,,,,,5.3290,,,,,0.0538
2026-05-15,110577807742.56,1.5683,,,,,0.3902,,,,,5.3739,,,,,0.3902,,,,,5.3909,,,,,0.0532
2026-05-14,111000667428.0,1.5743,,,,,0.3917,,,,,5.3944,,,,,0.3917,,,,,5.4115,,,,,0.0530
2026-05-13,111000667428.0,1.5743,,,,,0.3917,,,,,5.3944,,,,,0.3917,,,,,5.4115,,,,,0.0530
