date,资产负债率
2026-03-31,0.9216
2025-12-31,0.9233
2025-09-30,0.9209
2025-06-30,0.919
2025-03-31,0.9188
2024-12-31,0.9151
2024-09-30,0.9118
2024-06-30,0.9141
2024-03-31,0.9133
2023-12-31,0.9124
2023-09-30,0.9116
2023-06-30,0.9122
2023-03-31,0.9093
2022-12-31,0.9083
2022-09-30,0.9028
2022-06-30,0.9053
2022-03-31,0.9033
2021-12-31,0.9029
2021-09-30,0.9237
2021-06-30,0.9258
2021-03-31,0.9247
2020-12-31,0.9237
2020-09-30,0.9248
2020-06-30,0.9261
2020-03-31,0.9222
2019-12-31,0.9237
2019-09-30,0.9234
2019-06-30,0.9253
2019-03-31,0.9244
2018-12-31,0.9245
2018-09-30,0.9251
2018-06-30,0.926
2018-03-31,0.9234
2017-12-31,0.9242
2017-09-30,0.9323
2017-06-30,0.9331
2017-03-31,0.9317
2016-12-31,0.9321
2016-09-30,0.93
