date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,106349210888.16,1.5083,,,,,0.0553,0.3753,,,,,5.1684,,,,,0.3753,,,,,5.1847,,,,
2026-07-02,106137781045.44,1.5053,,,,,0.0554,0.3745,,,,,5.1581,,,,,0.3745,,,,,5.1744,,,,
2026-07-01,104446342303.68,1.4813,,,,,0.0563,0.3686,,,,,5.0759,,,,,0.3686,,,,,5.0920,,,,
2026-06-30,103600622932.8,1.4693,,,,,0.0567,0.3656,,,,,5.0348,,,,,0.3656,,,,,5.0507,,,,
2026-06-29,105080631831.84,1.4903,,,,,0.0559,0.3708,,,,,5.1067,,,,,0.3708,,,,,5.1229,,,,
2026-06-26,104446342303.68,1.4813,,,,,0.0563,0.3686,,,,,5.0759,,,,,0.3686,,,,,5.0920,,,,
2026-06-25,105503491517.28,1.4963,,,,,0.0557,0.3723,,,,,5.1273,,,,,0.3723,,,,,5.1435,,,,
2026-06-24,105714921360.0,1.4993,,,,,0.0556,0.3730,,,,,5.1375,,,,,0.3730,,,,,5.1538,,,,
2026-06-23,107829219787.2,1.5293,,,,,0.0545,0.3805,,,,,5.2403,,,,,0.3805,,,,,5.2569,,,,
2026-06-22,107194930259.04,1.5203,,,,,0.0548,0.3783,,,,,5.2095,,,,,0.3783,,,,,5.2260,,,,
2026-06-18,105926351202.72,1.5023,,,,,0.0555,0.3738,,,,,5.1478,,,,,0.3738,,,,,5.1641,,,,
2026-06-17,108674939158.08,1.5413,,,,,0.0541,0.3835,,,,,5.2814,,,,,0.3835,,,,,5.2981,,,,
2026-06-16,109520658528.96,1.5533,,,,,0.0537,0.3865,,,,,5.3225,,,,,0.3865,,,,,5.3393,,,,
2026-06-15,110577807742.56,1.5683,,,,,0.0532,0.3902,,,,,5.3739,,,,,0.3902,,,,,5.3909,,,,
2026-06-12,111423527113.44,1.5803,,,,,0.0528,0.3932,,,,,5.4150,,,,,0.3932,,,,,5.4321,,,,
2026-06-11,109732088371.68,1.5563,,,,,0.0536,0.3872,,,,,5.3328,,,,,0.3872,,,,,5.3497,,,,
2026-06-10,109943518214.4,1.5593,,,,,0.0535,0.3880,,,,,5.3430,,,,,0.3880,,,,,5.3600,,,,
2026-06-09,108674939158.08,1.5413,,,,,0.0541,0.3835,,,,,5.2814,,,,,0.3835,,,,,5.2981,,,,
2026-06-08,108252079472.64,1.5353,,,,,0.0543,0.3820,,,,,5.2608,,,,,0.3820,,,,,5.2775,,,,
