date,归属于母公司普通股股东的净利润,累积同比,营业收入,基本每股收益
2026-03-31,1799783004,0.0523,10285128726,1.319
2025-12-31,4588101137,0.056,32473493664,3.363
2025-09-30,5274352712,0.057,29366671110,3.867
2025-06-30,3904325353,0.0721,20491167745,2.862
2025-03-31,1710355183,0.0708,10445537525,1.254
2024-12-31,4344983858,0.0181,32137830111,3.191
2024-09-30,4989889602,0.0167,28959288497,3.667
2024-06-30,3641652772,0.0631,20068307930,2.672
2024-03-31,1597244544,0.1006,10150014997,1.175
2023-12-31,4267851406,0.1502,33936522741,3.139
2023-09-30,4907707530,0.1502,30978047855,3.612
2023-06-30,3425652286,0.2011,21591789633,2.516
2023-03-31,1451240380,0.2886,10706181672,1.071
2022-12-31,3710628593,0.1759,32171565624,2.736
2022-09-30,4266993082,0.1817,29109843175,3.149
2022-06-30,2852094449,0.1807,19272658300,2.1
2022-03-31,1126228090,0.102,9208137288,0.834
2021-12-31,3155455810,0.4334,30166805377,2.328
2021-09-30,3610797933,0.2125,26771391438,2.665
2021-06-30,2415521329,0.3022,18291160751,1.78
2021-03-31,1022011288,0.9026,8927731306,0.756
2020-12-31,2201323556,0.1886,27759710926,1.629
2020-09-30,2978011508,0.1517,24422079478,2.204
2020-06-30,1854983102,0.1377,15678991336,1.373
2020-03-31,537178217,-0.3348,6292946111,0.398
2019-12-31,1852103376,0.3023,27983760363,1.371
2019-09-30,2585748595,0.2315,24896834162,1.914
2019-06-30,1630516036,0.2521,16550665464,1.207
2019-03-31,807528602,0.2104,7951216293,0.598
2018-12-31,1422199705,0.126,26575255205,1.053
2018-09-30,2099747417,0.1232,23640829195,1.554
2018-06-30,1302224985,0.1339,15153690513,0.964
2018-03-31,667158070,0.1516,7251708139,0.494
2017-12-31,1263017188,0.2104,26277051684,0.935
2017-09-30,1869488697,0.016,23384988885,1.384
2017-06-30,1148467993,0.0743,15062721002,0.85
2017-03-31,579311983,0.0851,7039943927,0.429
2016-12-31,1043486428,-0.3909,26106343738,0.772
2016-09-30,1840050057,0.0543,23036385101,1.362
