date,资产合计,货币资金,流动负债合计,资产负债率,速动比率,所有者权益合计,长期负债合计,应收账款,有息负债率,流动资产合计,流动比率,负债合计
2026-03-31,53368249646,84389110185.06,5879530127,0.3763,1.5475,33286304527,0,126976417,0.0019,0,1.7057,20081945119
2025-12-31,52131585698,83488741405.2,7674071543,0.3955,1.2549,31512195877,0,126983141,0.0022,0,1.458,20619389821
2025-09-30,51390464744,89927852264.96,5701262186,0.3735,1.4539,32198283742,0,139602602,0.0022,0,1.5867,19192181002
2025-06-30,52369000017,94757108894.48,5439176353,0.4124,1.3003,30770403936,0,168937584,0.0023,0,1.4312,21598596081
2025-03-31,51291152685,104033647052.88,5659574089,0.3847,1.4074,31557663335,0,120754738,0.0021,0,1.5672,19733489350
2024-12-31,51420385832,110390804084.96,8312560682,0.4193,1.2196,29859542011,0,102420347,0.0021,0,1.4375,21560843821
2024-09-30,50371239687,106884818339.8,5444130602,0.3911,1.7256,30672244788,0,156033291,0.0022,0,1.8673,19698994899
2024-06-30,52805909965,99272600262.76,5560277517,0.4467,1.5082,29215608926,0,139704633,0.0023,0,1.6324,23590301039
2024-03-31,50459434299,113733086215.56,5936296349,0.4085,1.6625,29845324302,0,103336693,0.0024,0,1.8286,20614109997
2023-12-31,49256011349,101973709903,7691295634,0.4264,1.5286,28254747175,0,100391321,0.0023,0,1.7503,21001264174
2023-09-30,49750529611,119315799813.4,5825475344,0.4186,1.6793,28924250806,0,166971198,0.0025,0,1.8197,20826278805
2023-06-30,52331125266,141375444027.7,5753508818,0.4776,1.475,27338625653,0,175496574,0.0026,0,1.6017,24992499613
2023-03-31,50136236052,164526474474,6191964504,0.4461,1.6073,27769675415,0,140617186,0.0073,0,1.7666,22366560637
2022-12-31,50311699796,146655024925,8909252504,0.4778,1.4014,26272312535,0,119599728,0.0074,0,1.6268,24039387261
2022-09-30,49318248328,144894479016.6,5976535618,0.455,1.5938,26876478638,0,130670715,0.0083,0,1.7247,22441769690
2022-06-30,50077006806,141783750088.56,5946220902,0.4947,1.4402,25303003195,0,171418869,0.008,0,1.5675,24774003611
2022-03-31,46988567972,107797672194.93,5993637031,0.4685,1.491,24975734326,0,129364574,0.0191,0,1.6527,22012833646
2021-12-31,46563004491,135071124507,8123275272,0.489,1.3822,23793691342,0,124729816,0.0087,0,1.586,22769313149
2021-09-30,45328578511,109881316301.35,5365264721,0.4658,1.5641,24213834920,0,153351397,0.0312,0,1.6848,21114743591
2021-06-30,45236910933,157801741341.75,5244815963,0.4925,1.4276,22956466099,0,197266935,0.0135,0,1.5629,22280444834
2021-03-31,42978389188,115464431768.8,5390702856,0.477,1.4535,22477877823,0,141519585,0.0189,0,1.6229,20500511365
2020-12-31,41514185835,135599769823,6567320256,0.4853,1.3609,21368052166,0,119506428,0.0207,0,1.5879,20146133669
2020-09-30,40921522405,102463770108,5011727220,0.4608,1.5049,22064020909,0,166035946,0.0102,0,1.6606,18857501496
2020-06-30,40504793818,103350184200,3171954571,0.4859,1.3711,20823902637,0,148968802,0.0524,0,1.5303,19680891181
2020-03-31,36927689734,61753423788,4959657988,0.4524,1.428,20222484230,0,151460345,0.0201,0,1.6312,16705205504
2019-12-31,37312383547,68900122800,6275719703,0.4663,1.3257,19913370856,209180,151069427,0.0089,0,1.5727,17399012691
2019-09-30,36578469070,65522665800,3981404765,0.4335,1.4601,20722906003,207860,209095524,0.0144,0,1.6106,15855563067
2019-06-30,37456413023,67454571204,4125343897,0.4733,1.3002,19728389555,418880,187260826,0.014,0,1.4531,17728023468
2019-03-31,35217612873,58321927476,4232570457,0.4453,1.3365,19536949278,405120,95196732,0.0099,0,1.5412,15680663595
2018-12-31,34075265005,47095260408,5237538511,0.4515,1.2357,18689951387,630480,110705784,0.0087,0,1.4694,15385313618
2018-09-30,34575778365,46973671956,3863806028,0.4388,1.3559,19404152190,644580,168232237,0.0086,0,1.504,15171626175
2018-06-30,34311983268,59213576124,4007867450,0.4591,1.1991,18557718851,821600,0,0.0083,0,1.3527,15754264417
2018-03-31,32698603094,54620234604,0,0.4347,1.218,18485012122,830080,136612363,0.0083,0,1.4028,14213590972
2017-12-31,30974711779,53134153524,0,0.4262,1.1063,17774504701,1047900,141397244,0.0092,0,1.3464,13200207078
2017-09-30,32553153855,41623780068,0,0.436,1.1979,18361553840,1051400,257063687,0.0089,0,1.3526,14191600015
2017-06-30,32661150452,47419496280,0,0.4614,1.0931,17590792601,1250520,226068380,0.0102,0,1.2536,15070357851
2017-03-31,30868477412,44258196528,0,0.4335,1.0933,17485980725,1189920,129972451,0.0098,0,1.2938,13382496687
2016-12-31,30077158487,39772933632,0,0.4388,0.9864,16879139569,1376480,124647040,0.0101,0,1.226,13198018918
2016-09-30,31572707581,42974762868,0,0.4385,1.1021,17728682975,1404480,184684143,0.0104,0,1.2657,13844024606
