date,市值(元),股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,72820735558.98,0.0440,15.5682,,,,,2.2447,,,,,17.2035,,,,,2.3389,,,,,2.2536,,,,
2026-07-02,72179563852.11,0.0444,15.4311,,,,,2.2249,,,,,17.0520,,,,,2.3183,,,,,2.2338,,,,
2026-07-01,72152279949.69,0.0444,15.4253,,,,,2.2241,,,,,17.0456,,,,,2.3175,,,,,2.2329,,,,
2026-06-30,71251911169.83,0.0450,15.2328,,,,,2.1963,,,,,16.8328,,,,,2.2885,,,,,2.2050,,,,
2026-06-29,72302341413.0,0.0443,15.4574,,,,,2.2287,,,,,17.0810,,,,,2.3223,,,,,2.2376,,,,
2026-06-26,70378826292.39,0.0456,15.0462,,,,,2.1694,,,,,16.6266,,,,,2.2605,,,,,2.1780,,,,
2026-06-25,71592959950.08,0.0448,15.3057,,,,,2.2068,,,,,16.9134,,,,,2.2995,,,,,2.2156,,,,
2026-06-24,71197343364.99,0.0450,15.2211,,,,,2.1946,,,,,16.8200,,,,,2.2868,,,,,2.2034,,,,
2026-06-23,72588822388.41,0.0442,15.5186,,,,,2.2375,,,,,17.1487,,,,,2.3315,,,,,2.2464,,,,
2026-06-22,73557400924.32,0.0436,15.7257,,,,,2.2674,,,,,17.3775,,,,,2.3626,,,,,2.2764,,,,
2026-06-18,73530117021.9,0.0436,15.7199,,,,,2.2666,,,,,17.3711,,,,,2.3617,,,,,2.2756,,,,
2026-06-17,76531346288.1,0.0419,16.3615,,,,,2.3591,,,,,18.0801,,,,,2.4581,,,,,2.3684,,,,
2026-06-16,78850477993.8,0.0407,16.8573,,,,,2.4306,,,,,18.6280,,,,,2.5326,,,,,2.4402,,,,
2026-06-15,81169609699.5,0.0395,17.3531,,,,,2.5020,,,,,19.1758,,,,,2.6071,,,,,2.5120,,,,
2026-06-12,82615656527.76,0.0388,17.6622,,,,,2.5466,,,,,19.5175,,,,,2.6535,,,,,2.5567,,,,
2026-06-11,82793001893.49,0.0387,17.7002,,,,,2.5521,,,,,19.5594,,,,,2.6592,,,,,2.5622,,,,
2026-06-10,83256828234.63,0.0385,17.7993,,,,,2.5664,,,,,19.6689,,,,,2.6741,,,,,2.5766,,,,
2026-06-09,81292387260.39,0.0394,17.3793,,,,,2.5058,,,,,19.2049,,,,,2.6110,,,,,2.5158,,,,
2026-06-08,82042694576.94,0.0391,17.5398,,,,,2.5290,,,,,19.3821,,,,,2.6351,,,,,2.5390,,,,
2026-06-05,81442448723.7,0.0394,17.4114,,,,,2.5105,,,,,19.2403,,,,,2.6158,,,,,2.5204,,,,
2026-06-04,81074116041.03,0.0395,17.3327,,,,,2.4991,,,,,19.1533,,,,,2.6040,,,,,2.5090,,,,
2026-06-03,81606152138.22,0.0393,17.4464,,,,,2.5155,,,,,19.2790,,,,,2.6211,,,,,2.5255,,,,
2026-06-02,83229544332.21,0.0385,17.7935,,,,,2.5655,,,,,19.6625,,,,,2.6732,,,,,2.5757,,,,
2026-06-01,83857074087.87,0.0382,17.9276,,,,,2.5849,,,,,19.8107,,,,,2.6934,,,,,2.5951,,,,
2026-05-29,83406889697.94,0.0384,17.8314,,,,,2.5710,,,,,19.7044,,,,,2.6789,,,,,2.5812,,,,
2026-05-28,81715287747.9,0.0392,17.4698,,,,,2.5189,,,,,19.3048,,,,,2.6246,,,,,2.5289,,,,
2026-05-27,82670224332.6,0.0388,17.6739,,,,,2.5483,,,,,19.5304,,,,,2.6553,,,,,2.5584,,,,
2026-05-26,82438311162.03,0.0389,17.6243,,,,,2.5412,,,,,19.4756,,,,,2.6478,,,,,2.5512,,,,
2026-05-25,82206397991.46,0.0390,17.5747,,,,,2.5340,,,,,19.4208,,,,,2.6404,,,,,2.5441,,,,
2026-05-22,82983989210.43,0.0386,17.7410,,,,,2.5580,,,,,19.6045,,,,,2.6654,,,,,2.5681,,,,
2026-05-21,83502383356.41,0.0384,17.8518,,,,,2.5740,,,,,19.7270,,,,,2.6820,,,,,2.5842,,,,
2026-05-20,84320900429.01,0.0380,18.0268,,,,,2.5992,,,,,19.9203,,,,,2.7083,,,,,2.6095,,,,
2026-05-19,84157197014.49,0.0381,17.9918,,,,,2.5941,,,,,19.8816,,,,,2.7030,,,,,2.6044,,,,
2026-05-18,84170838965.7,0.0381,17.9947,,,,,2.5946,,,,,19.8849,,,,,2.7035,,,,,2.6049,,,,
2026-05-15,84252690672.96,0.0381,18.0122,,,,,2.5971,,,,,19.9042,,,,,2.7061,,,,,2.6074,,,,
2026-05-14,84784726770.15,0.0378,18.1260,,,,,2.6135,,,,,20.0299,,,,,2.7232,,,,,2.6239,,,,
2026-05-13,84784726770.15,0.0378,18.1260,,,,,2.6135,,,,,20.0299,,,,,2.7232,,,,,2.6239,,,,
2026-05-12,85616885793.96,0.0374,18.3039,,,,,2.6391,,,,,20.2265,,,,,2.7499,,,,,2.6496,,,,
