date,净利润率,净资产收益率(ROE),资本回报率(ROIC),总资产收益率(ROA),毛利率(GM)
2026-03-31,0.1489,0.1484,0.1484,0.092,0.422
2025-12-31,0.1453,0.1537,0.1536,0.0911,0.4184
2025-09-30,0.1464,0.1515,0.1515,0.0936,0.4195
2025-06-30,0.1457,0.1582,0.1581,0.0902,0.4156
2025-03-31,0.142,0.15,0.1501,0.0905,0.4061
2024-12-31,0.1398,0.1546,0.1547,0.0892,0.4023
2024-09-30,0.1403,0.1503,0.1506,0.0895,0.4044
2024-06-30,0.1415,0.1623,0.1624,0.0873,0.4012
2024-03-31,0.1348,0.1562,0.1556,0.0894,0.3931
2023-12-31,0.1281,0.1595,0.1588,0.0873,0.3866
2023-09-30,0.1304,0.1591,0.1581,0.0896,0.3843
2023-06-30,0.1269,0.1663,0.1652,0.0855,0.3762
2023-03-31,0.1225,0.1564,0.1533,0.085,0.3704
2022-12-31,0.1183,0.152,0.1503,0.0785,0.3685
2022-09-30,0.1201,0.1529,0.1483,0.0825,0.3221
2022-06-30,0.1181,0.1524,0.1501,0.0772,0.3306
2022-03-31,0.1102,0.1414,0.1374,0.0746,0.3459
2021-12-31,0.1079,0.1442,0.1413,0.0739,0.3671
2021-09-30,0.0974,0.1268,0.1228,0.068,0.4203
2021-06-30,0.0946,0.1313,0.1243,0.067,0.4212
2021-03-31,0.093,0.1324,0.1284,0.0708,0.4187
2020-12-31,0.0838,0.1127,0.1101,0.059,0.4042
2020-09-30,0.0841,0.1081,0.1054,0.0597,0.4053
2020-06-30,0.079,0.1057,0.0989,0.055,0.3988
2020-03-31,0.0623,0.0825,0.0799,0.0455,0.3902
2019-12-31,0.0689,0.0999,0.0979,0.054,0.3896
2019-09-30,0.0732,0.1015,0.1,0.0573,0.3861
2019-06-30,0.0676,0.0987,0.0974,0.0527,0.3822
2019-03-31,0.0624,0.0895,,0.0501,0.3764
2018-12-31,0.0587,0.0856,0.0848,0.048,0.377
2018-09-30,0.0617,0.0867,,0.0488,0.3774
2018-06-30,0.0589,0.086,,0.0464,0.3907
2018-03-31,0.0559,0.0823,,0.0466,0.4032
2017-12-31,0.0526,0.0798,,0.0453,0.4055
2017-09-30,0.0446,0.0653,,0.0368,0.4113
2017-06-30,0.0475,0.0733,,0.0396,0.4217
2017-03-31,0.0449,0.069,,0.0392,0.4148
2016-12-31,0.0424,0.0669,,0.0378,0.4153
2016-09-30,0.0682,0.1055,,0.0587,0.4138
