date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,72820735558.98,2.2447,,,,,2.2536,,,,,15.5682,,,,,0.0440,2.3389,,,,,17.2035,,,,
2026-07-02,72179563852.11,2.2249,,,,,2.2338,,,,,15.4311,,,,,0.0444,2.3183,,,,,17.0520,,,,
2026-07-01,72152279949.69,2.2241,,,,,2.2329,,,,,15.4253,,,,,0.0444,2.3175,,,,,17.0456,,,,
2026-06-30,71251911169.83,2.1963,,,,,2.2050,,,,,15.2328,,,,,0.0450,2.2885,,,,,16.8328,,,,
2026-06-29,72302341413.0,2.2287,,,,,2.2376,,,,,15.4574,,,,,0.0443,2.3223,,,,,17.0810,,,,
2026-06-26,70378826292.39,2.1694,,,,,2.1780,,,,,15.0462,,,,,0.0456,2.2605,,,,,16.6266,,,,
2026-06-25,71592959950.08,2.2068,,,,,2.2156,,,,,15.3057,,,,,0.0448,2.2995,,,,,16.9134,,,,
2026-06-24,71197343364.99,2.1946,,,,,2.2034,,,,,15.2211,,,,,0.0450,2.2868,,,,,16.8200,,,,
2026-06-23,72588822388.41,2.2375,,,,,2.2464,,,,,15.5186,,,,,0.0442,2.3315,,,,,17.1487,,,,
2026-06-22,73557400924.32,2.2674,,,,,2.2764,,,,,15.7257,,,,,0.0436,2.3626,,,,,17.3775,,,,
2026-06-18,73530117021.9,2.2666,,,,,2.2756,,,,,15.7199,,,,,0.0436,2.3617,,,,,17.3711,,,,
2026-06-17,76531346288.1,2.3591,,,,,2.3684,,,,,16.3615,,,,,0.0419,2.4581,,,,,18.0801,,,,
2026-06-16,78850477993.8,2.4306,,,,,2.4402,,,,,16.8573,,,,,0.0407,2.5326,,,,,18.6280,,,,
2026-06-15,81169609699.5,2.5020,,,,,2.5120,,,,,17.3531,,,,,0.0395,2.6071,,,,,19.1758,,,,
2026-06-12,82615656527.76,2.5466,,,,,2.5567,,,,,17.6622,,,,,0.0388,2.6535,,,,,19.5175,,,,
2026-06-11,82793001893.49,2.5521,,,,,2.5622,,,,,17.7002,,,,,0.0387,2.6592,,,,,19.5594,,,,
2026-06-10,83256828234.63,2.5664,,,,,2.5766,,,,,17.7993,,,,,0.0385,2.6741,,,,,19.6689,,,,
2026-06-09,81292387260.39,2.5058,,,,,2.5158,,,,,17.3793,,,,,0.0394,2.6110,,,,,19.2049,,,,
2026-06-08,82042694576.94,2.5290,,,,,2.5390,,,,,17.5398,,,,,0.0391,2.6351,,,,,19.3821,,,,
