date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率
2026-07-03,185115349189.12,5.9970,,,,,4.8796,,,,,0.3750,,,,,0.3732,,,,,0.0908,,,,,0.0607
2026-07-02,183462533571.36,5.9435,,,,,4.8360,,,,,0.3716,,,,,0.3698,,,,,0.0900,,,,,0.0612
2026-07-01,182222921858.04,5.9033,,,,,4.8033,,,,,0.3691,,,,,0.3673,,,,,0.0894,,,,,0.0616
2026-06-30,179330494526.96,5.8096,,,,,4.7271,,,,,0.3632,,,,,0.3615,,,,,0.0880,,,,,0.0626
2026-06-29,181809717953.6,5.8899,,,,,4.7924,,,,,0.3683,,,,,0.3665,,,,,0.0892,,,,,0.0618
2026-06-26,181809717953.6,5.8899,,,,,4.7924,,,,,0.3683,,,,,0.3665,,,,,0.0892,,,,,0.0618
2026-06-25,183462533571.36,5.9435,,,,,4.8360,,,,,0.3716,,,,,0.3698,,,,,0.0900,,,,,0.0612
2026-06-24,185115349189.12,5.9970,,,,,4.8796,,,,,0.3750,,,,,0.3732,,,,,0.0908,,,,,0.0607
2026-06-23,188834184329.08,6.1175,,,,,4.9776,,,,,0.3825,,,,,0.3807,,,,,0.0926,,,,,0.0595
2026-06-22,192139815564.6,6.2246,,,,,5.0647,,,,,0.3892,,,,,0.3873,,,,,0.0942,,,,,0.0585
2026-06-18,190486999946.84,6.1710,,,,,5.0212,,,,,0.3858,,,,,0.3840,,,,,0.0934,,,,,0.0590
2026-06-17,195445446800.12,6.3317,,,,,5.1519,,,,,0.3959,,,,,0.3940,,,,,0.0959,,,,,0.0575
2026-06-16,194619038991.24,6.3049,,,,,5.1301,,,,,0.3942,,,,,0.3923,,,,,0.0955,,,,,0.0577
2026-06-15,196271854609.0,6.3584,,,,,5.1736,,,,,0.3975,,,,,0.3957,,,,,0.0963,,,,,0.0572
2026-06-12,197098262417.88,6.3852,,,,,5.1954,,,,,0.3992,,,,,0.3973,,,,,0.0967,,,,,0.0570
2026-06-11,195858650704.56,6.3450,,,,,5.1628,,,,,0.3967,,,,,0.3948,,,,,0.0961,,,,,0.0573
2026-06-10,195858650704.56,6.3450,,,,,5.1628,,,,,0.3967,,,,,0.3948,,,,,0.0961,,,,,0.0573
2026-06-09,194205835086.8,6.2915,,,,,5.1192,,,,,0.3934,,,,,0.3915,,,,,0.0953,,,,,0.0578
2026-06-08,194205835086.8,6.2915,,,,,5.1192,,,,,0.3934,,,,,0.3915,,,,,0.0953,,,,,0.0578
2026-06-05,195032242895.68,6.3183,,,,,5.1410,,,,,0.3950,,,,,0.3932,,,,,0.0957,,,,,0.0576
2026-06-04,194619038991.24,6.3049,,,,,5.1301,,,,,0.3942,,,,,0.3923,,,,,0.0955,,,,,0.0577
2026-06-03,197098262417.88,6.3852,,,,,5.1954,,,,,0.3992,,,,,0.3973,,,,,0.0967,,,,,0.0570
2026-06-02,200817097557.84,6.5057,,,,,5.2935,,,,,0.4068,,,,,0.4048,,,,,0.0985,,,,,0.0559
2026-06-01,200403893653.4,6.4923,,,,,5.2826,,,,,0.4059,,,,,0.4040,,,,,0.0983,,,,,0.0560
2026-05-29,199577485844.52,6.4655,,,,,5.2608,,,,,0.4042,,,,,0.4023,,,,,0.0979,,,,,0.0563
2026-05-28,195445446800.12,6.3317,,,,,5.1519,,,,,0.3959,,,,,0.3940,,,,,0.0959,,,,,0.0575
2026-05-27,195445446800.12,6.3317,,,,,5.1519,,,,,0.3959,,,,,0.3940,,,,,0.0959,,,,,0.0575
2026-05-26,196685058513.44,6.3718,,,,,5.1845,,,,,0.3984,,,,,0.3965,,,,,0.0965,,,,,0.0571
2026-05-25,197098262417.88,6.3852,,,,,5.1954,,,,,0.3992,,,,,0.3973,,,,,0.0967,,,,,0.0570
2026-05-22,197511466322.32,6.3986,,,,,5.2063,,,,,0.4001,,,,,0.3981,,,,,0.0969,,,,,0.0569
2026-05-21,198337874131.2,6.4254,,,,,5.2281,,,,,0.4017,,,,,0.3998,,,,,0.0973,,,,,0.0566
2026-05-20,199990689748.96,6.4789,,,,,5.2717,,,,,0.4051,,,,,0.4031,,,,,0.0981,,,,,0.0562
2026-05-19,202056709271.16,6.5458,,,,,5.3261,,,,,0.4093,,,,,0.4073,,,,,0.0991,,,,,0.0556
2026-05-18,202056709271.16,6.5458,,,,,5.3261,,,,,0.4093,,,,,0.4073,,,,,0.0991,,,,,0.0556
2026-05-15,203709524888.92,6.5994,,,,,5.3697,,,,,0.4126,,,,,0.4106,,,,,0.0999,,,,,0.0551
2026-05-14,204122728793.36,6.6128,,,,,5.3806,,,,,0.4134,,,,,0.4115,,,,,0.1001,,,,,0.0550
2026-05-13,205362340506.68,6.6529,,,,,5.4133,,,,,0.4160,,,,,0.4140,,,,,0.1007,,,,,0.0547
2026-05-12,206188748315.56,6.6797,,,,,5.4350,,,,,0.4176,,,,,0.4156,,,,,0.1011,,,,,0.0545
2026-05-11,206601952220.0,6.6931,,,,,5.4459,,,,,0.4185,,,,,0.4165,,,,,0.1013,,,,,0.0544
2026-05-08,202883117080.04,6.5726,,,,,5.3479,,,,,0.4109,,,,,0.4090,,,,,0.0995,,,,,0.0554
2026-05-07,202883117080.04,6.5726,,,,,5.3479,,,,,0.4109,,,,,0.4090,,,,,0.0995,,,,,0.0554
2026-05-06,203296320984.48,6.5860,,,,,5.3588,,,,,0.4118,,,,,0.4098,,,,,0.0997,,,,,0.0552
2026-04-30,202883117080.04,6.5726,,,,,5.3479,,,,,0.4109,,,,,0.4090,,,,,0.0995,,,,,0.0554
