date,营业收入,累积同比,归属于母公司普通股股东的净利润,基本每股收益
2026-03-31,511847191000,-0.0785,13881336000,0.33
2025-12-31,2082141811000,-0.0481,39069002000,0.94
2025-09-30,1558219881000,-0.042,38182402000,0.92
2025-06-30,1108307435000,-0.0317,30404353000,0.73
2025-03-31,555342204000,0.011,15013469000,0.36
2024-12-31,2187147839000,-0.0346,46187099000,1.11
2024-09-30,1626540973000,-0.0267,39703061000,0.96
2024-06-30,1144619035000,0.0281,29449876000,0.71
2024-03-31,549319265000,0.0467,14921852000,0.35
2023-12-31,2265529244000,0.1024,54264173000,1.31
2023-09-30,1671241806000,0.0881,43652883000,1.05
2023-06-30,1113313056000,0.0491,28972340000,0.7
2023-03-31,524828043000,0.0812,14744751000,0.35
2022-12-31,2055052070000,0.0858,50950301000,1.23
2022-09-30,1535273749000,0.1482,43513560000,1.05
2022-06-30,1060771087000,0.1324,28503338000,0.68
2022-03-31,485438959000,0.1994,12922672000,0.31
2021-12-31,1891338970000,0.1711,51407661000,1.25
2021-09-30,1337047568000,0.2425,37830104000,0.92
2021-06-30,936715963000,0.2864,25642823000,0.62
2021-03-31,404730157000,0.5341,11014174000,0.27
2020-12-31,1615023327000,0.1375,44944250000,1.07
2020-09-30,1076106209000,0.1053,31136838000,0.74
2020-06-30,728187767000,0.0624,19839785000,0.47
2020-03-31,263830618000,-0.1134,7572374000,0.18
2019-12-31,1419836588000,0.1839,41881399000,0.97
2019-09-30,973599119000,0.1583,29980121000,0.68
2019-06-30,685419315000,0.1638,20308445000,0.45
2019-03-31,297576769000,0.1015,8857917000,0.21
2018-12-31,1199324525000,0.1378,38241324000,0.87
2018-09-30,840510102000,0.0903,27299468000,0.62
2018-06-30,588926767000,0.1212,19137676000,0.42
2018-03-31,270160699000,0.1505,8144599000,0.27
2017-12-31,1054106503000,0.0983,32941799000,1.07
2017-09-30,770899430000,0.1503,25782179000,0.83
2017-06-30,525254692000,0.1183,18037729000,0.57
2017-03-31,234827342000,0.097,7083478000,0.24
2016-12-31,959765486000,0.0899,29870104000,0.96
2016-09-30,670200687000,0.0963,24765623000,0.79
