date,metric,value
2026-03-31,资本回报率(ROIC),0.038
2026-03-31,长期负债合计,539803611000
2026-03-31,自由现金流量,17573502000
2026-03-31,资产合计,3613674212000
2026-03-31,毛利率(GM),0.0996
2026-03-31,资产负债率,0.768
2026-03-31,应收账款,442286697000
2026-03-31,所有者权益合计,838374887000
2026-03-31,流动资产合计,622518851000
2026-03-31,流动比率,1.2765
2026-03-31,负债合计,2775299325000
2026-03-31,流动负债合计,386556860000
2026-03-31,净利润率,0.0255
2026-03-31,经营活动产生的现金流量净额,-76986745000
2026-03-31,净资产收益率(ROE),0.0637
2026-03-31,经营活动产生的现金流量净额对净利润的比率,0.7583
2026-03-31,基本每股收益,0.33
2026-03-31,货币资金,207015156124.44
2026-03-31,总资产收益率(ROA),0.0151
2026-03-31,营业收入,511847191000
2026-03-31,有息负债率,0.2728
2026-03-31,归属于母公司普通股股东的净利润,13881336000
2026-03-31,速动比率,0.5658
