date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-02,153349502705.4,4.1313,0.0348,14.2793,7.4666,5.6716,3.4060,0.0000,19.1527,9.5845,5.9701,0.0522,13.9646,0.0046,54.4155,37.7663,21.6405
2026-06-01,156314015764.86,4.2112,0.0390,14.2793,7.4666,5.6716,3.4719,0.0008,19.1527,9.5845,5.9701,0.0512,14.2346,0.0079,54.4155,37.7663,21.6526
2026-05-29,156521409682.6,4.2168,0.0406,14.2396,7.4601,5.6688,3.4765,0.0012,19.0995,9.5829,5.9668,0.0511,14.2534,0.0083,54.2253,37.7564,21.8178
2026-05-28,153922885889.74,4.1468,0.0356,14.2396,7.4633,5.6716,3.4188,0.0000,19.0995,9.5837,5.9701,0.0520,14.0168,0.0050,54.2253,37.7614,21.8381
2026-05-27,156887398949.2,4.2266,0.0406,14.2793,7.4666,5.6716,3.4846,0.0008,19.1527,9.5845,5.9701,0.0510,14.2868,0.0087,54.4155,37.7663,21.8381
2026-05-26,154545067642.96,4.1635,0.0361,14.2793,7.4666,5.6716,3.4326,0.0000,19.1527,9.5845,5.9701,0.0518,14.0735,0.0058,54.4155,37.7663,21.8395
2026-05-25,156923997875.86,4.2276,0.0406,14.2793,7.4666,5.6716,3.4854,0.0004,19.1527,9.5845,5.9701,0.0510,14.2901,0.0083,54.4155,37.7663,21.9175
2026-05-22,156460411471.5,4.2151,0.0394,14.2396,7.4601,5.6688,3.4751,0.0000,19.0995,9.5829,5.9668,0.0512,14.2479,0.0070,54.2253,37.7564,21.9392
2026-05-21,160266699844.14,4.3177,0.0510,14.2396,7.4633,5.6716,3.5597,0.0008,19.0995,9.5837,5.9701,0.0499,14.5945,0.0099,54.2253,37.7614,21.9797
2026-05-20,160376496624.12,4.3206,0.0514,14.2793,7.4666,5.6716,3.5621,0.0012,19.1527,9.5845,5.9701,0.0499,14.6045,0.0104,54.4155,37.7663,21.9797
2026-05-19,158326956731.16,4.2654,0.0435,14.2793,7.4666,5.6716,3.5166,0.0000,19.1527,9.5845,5.9701,0.0505,14.4179,0.0087,54.4155,37.7663,22.0014
2026-05-18,158400154584.48,4.2674,0.0435,14.2793,7.4666,5.6716,3.5182,0.0000,19.1527,9.5845,5.9701,0.0505,14.4245,0.0087,54.4155,37.7663,22.0171
2026-05-15,160315498413.02,4.3190,0.0510,14.2396,7.4601,5.6688,3.5607,0.0000,19.0995,9.5829,5.9668,0.0499,14.5989,0.0091,54.2253,37.7564,22.1044
2026-05-14,163536203959.1,4.4057,0.0622,14.2396,7.4633,5.6716,3.6323,0.0004,19.0995,9.5837,5.9701,0.0489,14.8922,0.0116,54.2253,37.7614,22.1051
2026-05-13,163231212903.6,4.3975,0.0605,14.2793,7.4666,5.6716,3.6255,0.0000,19.1527,9.5845,5.9701,0.0490,14.8645,0.0112,54.4155,37.7663,22.1051
2026-05-12,167147298056.22,4.5030,0.0746,14.2793,7.4666,5.6716,3.7125,0.0008,19.1527,9.5845,5.9701,0.0479,15.2211,0.0120,54.4155,37.7663,22.1344
2026-05-11,171246377842.14,4.6135,0.0925,14.2793,7.4666,5.6716,3.8035,0.0021,19.1527,9.5845,5.9701,0.0467,15.5944,0.0153,54.4155,37.7663,22.1794
2026-05-08,172746933835.2,4.6539,0.0965,14.2396,7.4601,5.6688,3.8369,0.0058,19.0995,9.5829,5.9668,0.0463,15.7310,0.0178,54.2253,37.7564,22.2810
2026-05-07,175369856912.5,4.7246,0.1040,14.2396,7.4633,5.6716,3.8951,0.0079,19.0995,9.5837,5.9701,0.0456,15.9699,0.0203,54.2253,37.7614,22.3124
2026-05-06,171917358164.24,4.6315,0.0945,14.2793,7.4666,5.6716,3.8184,0.0037,19.1527,9.5845,5.9701,0.0466,15.6555,0.0166,54.4155,37.7663,22.3124
2026-04-30,174881871223.7,4.7114,0.1039,14.2396,7.4558,5.6672,3.8843,0.0083,19.0995,9.5820,5.9664,0.0458,15.9254,0.0182,54.2253,37.7438,22.3888
2026-04-29,174625678737.08,4.5102,0.0795,14.2396,7.4601,5.6688,4.4061,0.0580,19.0995,9.5829,5.9668,0.0458,14.2594,0.0070,54.2253,37.7564,22.4627
2026-04-28,169233436875.84,4.3709,0.0601,14.2396,7.4601,5.6688,4.2700,0.0348,19.0995,9.5829,5.9668,0.0473,13.8191,0.0033,54.2253,37.7564,22.4987
2026-04-27,168733251544.82,4.3580,0.0597,14.2396,7.4601,5.6688,4.2574,0.0348,19.0995,9.5829,5.9668,0.0474,13.7783,0.0021,54.2253,37.7564,22.5007
2026-04-24,173173921312.9,4.4727,0.0753,14.2396,7.4515,5.6648,4.3694,0.0526,19.0995,9.5811,5.9464,0.0462,14.1409,0.0050,54.2253,37.7564,22.5975
2026-04-23,173698505928.36,4.4862,0.0766,14.2396,7.4558,5.6672,4.3827,0.0563,19.0995,9.5820,5.9664,0.0461,14.1837,0.0050,54.2253,37.7614,22.6017
2026-04-22,167025301634.02,4.4448,0.0713,14.2396,7.4601,5.6688,4.3070,0.0414,19.0995,9.5829,5.9668,0.0263,13.5821,0.0008,54.2253,37.7663,22.7518
2026-04-21,166964303422.92,4.4432,0.0713,14.2396,7.4601,5.6688,4.3054,0.0414,19.0995,9.5829,5.9668,0.0263,13.5772,0.0004,54.2253,37.7868,22.7704
2026-04-20,169416431509.14,4.5084,0.0791,14.2396,7.4601,5.6688,4.3687,0.0518,19.0995,9.5829,5.9668,0.0259,13.7766,0.0004,54.2253,37.8245,22.7765
2026-04-17,170185008969.0,4.5289,0.0844,14.2396,7.4515,5.6648,4.3885,0.0579,19.0995,9.5811,5.9464,0.0258,13.8391,0.0021,54.2253,37.8997,22.8444
2026-04-16,172210149577.52,4.5828,0.0903,14.2396,7.4558,5.6672,4.4407,0.0625,19.0995,9.5820,5.9664,0.0255,14.0038,0.0021,54.2253,37.9138,22.9000
