date,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率,自由现金流量
2026-03-31,8673121745,4.2297,7.8048,21700216520
2025-12-31,15189148652,1.4274,3.0244,14707270349
2025-09-30,6977471173,1.4366,7.2832,32092009912
2025-06-30,16017195249,1.9341,7.0295,39206123234
2025-03-31,1658423279,1.0498,4.5182,41960145611
2024-12-31,6257310590,-0.5508,0.6426,6085640627
2024-09-30,-15981776834,-3.342,-0.6712,-12083251483
2024-06-30,-17148010577,-3.3997,-0.766,-10503744210
2024-03-31,-33305867569,-1.3517,-0.291,-6278551695
2023-12-31,13930007542,0.8768,0.7782,13769461015
2023-09-30,6824121714,1.2286,1.7614,44460705298
2023-06-30,7145970753,1.3182,1.3636,36919985187
2023-03-31,-14162412369,0.6449,1.2226,33046248795
2022-12-31,7422377090,-0.2965,0.2748,7316699786
2022-09-30,-29856897072,-0.5922,-0.015,-1103334729
2022-06-30,-22460005831,0.0947,0.3448,12802016748
2022-03-31,-39886876415,-0.3274,0.0192,585130184
2021-12-31,10551217228,-0.3038,0.2837,10415815334
2021-09-30,-18754252816,-0.0328,0.3538,15132246096
2021-06-30,-24812009178,0.0171,0.3763,16167847200
2021-03-31,-30049616181,0.0017,0.3774,15830241299
2020-12-31,15150477620,-0.6131,0.3783,15771526148
2020-09-30,-18157958031,-2.9692,0.3073,11578430815
2020-06-30,-25243844314,-2.5556,-0.0611,-2543560332
2020-03-31,-30100935409,-38.7937,0.2184,7989875367
2019-12-31,39155315735,2.2922,1.0426,38888143916
2019-09-30,9221083042,1.8569,1.0618,31734540890
2019-06-30,16227722463,2.6881,1.2735,37638477205
2019-03-31,796454220,1.0305,1.4622,38335718225
2018-12-31,11893321360,1.4065,0.4548,11298346562
2018-09-30,-10964489610,0.6445,-0.4091,-9985845745
2018-06-30,-9832577641,-0.0235,-1.3526,-30188794643
2018-03-31,-26272151381,-0.9105,-2.0906,-42203450210
2017-12-31,-29295855441,-1.8603,-1.4888,-29785611008
2017-09-30,-30844824233,-1.7588,-2.1878,-37771323782
2017-06-30,-9606969809,-1.4797,0.2561,4152226119
2017-03-31,-13751172082,-6.5386,1.042,17621647100
2016-12-31,34053957194,0.9148,1.9946,33951950174
2016-09-30,40648614371,1.0641,2.0511,38602863849
