date,净资产收益率(ROE),资本回报率(ROIC),毛利率(GM),净利润率,总资产收益率(ROA)
2026-03-31,0.0084,0.0069,0.1225,0.0095,0.0023
2025-12-31,0.0149,0.0109,0.1275,0.0163,0.004
2025-09-30,0.0116,0.0094,0.1241,0.0133,0.003
2025-06-30,0.0163,0.0118,0.1321,0.0194,0.0042
2025-03-31,0.0265,0.0178,0.1356,0.0289,0.0066
2024-12-31,0.0287,0.0192,0.1393,0.0312,0.007
2024-09-30,0.0389,0.0254,0.1404,0.0392,0.0094
2024-06-30,0.0402,0.0262,0.1395,0.0388,0.0096
2024-03-31,0.0539,0.0321,0.1572,0.0502,0.0125
2023-12-31,0.0543,0.0324,0.1601,0.0516,0.0123
2023-09-30,0.0766,0.043,0.1917,0.0789,0.0174
2023-06-30,0.0834,0.0457,0.2039,0.0883,0.019
2023-03-31,0.0857,0.0457,0.2128,0.0943,0.0188
2022-12-31,0.0864,0.0463,0.2199,0.0961,0.0188
2022-09-30,0.1166,0.0606,0.2422,0.121,0.0257
2022-06-30,0.1196,0.0622,0.2465,0.1224,0.0266
2022-03-31,0.1257,0.0644,0.2617,0.1268,0.0271
2021-12-31,0.1306,0.0684,0.2678,0.1305,0.0281
2021-09-30,0.1464,0.0748,0.3047,0.1557,0.0323
2021-06-30,0.1509,0.0766,0.3163,0.1596,0.0334
2021-03-31,0.156,0.0785,0.3214,0.1648,0.034
2020-12-31,0.1614,0.0838,0.3256,0.1647,0.0351
2020-09-30,0.1697,0.0745,0.3406,0.1586,0.0361
2020-06-30,0.1731,0.0753,0.3376,0.1589,0.0374
2020-03-31,0.1777,0.0749,0.3498,0.1594,0.0386
2019-12-31,0.1805,0.0791,0.3496,0.1591,0.04
2019-09-30,0.1629,,0.3418,0.1429,0.033
2019-06-30,0.1648,,0.3415,0.1446,0.0341
2019-03-31,0.1506,,0.3257,0.1353,0.0321
2018-12-31,0.1517,0.0725,0.3248,0.1344,0.0339
2018-09-30,0.1537,,0.3146,0.1389,0.0309
2018-06-30,0.1497,,0.3285,0.1442,0.0313
2018-03-31,0.1404,,0.3136,0.1346,0.0314
2017-12-31,0.1424,,0.3105,0.1345,0.0338
2017-09-30,0.1436,,0.3,0.1195,0.032
2017-06-30,0.1485,,0.2834,0.1119,0.0339
2017-03-31,0.1553,,0.2868,0.1112,0.0366
2016-12-31,0.1586,,0.29,0.1103,0.0392
2016-09-30,0.1896,,0.3056,0.1283,0.0453
