date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,56021675196.24,0.2894,,,,,0.0074,0.1870,,,,,-138705.9660,,,,,-252.8181,,,,,0.2895,,,,
2026-07-02,55662561893.7,0.2875,,,,,0.0075,0.1858,,,,,-137816.8252,,,,,-251.1974,,,,,0.2876,,,,
2026-07-01,56500492932.96,0.2919,,,,,0.0074,0.1886,,,,,-139891.4871,,,,,-254.9789,,,,,0.2920,,,,
2026-06-30,55423153025.34,0.2863,,,,,0.0075,0.1850,,,,,-137224.0647,,,,,-250.1170,,,,,0.2864,,,,
2026-06-29,56500492932.96,0.2912,,,,,0.0074,0.1886,,,,,-139891.4871,,,,,-254.9789,,,,,0.2913,,,,
2026-06-26,56859606235.5,0.2931,,,,,0.0073,0.1898,,,,,-140780.6279,,,,,-256.5995,,,,,0.2932,,,,
2026-06-25,57099015103.86,0.2943,,,,,0.0073,0.1906,,,,,-141373.3884,,,,,-257.6799,,,,,0.2944,,,,
2026-06-24,56979310669.68,0.2937,,,,,0.0073,0.1902,,,,,-141077.0082,,,,,-257.1397,,,,,0.2938,,,,
2026-06-23,58894581616.56,0.3036,,,,,0.0071,0.1966,,,,,-145819.0925,,,,,-265.7831,,,,,0.3037,,,,
2026-06-22,59852217090.0,0.3085,,,,,0.0069,0.1998,,,,,-148190.1346,,,,,-270.1048,,,,,0.3086,,,,
2026-06-18,58894581616.56,0.3036,,,,,0.0071,0.1966,,,,,-145819.0925,,,,,-265.7831,,,,,0.3037,,,,
2026-06-17,60809852563.44,0.3134,,,,,0.0068,0.2030,,,,,-150561.1768,,,,,-274.4264,,,,,0.3135,,,,
2026-06-16,60450739260.9,0.3116,,,,,0.0069,0.2018,,,,,-149672.0360,,,,,-272.8058,,,,,0.3117,,,,
2026-06-15,62126601339.42,0.3202,,,,,0.0067,0.2074,,,,,-153821.3597,,,,,-280.3687,,,,,0.3203,,,,
2026-06-12,62366010207.78,0.3215,,,,,0.0067,0.2082,,,,,-154414.1203,,,,,-281.4492,,,,,0.3216,,,,
2026-06-11,61647783602.7,0.3178,,,,,0.0067,0.2058,,,,,-152635.8387,,,,,-278.2079,,,,,0.3179,,,,
2026-06-10,62126601339.42,0.3202,,,,,0.0067,0.2074,,,,,-153821.3597,,,,,-280.3687,,,,,0.3203,,,,
2026-06-09,61887192471.06,0.3190,,,,,0.0068,0.2066,,,,,-153228.5992,,,,,-279.2883,,,,,0.3191,,,,
2026-06-08,63084236812.86,0.3252,,,,,0.0066,0.2106,,,,,-156192.4019,,,,,-284.6904,,,,,0.3253,,,,
