日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-03,=140.0200,=140.0200,=140.0200,=140.0200,=169766043987.88,=169623593101.0,=82247845733.96,,=4.3987,,,,
2026-07-02,=139.2000,=139.2000,=139.2000,=139.2000,=168771842044.8,=168630225394.0,=81766177161.6,,=4.3729,,,,
2026-07-01,=141.7000,=141.7000,=141.7000,=141.7000,=171802945529.8,=171658785476.0,=83234678906.6,,=4.4515,,,,
2026-06-30,=135.8300,=135.8300,=135.8300,=135.8300,=164685914547.02,=164547726402.0,=79786636809.34,,=4.2671,,,,
2026-06-29,=137.4900,=137.4900,=137.4900,=137.4900,=166698567261.06,=166558690297.0,=80761721968.02,,=4.3192,,,,
2026-06-26,=133.9800,=133.9800,=133.9800,=133.9800,=162442897968.12,=162306591941.0,=78699945518.04,,=4.2090,,,,
2026-06-25,=138.1600,=138.1600,=138.1600,=138.1600,=167510902995.04,=167370344399.0,=81155280435.68,,=4.3403,,,,
2026-06-24,=136.7300,=136.7300,=136.7300,=136.7300,=165777111801.62,=165638008032.0,=80315297437.54,,=4.2954,,,,
2026-06-23,=139.3800,=139.3800,=139.3800,=139.3800,=168990081495.72,=168848281720.0,=81871909287.24,,=4.3786,,,,
2026-06-22,=141.8500,=141.8500,=141.8500,=141.8500,=171984811738.9,=171840499081.0,=83322789011.3,,=4.4562,,,,
2026-06-18,=140.0100,=140.0100,=140.0100,=140.0100,=169753919573.94,=169611478860.0,=82241971726.98,,=4.3984,,,,
2026-06-17,=143.3500,=143.3500,=143.3500,=143.3500,=173803473829.9,=173657635131.0,=84203890058.3,,=4.5033,,,,
2026-06-16,=142.9000,=142.9000,=142.9000,=142.9000,=173257875202.6,=173112494316.0,=83939559744.2,,=4.4892,,,,
2026-06-15,=146.5000,=146.5000,=146.5000,=146.5000,=177622664221.0,=177473620835.0,=86054202257.0,,=4.6023,,,,
2026-06-12,=151.0400,=151.0400,=151.0400,=151.0400,=183127148149.76,=182973485944.0,=88721001425.92,,=4.7449,,,,
2026-06-11,=146.8800,=146.8800,=146.8800,=146.8800,=178083391950.72,=177933961967.0,=86277414522.24,,=4.6142,,,,
2026-06-10,=143.5000,=143.5000,=143.5000,=143.5000,=173985340039.0,=173839348736.0,=84292000163.0,,=4.5080,,,,
2026-06-09,=142.3300,=142.3300,=142.3300,=142.3300,=172566783608.02,=172421982617.0,=83604741346.34,,=4.4713,,,,
2026-06-08,=142.7400,=142.7400,=142.7400,=142.7400,=173063884579.56,=172918666470.0,=83845575632.52,,=4.4842,,,,
2026-06-05,=144.3900,=144.3900,=144.3900,=144.3900,=175064412879.66,=174917516125.0,=84814786784.22,,=4.5360,,,,
2026-06-04,=142.5900,=142.5900,=142.5900,=142.5900,=172882018370.46,=172736952865.0,=83757465527.82,,=4.4794,,,,
2026-06-03,=144.5900,=144.5900,=144.5900,=144.5900,=175306901158.46,=175159800931.0,=84932266923.82,,=4.5423,,,,
2026-06-02,=146.9900,=146.9900,=146.9900,=146.9900,=178216760504.06,=178067218611.0,=86342028599.02,,=4.6177,,,,
2026-06-01,=149.4300,=149.4300,=149.4300,=149.4300,=181175117505.42,=181023093251.0,=87775286302.14,,=4.6943,,,,
2026-05-29,=151.8300,=151.8300,=151.8300,=151.8300,=184084976851.02,=183930510930.0,=89185047977.34,,=4.7697,,,,
2026-05-28,=150.7800,=150.7800,=150.7800,=150.7800,=182811913387.32,=182658515696.0,=88568277244.44,,=4.7367,,,,
2026-05-27,=154.0000,=154.0000,=154.0000,=154.0000,=186715974676.0,=186559301082.0,=90459707492.0,,=4.6551,,,,
2026-05-26,=153.1500,=153.1500,=153.1500,=153.1500,=185685399491.1,=185529590654.0,=89960416898.7,,=4.6294,,,,
2026-05-25,=153.6300,=153.6300,=153.6300,=153.6300,=186267371360.22,=186111074190.0,=90242369233.74,,=4.6439,,,,
2026-05-22,=153.0000,=153.0000,=153.0000,=153.0000,=185503533282.0,=185347877049.0,=89872306794.0,,=4.6249,,,,
2026-05-21,=158.2600,=158.2600,=158.2600,=158.2600,=191880975014.44,=191719967463.0,=92962034465.48,,=4.7839,,,,
2026-05-20,=154.8000,=154.8000,=154.8000,=154.8000,=187685927791.2,=187528440308.0,=90929628050.4,,=4.6793,,,,
2026-05-19,=158.1500,=158.1500,=158.1500,=158.1500,=191747606461.1,=191586710819.0,=92897420388.7,,=4.7805,,,,
2026-05-18,=156.3300,=156.3300,=156.3300,=156.3300,=189540963124.02,=189381919079.0,=91828351118.34,,=4.7255,,,,
2026-05-15,=160.3700,=160.3700,=160.3700,=160.3700,=194439226355.78,=194276072172.0,=94201449938.26,,=4.8476,,,,
2026-05-14,=161.2400,=161.2400,=161.2400,=161.2400,=195494050368.56,=195330011081.0,=94712488545.52,,=4.8739,,,,
2026-05-13,=165.9400,=165.9400,=165.9400,=165.9400,=201192524920.36,=201023704036.0,=97473271826.12,,=5.0160,,,,
2026-05-12,=166.3900,=166.3900,=166.3900,=166.3900,=201738123547.66,=201568844851.0,=97737602140.22,,=5.0296,,,,
2026-05-11,=169.2100,=169.2100,=169.2100,=169.2100,=205157208278.74,=204985060624.0,=99394072108.58,,=5.1149,,,,
2026-05-08,=170.6100,=170.6100,=170.6100,=170.6100,=206854626230.34,=206681054270.0,=100216433085.78,,=5.1572,,,,
2026-05-07,=170.5000,=170.5000,=170.5000,=170.5000,=206721257677.0,=206547797627.0,=100151819009.0,,=5.1538,,,,
2026-05-06,=172.6800,=172.6800,=172.6800,=172.6800,=209364379915.92,=209188702018.0,=101432352530.64,,=5.2197,,,,
2026-04-30,=168.4000,=168.4000,=168.4000,=168.4000,=204175130749.6,=204003807157.0,=98918277543.2,,=5.0904,,,,
2026-04-29,=168.4000,=168.4000,=168.4000,=168.4000,=204175130749.6,=204003807157.0,=98918277543.2,,=5.0904,,,,
2026-04-28,=161.1100,=161.1100,=161.1100,=161.1100,=195336432987.34,=195172525957.0,=94636126454.78,,=5.1278,,,,
2026-04-27,=158.0100,=158.0100,=158.0100,=158.0100,=191577864665.94,=191417111454.0,=92815184290.98,,=5.0292,,,,
2026-04-24,=161.0000,=161.0000,=161.0000,=161.0000,=195203064434.0,=195039269313.0,=94571512378.0,,=5.1243,,,,
2026-04-23,=161.0400,=161.0400,=161.0400,=161.0400,=195251562089.76,=195087726274.0,=94595008405.92,,=5.1256,,,,
2026-04-22,=159.6000,=159.6000,=159.6000,=159.6000,=193505646482.4,=193343275667.0,=93749151400.8,,=5.0798,,,,
2026-04-21,=158.8500,=158.8500,=158.8500,=158.8500,=192596315436.9,=192434707642.0,=93308600877.3,,=5.0559,,,,
2026-04-20,=158.1000,=158.1000,=158.1000,=158.1000,=191686984391.4,=191526139617.0,=92868050353.8,,=5.0320,,,,
2026-04-17,=156.7500,=156.7500,=156.7500,=156.7500,=190050188509.5,=189890717173.0,=92075059411.5,,=4.9891,,,,
2026-04-16,=160.4600,=160.4600,=160.4600,=160.4600,=194548346081.24,=194385100335.0,=94254316001.08,,=5.1071,,,,
2026-04-15,=160.3000,=160.3000,=160.3000,=160.3000,=194354355458.2,=194191272490.0,=94160331889.4,,=5.1021,,,,
2026-04-14,=160.4600,=160.4600,=160.4600,=160.4600,=194548346081.24,=194385100335.0,=94254316001.08,,=5.1071,,,,
2026-04-13,=157.9400,=157.9400,=157.9400,=157.9400,=191492993768.36,=191332311772.0,=92774066242.12,,=5.0269,,,,
2026-04-10,=158.1800,=158.1800,=158.1800,=158.1800,=191783979702.92,=191623053540.0,=92915042409.64,,=5.0346,,,,
2026-04-09,=156.3000,=156.3000,=156.3000,=156.3000,=189504589882.2,=189345576358.0,=91810729097.4,,=4.9747,,,,
2026-04-08,=162.9200,=162.9200,=162.9200,=162.9200,=197530951910.48,=197365203456.0,=95699321718.16,,=5.1854,,,,
2026-04-07,=157.7600,=157.7600,=157.7600,=157.7600,=191274754317.44,=191114255446.0,=92668334116.48,,=5.0212,,,,
2026-04-03,=158.4000,=158.4000,=158.4000,=158.4000,=192050716809.6,=191889566827.0,=93044270563.2,,=5.0416,,,,
2026-04-02,=162.4000,=162.4000,=162.4000,=162.4000,=196900482385.6,=196735262959.0,=95393873355.2,,=5.1689,,,,
2026-04-01,=165.9000,=165.9000,=165.9000,=165.9000,=201144027264.6,=200975247075.0,=97449775798.2,,=5.2803,,,,
2026-03-31,=164.6600,=164.6600,=164.6600,=164.6600,=199640599936.04,=199473081274.0,=96721398932.68,,=5.2408,,,,
2026-03-30,=170.7700,=170.7700,=170.7700,=170.7700,=207048616853.38,=207042507557.0,=100478042638.68,,=5.4977,,,,
2026-03-27,=169.6000,=169.6000,=169.6000,=169.6000,=205630060422.4,=205623992982.0,=99789635366.4,,=5.4601,,,,
2026-03-26,=164.3000,=164.3000,=164.3000,=164.3000,=199204121034.2,=199198243202.0,=96671209261.2,,=5.2894,,,,
2026-03-25,=167.4700,=167.4700,=167.4700,=167.4700,=203047560253.18,=203041569014.0,=98536381101.48,,=5.3915,,,,
2026-03-24,=166.3700,=166.3700,=166.3700,=166.3700,=201713874719.78,=201707922833.0,=97889160589.08,,=5.3561,,,,
2026-03-23,=165.6100,=165.6100,=165.6100,=165.6100,=200792419260.34,=200786494563.0,=97441990053.24,,=5.3316,,,,
2026-03-20,=169.5200,=169.5200,=169.5200,=169.5200,=205533065110.88,=205527000533.0,=99742564783.68,,=5.4575,,,,
2026-03-19,=171.8600,=171.8600,=171.8600,=171.8600,=208370177972.84,=208364029681.0,=101119379328.24,,=5.5328,,,,
2026-03-18,=174.9200,=174.9200,=174.9200,=174.9200,=212080248638.48,=212073990875.0,=102919829117.28,,=5.6313,,,,
2026-03-17,=178.1000,=178.1000,=178.1000,=178.1000,=215935812271.4,=215929440744.0,=104790884780.4,,=5.7337,,,,
2026-03-16,=177.2500,=177.2500,=177.2500,=177.2500,=214905237086.5,=214898895968.0,=104290759839.0,,=5.7063,,,,
2026-03-13,=178.5700,=178.5700,=178.5700,=178.5700,=216505659726.58,=216499271385.0,=105067424453.88,,=5.7488,,,,
2026-03-12,=178.1800,=178.1800,=178.1800,=178.1800,=216032807582.92,=216026433193.0,=104837955363.12,,=5.7363,,,,
