date,资产负债率,中国中车 - 有息负债率,铁路设备(申万) - 有息负债率,中国中车 - 资产负债率,铁路设备(申万) - 资产负债率,有息负债率,速动比率,流动比率,中国中车 - 速动比率,铁路设备(申万) - 速动比率,"""向中央银行借款""","""拆入资金""","""短期借款""","""交易性金融负债""","""应付票据及应付账款""","""预收账款""","""合同负债""","""卖出回购金融资产""","""应付职工薪酬""","""应交税费""","""其他应付款""","""一年内到期的非流动负债""","""其他流动负债""","""其它未展示流动负债""","""长期借款""","""应付债券""","""长期应付款""","""长期应付职工薪酬""","""租赁负债""","""预计负债(非流动)""","""递延所得税负债""","""其他非流动负债""","""长期递延收益""","""其它未展示非流动负债""","""货币资金""","""交易性金融资产""","""拆出资金""","""应收票据及应收账款""","""应收款项融资""","""预付款项""","""合同资产""","""其他应收款""","""存货""","""一年内到期的非流动资产""","""其他流动资产""","""其它未展示流动资产""","""发放贷款及垫款(非流动)""","""长期应收款""","""长期股权投资""","""其他权益工具投资""","""可供出售金融资产(非流动)""","""债权投资""","""投资性房地产""","""固定资产""","""使用权资产""","""在建工程""","""无形资产""","""开发支出""","""商誉""","""递延所得税资产""","""其他非流动金融资产""","""其他非流动资产""","""其它未展示非流动资产""",中国中车 - 流动比率,铁路设备(申万) - 流动比率
2023-06-30,0.59,0.0621,0.0658,0.5900,0.5476,0.0621,0.7614,1.2335,0.7614,0.8867,0,65064000,12523288000,203813000,169452994000,15823000,23054725000,0,2260832000,1948524000,22152478000,4140393000,9195009000,4143241000,6350549000,0,39921000,2515903000,1352222000,7386904000,349994000,72549000,6182765000,0,39550761000,12263790000,0,114168658000,8172644000,9373178000,26608290000,4065116000,81656068000,6015417000,5385897000,0,0,10687302000,18317194000,2834308000,0,1729695000,791942000,59571858000,1627235000,4518960000,16145328000,601018000,277139000,3798281000,224000000,34739316000,0,1.2335,1.4004
2023-03-31,0.5717,0.0648,0.0670,0.5717,0.5349,0.0648,0.7972,1.2628,0.7972,0.9126,0,0,13261890000,37509000,159573901000,33917000,23240791000,0,2061936000,1217269000,15451860000,5447030000,9243223000,2625175000,6396157000,0,38680000,2481154000,1284209000,7273730000,368744000,108277000,6218955000,0,47497449000,12825440000,0,103625264000,5583531000,8862232000,24659942000,3626964000,74600339000,6399491000,5467234000,0,0,11092448000,18427663000,2723122000,0,1712445000,1019421000,59467208000,1574710000,4480218000,15930264000,833982000,258237000,3665729000,213023000,33503381000,0,1.2628,1.4309
2022-12-31,0.568,0.0691,0.0675,0.5680,0.5356,0.0691,0.8557,1.2773,0.8557,0.9564,0,0,13627730000,40547000,158649006000,14067000,23732490000,0,2289570000,3093070000,13864172000,6473081000,2466039000,3153979000,6096122000,0,41412000,2472685000,1150855000,7369015000,299859000,86843000,6233688000,0,54861839000,10431092000,0,108566624000,6735575000,7585929000,25148513000,2874509000,63136015000,6019677000,5020677000,0,0,11343189000,18260754000,2692227000,0,236361000,809758000,60828121000,1442775000,4111596000,16103044000,749396000,261739000,3630804000,215903000,30720034000,0,1.2773,1.4329
2022-09-30,0.5981,0.0694,0.0671,0.5981,0.5556,0.0694,0.7761,1.2377,0.7761,0.8883,303311000,700041000,16470532000,16895000,168624564000,28033000,25869394000,0,2460102000,2809424000,11405372000,6462600000,13751198000,3006723000,3720845000,0,32584000,3153123000,1145012000,7627406000,346645000,83974000,6273236000,0,53033999000,13328984000,0,105659139000,7280003000,9077310000,23141744000,4892308000,84060059000,6267840000,4967977000,0,0,8657835000,17816230000,2494158000,0,602260000,818157000,57446643000,1381771000,6594397000,16164121000,746049000,285782000,3901296000,423184000,29255628000,0,1.2377,1.4052
2022-06-30,0.5957,0.0899,0.0803,0.5957,0.5573,0.0899,0.797,1.2263,0.7970,0.8941,686087000,1450209000,17298974000,5874000,152895426000,16341000,23959466000,0,2197835000,1800838000,22982621000,10445692000,4700372000,5629097000,3492820000,0,34001000,3152551000,1172740000,7463762000,315380000,62202000,6414996000,0,46545477000,14047115000,0,102991127000,7984003000,7525887000,20646062000,4243414000,76616007000,13470404000,5161661000,0,0,9301963000,17759809000,2678594000,0,311316000,816311000,58009893000,1401872000,6206527000,16377611000,569470000,275099000,3804868000,400033000,29416798000,0,1.2263,1.3852
2022-03-31,0.5735,0.0891,0.0808,0.5735,0.5382,0.0891,0.8281,1.2872,0.8281,0.9406,911144000,500031000,17330327000,0,143213037000,26599000,25490295000,0,2030472000,1187627000,14788130000,8874959000,2411259000,3242629000,3628419000,2500000000,108247000,3189366000,1164819000,7534661000,262410000,204846000,7103163000,0,38940969000,13825315000,0,93079859000,8586582000,7895078000,21152234000,3866813000,71969067000,17649094000,6161834000,0,0,8967119000,17167828000,2841360000,0,2011493000,817293000,57412803000,1357995000,6659055000,16512882000,567873000,272181000,3762166000,378384000,26285880000,0,1.2872,1.4543
2021-12-31,0.5729,0.0872,0.0771,0.5729,0.5309,0.0872,0.8903,1.2984,0.8903,0.9842,997186000,0,15815647000,0,144937033000,22911000,25397986000,0,2036436000,2358706000,12139894000,4612838000,2636060000,4601620000,7454276000,2500000000,24725000,3228528000,1225507000,7551653000,263506000,71492000,6658989000,0,48585115000,10694693000,0,96007781000,10552051000,6851842000,19696717000,4360569000,61420021000,15821211000,5766355000,0,0,10774956000,17203832000,2997338000,0,2002484000,835306000,58919951000,1493734000,6310367000,16691006000,521506000,272806000,3731804000,370460000,24617285000,0,1.2984,1.4735
2021-09-30,0.5998,0.0920,0.0799,0.5998,0.5500,0.092,0.8072,1.265,0.8072,0.8962,966549000,0,19900060000,0,154191997000,49232000,28020265000,1380000000,2404559000,1470803000,11290330000,4706959000,11960429000,2815337000,7836125000,2500000000,21369000,3391221000,1077290000,7601523000,158290000,81068000,6521584000,0,43183808000,9511010000,0,109583174000,6508622000,9163367000,21937695000,3781631000,78367651000,16496326000,3973980000,0,0,11193616000,17204949000,2743096000,0,2133524000,794187000,56719753000,1298849000,8032615000,15860005000,492732000,326376000,3787991000,589268000,23507154000,0,1.2650,1.4349
2021-06-30,0.614,0.0886,0.0809,0.6140,0.5782,0.0886,0.7736,1.2095,0.7736,0.8176,869581000,1000111000,17553307000,0,149621887000,131789000,27301240000,0,2299444000,1631349000,15204769000,5613794000,15836873000,2647733000,7320793000,2500000000,21377000,3397405000,1260172000,7479820000,156625000,85919000,6588476000,0,35495050000,8871048000,0,107694044000,7843640000,8797866000,20867912000,3922593000,74819646000,17488552000,3996708000,0,0,12676360000,17156650000,2618364000,0,2515396000,1035009000,57458530000,1407698000,8227739000,15997103000,468050000,326110000,3764103000,572847000,22935523000,0,1.2095,1.3289
2021-03-31,0.5977,0.0980,0.0882,0.5977,0.5631,0.098,0.7774,1.245,0.7774,0.8339,907954000,2200822000,19540345000,0,141519471000,119143000,27544014000,0,1964592000,1288888000,9424280000,5264727000,12801898000,3046080000,6864847000,2500000000,24708000,3418491000,1345470000,7501428000,159960000,87267000,6665378000,0,34302556000,9362715000,0,94356921000,7270951000,9137049000,19843989000,5270084000,76525428000,19437083000,5387592000,0,0,14406777000,16823377000,2709720000,0,975524000,1024681000,58271915000,1489491000,7841546000,15852407000,483933000,340350000,3727144000,582318000,19612104000,0,1.2450,1.3692
2020-12-31,0.5689,0.0802,0.0749,0.5689,0.5458,0.0802,0.8071,1.2645,0.8071,0.8643,0,0,11782170000,0,128864202000,212951000,27841813000,0,1972045000,2318069000,9950181000,7569139000,2859975000,4122366000,4202602000,2500000000,64758000,3480229000,1292313000,7205296000,163231000,86389000,6751075000,0,33492359000,5799390000,0,84749019000,8164214000,8481942000,18885381000,4711395000,62966123000,17124785000,5342740000,0,0,13248792000,16119503000,2662850000,0,1169010000,1065399000,57970551000,1449416000,8675163000,16024380000,444024000,328749000,3631981000,578293000,19059500000,0,1.2645,1.3839
2020-09-30,0.6286,0.0846,0.0791,0.6286,0.5887,0.0846,0.7318,1.2039,0.7318,0.7851,649158000,0,16075431000,1038000,157075534000,13995000,31769681000,0,2736675000,2087269000,11924093000,8025540000,14525905000,2981789000,5841529000,2500000000,82698000,3774608000,922479000,6626410000,205704000,186355000,6795399000,0,36961318000,10220835000,0,105078243000,7139859000,11920488000,23499077000,3279441000,81605665000,14279896000,4419341000,0,0,12235399000,15633384000,2659550000,0,1347228000,1259566000,57043168000,1165987000,8768845000,16053136000,399878000,302254000,3702706000,569758000,16956308000,0,1.2039,1.3188
2020-06-30,0.6234,0.0765,0.0835,0.6234,0.5883,0.0765,0.7434,1.2016,0.7434,0.7905,0,0,15205458000,0,142792161000,10564000,32968149000,0,2255299000,1502483000,14670181000,6777820000,19203226000,2793359000,3427606000,3089720000,85484000,3750325000,940442000,6278051000,205395000,167947000,6640079000,0,46290586000,9907523000,0,92285382000,6453365000,10672339000,22175924000,2666471000,76282599000,14113579000,5343483000,0,173509000,11053736000,15706691000,2665497000,0,1327295000,1116929000,57335004000,1204799000,8047387000,16357401000,408959000,313850000,3641835000,629087000,15118134000,0,1.2016,1.3074
2020-03-31,0.5977,0.0810,0.0771,0.5977,0.5660,0.081,0.7635,1.2441,0.7635,0.8129,898750000,0,13901452000,0,134924645000,7450000,33671702000,0,2029005000,1146545000,9566508000,3884918000,7131739000,4832357000,2977033000,4669974000,85484000,3670234000,989857000,6099833000,45889000,179971000,6473798000,0,42698622000,7216226000,0,80081796000,8934249000,11593789000,18167082000,2258463000,72132700000,15609592000,5057771000,0,174435000,11104922000,15615767000,2391183000,0,1716223000,1100155000,57952959000,1281316000,7642436000,15770087000,359741000,470226000,3440045000,626625000,13230928000,0,1.2441,1.3545
