date,metric,value
2025-12-31,净利润率,0.0619
2025-12-31,自由现金流量,15709832000
2025-12-31,经营活动产生的现金流量净额,24185716000
2025-09-30,营业利润,14621908000
2025-09-30,中国中车 - 扣非净利润占比,0.9128
2025-09-30,"""向中央银行借款""",0
2025-12-31,速动比率,0.746
2025-09-30,中国中车 - 资本回报率(ROIC),0.0531
2025-09-30,中国中车 - 核心利润率,0.0715
2025-12-31,营业收入,273063098000
2025-12-31,资产负债率,0.6077
2025-09-30,"""净现金流总额(单位: 元)""",-22112300000
2025-12-31,基本每股收益,0.46
2025-09-30,中国中车 - 资本收益率(ROC),0.1714
2025-12-31,净资产收益率(ROE),0.0793
2025-09-30,"""货币资金""",46238558000
2025-12-31,毛利率(GM),0.2138
2025-09-30,中国中车 - 营业利润率,0.0795
2025-12-31,总资产收益率(ROA),0.0318
2025-09-30,净利润,12580111000
2025-09-30,归属于母公司普通股股东的扣除非经常性损益的净利润,9095564000
2025-09-30,中国中车 - 归属于母公司普通股股东的加权ROE,0.0580
2025-12-31,经营活动产生的现金流量净额对净利润的比率,1.4315
2025-12-31,流动比率,1.1796
2025-12-31,归属于母公司普通股股东的净利润,13181015000
2025-12-31,有息负债率,0.0514
