date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PEG,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-04-16,13.4774,,,,,16.1862,,,,,1.0340,,,,,0.0372,,0.6506,,,,,1.0321,,,,
2026-04-15,13.4774,,,,,16.1862,,,,,1.0340,,,,,0.0372,,0.6506,,,,,1.0321,,,,
2026-04-14,13.5863,,,,,16.3170,,,,,1.0423,,,,,0.0369,,0.6558,,,,,1.0404,,,,
2026-04-13,13.5645,,,,,16.2908,,,,,1.0407,,,,,0.0369,,0.6548,,,,,1.0388,,,,
2026-04-10,13.6951,,,,,16.4477,,,,,1.0507,,,,,0.0366,,0.6611,,,,,1.0488,,,,
2026-04-09,13.4556,,,,,16.1601,,,,,1.0323,,,,,0.0372,,0.6495,,,,,1.0304,,,,
2026-04-08,13.6951,,,,,16.4477,,,,,1.0507,,,,,0.0366,,0.6611,,,,,1.0488,,,,
2026-04-07,13.4339,,,,,16.1339,,,,,1.0306,,,,,0.0373,,0.6485,,,,,1.0288,,,,
2026-04-03,13.5210,,,,,16.2385,,,,,1.0373,,,,,0.0370,,0.6527,,,,,1.0354,,,,
2026-04-02,13.6516,,,,,16.3954,,,,,1.0473,,,,,0.0367,,0.6590,,,,,1.0454,,,,
2026-04-01,13.8258,,,,,16.6046,,,,,1.0607,,,,,0.0362,,0.6674,,,,,1.0588,,,,
2026-03-31,13.8040,,,,,16.5785,,,,,1.0590,,,,,0.0363,,0.6663,,,,,1.0571,,,,
2026-03-30,13.2815,,,,,15.9509,,,,,1.0189,,,,,0.0377,,0.6411,,,,,1.0171,,,,
2026-03-27,11.9493,,,,,13.6327,,,,,1.0651,,,,,0.0509,,0.6499,,,,,1.0632,,,,
2026-03-26,11.9303,,,,,13.6110,,,,,1.0635,,,,,0.0510,,0.6489,,,,,1.0615,,,,
2026-03-25,12.0823,,,,,13.7844,,,,,1.0770,,,,,0.0503,,0.6572,,,,,1.0750,,,,
2026-03-24,11.7973,,,,,13.4593,,,,,1.0516,,,,,0.0515,,0.6417,,,,,1.0496,,,,
2026-03-23,11.6074,,,,,13.2425,,,,,1.0347,,,,,0.0524,,0.6313,,,,,1.0327,,,,
2026-02-13,,,,,,,,,,,,,,,,,1.9978,,,,,,,,,,
2026-02-06,,,,,,,,,,,,,,,,,2.0168,,,,,,,,,,
2026-01-30,,,,,,,,,,,,,,,,,1.9978,,,,,,,,,,
2026-01-23,,,,,,,,,,,,,,,,,2.0897,,,,,,,,,,
2026-01-16,,,,,,,,,,,,,,,,,2.1372,,,,,,,,,,
