date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,107724357718.24,18.0641,,,,,0.0176,2.6986,,,,,2.7327,,,,,22.2343,,,,,0.6276,,,,
2026-07-02,105181059492.68,17.6376,,,,,0.0181,2.6349,,,,,2.6682,,,,,21.7093,,,,,0.6128,,,,
2026-07-01,106522388008.9,17.8625,,,,,0.0178,2.6685,,,,,2.7022,,,,,21.9862,,,,,0.6206,,,,
2026-06-30,106696586517.5,17.8917,,,,,0.0178,2.6729,,,,,2.7066,,,,,22.0221,,,,,0.6216,,,,
2026-06-29,105773334421.92,17.7369,,,,,0.0179,2.6498,,,,,2.6832,,,,,21.8316,,,,,0.6162,,,,
2026-06-26,104170708142.8,17.4682,,,,,0.0182,2.6096,,,,,2.6426,,,,,21.5008,,,,,0.6069,,,,
2026-06-25,109222464892.2,18.3153,,,,,0.0174,2.7362,,,,,2.7707,,,,,22.5435,,,,,0.6363,,,,
2026-06-24,107654678314.8,18.0524,,,,,0.0176,2.6969,,,,,2.7309,,,,,22.2199,,,,,0.6272,,,,
2026-06-23,109745060418.0,18.4029,,,,,0.0173,2.7493,,,,,2.7840,,,,,22.6513,,,,,0.6393,,,,
2026-06-22,113751626115.8,19.0748,,,,,0.0167,2.8496,,,,,2.8856,,,,,23.4783,,,,,0.6627,,,,
2026-06-18,112898053423.66,18.9316,,,,,0.0168,2.8283,,,,,2.8639,,,,,23.3021,,,,,0.6577,,,,
2026-06-17,115214893588.04,19.3201,,,,,0.0165,2.8863,,,,,2.9227,,,,,23.7803,,,,,0.6712,,,,
2026-06-16,119813734215.08,20.0913,,,,,0.0158,3.0015,,,,,3.0394,,,,,24.7295,,,,,0.6980,,,,
2026-06-15,118803382865.2,19.9219,,,,,0.0160,2.9762,,,,,3.0137,,,,,24.5210,,,,,0.6921,,,,
2026-06-12,119622115855.62,20.0592,,,,,0.0159,2.9967,,,,,3.0345,,,,,24.6900,,,,,0.6969,,,,
2026-06-11,117949810173.06,19.7788,,,,,0.0161,2.9548,,,,,2.9921,,,,,24.3448,,,,,0.6871,,,,
2026-06-10,119987932723.68,20.1205,,,,,0.0158,3.0059,,,,,3.0438,,,,,24.7655,,,,,0.6990,,,,
2026-06-09,124917750517.06,20.9472,,,,,0.0152,3.1294,,,,,3.1689,,,,,25.7830,,,,,0.7277,,,,
2026-06-08,126990712769.4,21.2948,,,,,0.0150,3.1813,,,,,3.2214,,,,,26.2108,,,,,0.7398,,,,
2026-06-05,130666301300.86,21.9112,,,,,0.0145,3.2734,,,,,3.3147,,,,,26.9695,,,,,0.7612,,,,
2026-06-04,133035401017.82,22.3084,,,,,0.0143,3.3327,,,,,3.3748,,,,,27.4585,,,,,0.7750,,,,
