date,metric,value
2026-03-31,资产合计,123747865038
2026-03-31,归属于母公司普通股股东的净利润,754464673
2026-03-31,流动比率,1.0687
2026-03-31,长期负债合计,3648498400
2026-03-31,应收账款,1486033194
2026-03-31,自由现金流量,11038778474
2026-03-31,净资产收益率(ROE),0.185
2026-03-31,流动资产合计,0
2026-03-31,总资产收益率(ROA),0.0541
2026-03-31,资产负债率,0.6592
2026-03-31,营业收入,25745711787
2026-03-31,所有者权益合计,42170036605
2026-03-31,毛利率(GM),0.2888
2026-03-31,货币资金,158224505361.38
2026-03-31,经营活动产生的现金流量净额,-20950295141
2026-03-31,速动比率,1.0215
2026-03-31,流动负债合计,5672449840
2026-03-31,资本回报率(ROIC),0.1558
2026-03-31,基本每股收益,0.43
2026-03-31,负债合计,81577828434
2026-03-31,净利润率,0.0351
2026-03-31,经营活动产生的现金流量净额对净利润的比率,2.5918
2026-03-31,有息负债率,0.046
