date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,107724357718.24,22.2343,,,,,0.6276,,,,,2.7327,,,,,2.6986,,,,,0.0176,18.0641,,,,
2026-07-02,105181059492.68,21.7093,,,,,0.6128,,,,,2.6682,,,,,2.6349,,,,,0.0181,17.6376,,,,
2026-07-01,106522388008.9,21.9862,,,,,0.6206,,,,,2.7022,,,,,2.6685,,,,,0.0178,17.8625,,,,
2026-06-30,106696586517.5,22.0221,,,,,0.6216,,,,,2.7066,,,,,2.6729,,,,,0.0178,17.8917,,,,
2026-06-29,105773334421.92,21.8316,,,,,0.6162,,,,,2.6832,,,,,2.6498,,,,,0.0179,17.7369,,,,
2026-06-26,104170708142.8,21.5008,,,,,0.6069,,,,,2.6426,,,,,2.6096,,,,,0.0182,17.4682,,,,
2026-06-25,109222464892.2,22.5435,,,,,0.6363,,,,,2.7707,,,,,2.7362,,,,,0.0174,18.3153,,,,
2026-06-24,107654678314.8,22.2199,,,,,0.6272,,,,,2.7309,,,,,2.6969,,,,,0.0176,18.0524,,,,
2026-06-23,109745060418.0,22.6513,,,,,0.6393,,,,,2.7840,,,,,2.7493,,,,,0.0173,18.4029,,,,
2026-06-22,113751626115.8,23.4783,,,,,0.6627,,,,,2.8856,,,,,2.8496,,,,,0.0167,19.0748,,,,
2026-06-18,112898053423.66,23.3021,,,,,0.6577,,,,,2.8639,,,,,2.8283,,,,,0.0168,18.9316,,,,
2026-06-17,115214893588.04,23.7803,,,,,0.6712,,,,,2.9227,,,,,2.8863,,,,,0.0165,19.3201,,,,
2026-06-16,119813734215.08,24.7295,,,,,0.6980,,,,,3.0394,,,,,3.0015,,,,,0.0158,20.0913,,,,
2026-06-15,118803382865.2,24.5210,,,,,0.6921,,,,,3.0137,,,,,2.9762,,,,,0.0160,19.9219,,,,
2026-06-12,119622115855.62,24.6900,,,,,0.6969,,,,,3.0345,,,,,2.9967,,,,,0.0159,20.0592,,,,
2026-06-11,117949810173.06,24.3448,,,,,0.6871,,,,,2.9921,,,,,2.9548,,,,,0.0161,19.7788,,,,
2026-06-10,119987932723.68,24.7655,,,,,0.6990,,,,,3.0438,,,,,3.0059,,,,,0.0158,20.1205,,,,
2026-06-09,124917750517.06,25.7830,,,,,0.7277,,,,,3.1689,,,,,3.1294,,,,,0.0152,20.9472,,,,
2026-06-08,126990712769.4,26.2108,,,,,0.7398,,,,,3.2214,,,,,3.1813,,,,,0.0150,21.2948,,,,
