日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,=61.1600,=61.1600,=61.1600,=61.1600,=132918840544.6,=129199606819.0,=83481060446.52,,=3.0840,,,,
2026-07-02,=61.2700,=61.2700,=61.2700,=61.2700,=133157903207.45,=129431980213.0,=83631206238.69,,=3.0896,,,,
2026-07-01,=63.2500,=63.2500,=63.2500,=63.2500,=137461031138.75,=133614701297.0,=86333830497.75,,=3.1894,,,,
2026-06-30,=65.0300,=65.0300,=65.0300,=65.0300,=141329499683.05,=137374925302.0,=88763462407.41,,=3.2792,,,,
2026-06-29,=64.6000,=64.6000,=64.6000,=64.6000,=140394982001.0,=136466556582.0,=88176528856.2,,=3.2575,,,,
2026-06-26,=62.2100,=62.2100,=62.2100,=62.2100,=135200802326.35,=131417716485.0,=84914270280.87,,=3.1370,,,,
2026-06-25,=66.8100,=66.8100,=66.8100,=66.8100,=145197968227.35,=141135149307.0,=91193094317.07,,=3.3689,,,,
2026-06-24,=67.4500,=67.4500,=67.4500,=67.4500,=146588878265.75,=142487139960.0,=92066669835.15,,=3.4012,,,,
2026-06-23,=67.2800,=67.2800,=67.2800,=67.2800,=146219417786.8,=142128017443.0,=91834626338.16,,=3.3926,,,,
2026-06-22,=70.2300,=70.2300,=70.2300,=70.2300,=152630643745.05,=148359849361.0,=95861263491.81,,=3.5414,,,,
2026-06-18,=66.6600,=66.6600,=66.6600,=66.6600,=144871973687.1,=140818276497.0,=90988350055.02,,=3.3614,,,,
2026-06-17,=67.5400,=67.5400,=67.5400,=67.5400,=146784474989.9,=142677263646.0,=92189516392.38,,=3.4057,,,,
2026-06-16,=66.8800,=66.8800,=66.8800,=66.8800,=145350099012.8,=141283023284.0,=91288641639.36,,=3.3725,,,,
2026-06-15,=58.7700,=58.7700,=58.7700,=58.7700,=127724660869.95,=124150766723.0,=80218801871.19,,=2.9635,,,,
2026-06-12,=57.6700,=57.6700,=57.6700,=57.6700,=125334034241.45,=121827032787.0,=78717343949.49,,=2.9080,,,,
2026-06-11,=55.1000,=55.1000,=55.1000,=55.1000,=119748661118.5,=116397945320.0,=75209392259.7,,=2.7785,,,,
2026-06-10,=55.3600,=55.3600,=55.3600,=55.3600,=120313718321.6,=116947191523.0,=75564282313.92,,=2.7916,,,,
2026-06-09,=56.8600,=56.8600,=56.8600,=56.8600,=123573663724.1,=120115919617.0,=77611724934.42,,=2.8672,,,,
2026-06-08,=54.3300,=54.3300,=54.3300,=54.3300,=118075222478.55,=114771331565.0,=74158371714.51,,=2.7396,,,,
2026-06-05,=58.2300,=58.2300,=58.2300,=58.2300,=126551080525.05,=123010024609.0,=79481722527.81,,=2.9363,,,,
2026-06-04,=59.6600,=59.6600,=59.6600,=59.6600,=129658895142.1,=126030878725.0,=81433617826.02,,=3.0084,,,,
2026-06-03,=62.9800,=62.9800,=62.9800,=62.9800,=136874240966.3,=133044330240.0,=85965290826.06,,=3.1758,,,,
2026-06-02,=65.4800,=65.4800,=65.4800,=65.4800,=142307483303.8,=138325543730.0,=89377695193.56,,=3.3019,,,,
2026-06-01,=64.9900,=64.9900,=64.9900,=64.9900,=141242567805.65,=137290425886.0,=88708863937.53,,=3.2772,,,,
2026-05-29,=63.6800,=63.6800,=63.6800,=63.6800,=138395548820.8,=134523070017.0,=86920764048.96,,=3.2111,,,,
2026-05-28,=65.8400,=65.8400,=65.8400,=65.8400,=143089870200.4,=139086038473.0,=89869081422.48,,=3.3200,,,,
2026-05-27,=64.7300,=64.7300,=64.7300,=64.7300,=140677510602.55,=136741179683.0,=88353973883.31,,=3.2641,,,,
2026-05-26,=63.3600,=63.3600,=63.3600,=63.3600,=137700093801.6,=133847074691.0,=86483976289.92,,=3.1950,,,,
2026-05-25,=63.2100,=63.2100,=63.2100,=63.2100,=137374099261.35,=133530201881.0,=86279232027.87,,=3.1874,,,,
2026-05-22,=64.3800,=64.3800,=64.3800,=64.3800,=139916856675.3,=136001809794.0,=87876237271.86,,=3.2464,,,,
2026-05-21,=63.9500,=63.9500,=63.9500,=63.9500,=138982338993.25,=135093441074.0,=87289303720.65,,=3.2247,,,,
2026-05-20,=66.5600,=66.5600,=66.5600,=66.5600,=144654643993.6,=140607027958.0,=90851853880.32,,=3.3563,,,,
2026-05-19,=65.5000,=65.5000,=65.5000,=65.5000,=142350949242.5,=138367793438.0,=89404994428.5,,=3.3029,,,,
2026-05-18,=65.1300,=65.1300,=65.1300,=65.1300,=141546829376.55,=137586173841.0,=88899958582.11,,=3.2842,,,,
2026-05-15,=65.7800,=65.7800,=65.7800,=65.7800,=142959472384.3,=138959289349.0,=89787183717.66,,=3.3170,,,,
2026-05-14,=65.3000,=65.3000,=65.3000,=65.3000,=141916289855.5,=137945296359.0,=89132002079.1,,=3.2928,,,,
2026-05-13,=68.5000,=68.5000,=68.5000,=68.5000,=148870840047.5,=144705249626.0,=93499879669.5,,=3.4139,,,,
2026-05-12,=68.0900,=68.0900,=68.0900,=68.0900,=147979788304.15,=143839130614.0,=92940245353.23,,=3.3935,,,,
2026-05-11,=70.0600,=70.0600,=70.0600,=70.0600,=152261183266.1,=148000726844.0,=95629219994.82,,=3.4917,,,,
2026-05-08,=69.9000,=69.9000,=69.9000,=69.9000,=151913455756.5,=147662729180.0,=95410826115.3,,=3.4837,,,,
2026-05-07,=71.8100,=71.8100,=71.8100,=71.8100,=156064452902.35,=151697576287.0,=98017903052.07,,=3.5789,,,,
2026-05-06,=75.5400,=75.5400,=75.5400,=75.5400,=164170850469.9,=157993811417.0,=103109210368.38,,=3.7648,,,,
2026-04-30,=72.5900,=72.5900,=72.5900,=72.5900,=157759624511.65,=151823812163.0,=99082573214.73,,=3.6177,,,,
2026-04-29,=74.1000,=74.1000,=74.1000,=74.1000,=161041302883.5,=154982015171.0,=101143665452.7,,=3.6930,,,,
2026-04-28,=70.4300,=70.4300,=70.4300,=70.4300,=153065303132.05,=147306117794.0,=96134255841.21,,=3.5101,,,,
2026-04-27,=71.4300,=71.4300,=71.4300,=71.4300,=155238600067.05,=149397642965.0,=97499217588.21,,=3.5599,,,,
2026-04-24,=72.8100,=72.8100,=72.8100,=72.8100,=158237749837.35,=152283947701.0,=98258641994.07,,=3.7717,,,,
2026-04-23,=71.8700,=71.8700,=71.8700,=71.8700,=156194850718.45,=150317914040.0,=96990092021.89,,=3.7230,,,,
2026-04-22,=71.7800,=71.7800,=71.7800,=71.7800,=154494729043.8,=150129676774.0,=96868635109.66,,=3.6825,,,,
2026-04-21,=71.9800,=71.9800,=71.9800,=71.9800,=154925196385.8,=150547981809.0,=97138539359.06,,=3.6928,,,,
2026-04-20,=68.9600,=68.9600,=68.9600,=68.9600,=148425139521.6,=144231575792.0,=93062985193.12,,=3.5378,,,,
2026-04-17,=69.8500,=69.8500,=69.8500,=69.8500,=150340719193.5,=142246726599.0,=94264059102.95,,=3.5835,,,,
2026-04-16,=70.9800,=70.9800,=70.9800,=70.9800,=152772859675.8,=144547926328.0,=95789018112.06,,=3.6415,,,,
2026-04-15,=70.3200,=70.3200,=70.3200,=70.3200,=151352317447.2,=143203862770.0,=94898334089.04,,=3.6076,,,,
