date,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率,自由现金流量
2026-03-31,4543022746,0.3735,0.8377,6708790195
2025-12-31,7123218678,-0.6286,0.6559,5192433749
2025-09-30,9822590733,-0.212,1.3039,14826327537
2025-06-30,6064470030,-0.2627,1.2958,15441435819
2025-03-31,3307744332,-0.2412,1.3399,16734544128
2024-12-31,19181768364,0.8014,1.4211,18004830349
2024-09-30,12464714796,0.3769,0.9836,12901587187
2024-06-30,8225060213,0.4563,0.9305,12032372699
2024-03-31,4359428564,1.8894,0.9543,12118115773
2023-12-31,10648364935,0.2887,0.8013,9216424319
2023-09-30,9052567897,0.4341,0.8635,9829908817
2023-06-30,5647760797,0.3853,0.8224,8831365674
2023-03-31,1508783233,0.3334,0.7686,7761587229
2022-12-31,8262648270,0.0733,0.7937,7293722877
2022-09-30,6312342160,0.5956,1.0139,8407932005
2022-06-30,4077014965,0.4889,0.9775,7255792609
2022-03-31,1131497886,-0.1363,0.8695,5668403128
2021-12-31,7698648105,0.566,0.9699,5722786760
2021-09-30,3956052904,0.4142,0.8145,4461987137
2021-06-30,2738237040,2.7571,0.9893,5118934525
2021-03-31,1310035684,5.142,1.0203,4416260553
2020-12-31,4916102451,0.0154,0.8251,2792935318
2020-09-30,2797464891,-0.1638,0.7646,828712879
2020-06-30,728815422,-0.573,0.7595,-388869764
2020-03-31,-316284597,-1.5638,0.8235,-492013012
2019-12-31,4841619204,0.1265,1.0429,269438246
2019-09-30,3345279324,0.4785,1.1933,1803521674
2019-06-30,1706750590,3.1636,1.3151,3007451966
2019-03-31,561024532,0.6099,1.1408,2633122761
2018-12-31,4297916018,0.1604,1.2243,2829656081
2018-09-30,2262542724,0.0116,1.1041,2639334621
2018-06-30,409920555,-0.6958,0.8808,1405201404
2018-03-31,348487394,1.4056,1.3478,2622093267
2017-12-31,3693407462,0.3433,1.4194,2277820326
2017-09-30,2236659613,0.186,1.2402,1981447029
2017-06-30,1347676719,-0.1597,1.0452,1873328748
2017-03-31,144867648,-0.8017,0.9486,1531570721
2016-12-31,2625088408,16.0923,1.3464,2388130134
2016-09-30,1824412505,69.6034,1.1273,1862775005
2016-06-30,1561773337,2.2663,1.7949,2878549921
