date,净资产收益率(ROE),净利润率,总资产收益率(ROA)
2026-03-31,0.1226,0.4108,0.0084
2025-12-31,0.1223,0.4103,0.0087
2025-09-30,0.1217,0.4097,0.0087
2025-06-30,0.1218,0.409,0.0087
2025-03-31,0.1236,0.4088,0.0088
2024-12-31,0.1247,0.4085,0.0093
2024-09-30,0.1286,0.4144,0.0094
2024-06-30,0.1304,0.4119,0.0093
2024-03-31,0.1347,0.4161,0.0096
2023-12-31,0.1382,0.4158,0.0101
2023-09-30,0.1398,0.4197,0.0102
2023-06-30,0.1437,0.4098,0.0103
2023-03-31,0.1451,0.4062,0.0101
2022-12-31,0.1452,0.3997,0.0106
2022-09-30,0.1505,0.3831,0.0106
2022-06-30,0.1463,0.3731,0.0105
2022-03-31,0.1472,0.3756,0.0104
2021-12-31,0.1458,0.3716,0.0108
2021-09-30,0.1456,0.3643,0.0105
2021-06-30,0.1362,0.3641,0.01
2021-03-31,0.1378,0.3648,0.01
2020-12-31,0.1378,0.3682,0.0103
2020-09-30,0.1346,0.3613,0.0103
2020-06-30,0.1414,0.3806,0.0109
2020-03-31,0.1491,0.3804,0.0111
2019-12-31,0.1516,0.3931,0.0113
2019-09-30,0.1574,0.3922,0.0112
2019-06-30,0.1583,0.3921,0.0109
2019-03-31,0.1603,0.3875,0.0106
2018-12-31,0.1621,0.3879,0.0104
2018-09-30,0.1791,0.3906,0.0107
2018-06-30,0.1746,0.3884,0.0102
2018-03-31,0.1748,0.3859,0.0099
2017-12-31,0.1739,0.3696,0.0098
2017-09-30,0.1696,0.3646,0.0099
2017-06-30,0.1648,0.3534,0.0095
2017-03-31,0.1646,0.3396,0.0094
2016-12-31,0.1639,0.3308,0.0098
2016-09-30,0.1705,0.3247,0.0101
