date,归属于母公司普通股股东的净利润,累积同比,基本每股收益,营业收入
2026-03-31,8181000000,0.103,1.24,20384000000
2025-12-31,29333000000,0.0813,4.29,71969000000
2025-09-30,22445000000,0.0839,3.35,54976000000
2025-06-30,14772000000,0.0823,2.24,37160000000
2025-03-31,7417000000,0.0576,1.12,18495000000
2024-12-31,27127000000,0.0623,3.95,66631000000
2024-09-30,20707000000,0.0702,3.08,50753000000
2024-06-30,13649000000,0.0542,2.07,34437000000
2024-03-31,7013000000,0.0629,1.06,17509000000
2023-12-31,25535000000,0.1066,3.75,61585000000
2023-09-30,19349000000,0.1255,2.93,47235000000
2023-06-30,12947000000,0.149,1.96,32144000000
2023-03-31,6598000000,0.1535,1,16553000000
2022-12-31,23075000000,0.1805,3.38,57879000000
2022-09-30,17191000000,0.2016,2.6,44792000000
2022-06-30,11268000000,0.1837,1.71,29412000000
2022-03-31,5720000000,0.208,0.87,15263000000
2021-12-31,19546000000,0.2987,3.13,52774000000
2021-09-30,14307000000,0.2694,2.38,38878000000
2021-06-30,9519000000,0.2137,1.58,25019000000
2021-03-31,4735000000,0.1832,0.79,13226000000
2020-12-31,15050000000,0.0973,2.43,41111000000
2020-09-30,11270811000,0.0522,1.93,30261245000
2020-06-30,7842521000,0.146,1.36,19981127000
2020-03-31,4001741000,0.1812,0.71,10859970000
2019-12-31,13714237000,0.226,2.41,35081391000
2019-09-30,10711918000,0.2004,2.02,25553292000
2019-06-30,6843140000,0.2003,1.31,16191779000
2019-03-31,3387942000,0.2006,0.65,8123629000
2018-12-31,11186356000,0.1985,2.15,28930304000
2018-09-30,8923839000,0.2112,1.76,21228582000
2018-06-30,5701296000,0.1964,1.12,13522210000
2018-03-31,2821902000,0.1961,0.56,6581443000
2017-12-31,9333572000,0.195,1.8,25314320000
2017-09-30,7367864000,0.1615,1.45,18574792000
2017-06-30,4765490000,0.1514,0.94,12315997000
2017-03-31,2359215000,0.162,0.6,6433416000
2016-12-31,7810417000,0.1935,1.95,23645017000
2016-09-30,6343378000,0.1922,1.63,17939821000
