date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,199111000000,59825000000,-0.3571,6.6665
2025-12-31,232319000000,235516000000,1.7706,7.9758
2025-09-30,178954000000,222407000000,0.7792,6.2839
2025-06-30,117565000000,168041000000,0.2739,4.2703
2025-03-31,78957000000,93060000000,-0.025,2.9887
2024-12-31,81257000000,85005000000,-0.5097,3.1228
2024-09-30,145503000000,125004000000,-0.1609,5.5381
2024-06-30,243573000000,131911000000,1.2617,9.3855
2024-03-31,119139000000,95445000000,-0.3479,4.7057
2023-12-31,170431000000,173372000000,0.8294,6.77
2023-09-30,202892000000,148980000000,2.8709,8.108
2023-06-30,46973000000,58323000000,-0.4347,2.0093
2023-03-31,87303000000,146356000000,-0.0311,3.7476
2022-12-31,91917000000,94768000000,3.1273,4.0968
2022-09-30,15617000000,38487000000,2.5774,0.8156
2022-06-30,49946000000,103177000000,15.2945,2.4519
2022-03-31,96082000000,151057000000,18.2233,4.7919
2021-12-31,-47067000000,-44549000000,-1.7331,-2.2719
2021-09-30,-3386761000,-24399000000,-1.6449,-0.0808
2021-06-30,-33837505000,6332000000,-0.936,-1.8912
2021-03-31,7281332000,7858000000,-0.868,0.5729
2020-12-31,59032000000,60771000000,0.5065,4.015
2020-09-30,51426060000,37836772000,-0.4038,3.7081
2020-06-30,128280705000,98878195000,0.1607,8.8604
2020-03-31,136212144000,59542932000,2.5255,9.6559
2019-12-31,37748420000,40338631000,1.7913,2.925
2019-09-30,39242758000,24861774000,1.3746,3.0859
2019-06-30,-4692782000,8126198000,1.2132,-0.3817
2019-03-31,-90420645000,-39032749000,-52.1664,-7.6868
2018-12-31,-52269634000,-50979147000,-3.832,-4.5433
2018-09-30,-31054910000,-66369868000,-2.4102,-2.6459
2018-06-30,-2248675000,-38123408000,-0.8854,0.0095
2018-03-31,4487230000,762859000,-0.9349,0.717
2017-12-31,17002809000,18000979000,-0.8355,1.9241
2017-09-30,2678251000,-19461923000,-1.2278,0.5091
2017-06-30,-4847765000,-20220612000,-1.2184,-0.4012
2017-03-31,38414573000,11718653000,-0.8558,4.8901
2016-12-31,107945894000,109411852000,4.5935,13.9864
2016-09-30,109058554000,85443043000,18.4118,14.507
