日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-03,=27.0500,=27.0500,=27.0500,=27.0500,=661865289217.8,=661865289218.0,=374161120336.95,,=18.3428,,,,
2026-07-02,=26.9500,=26.9500,=26.9500,=26.9500,=659418467446.2,=659418467446.0,=372777899929.05,,=18.2750,,,,
2026-07-01,=26.6400,=26.6400,=26.6400,=26.6400,=651833319954.24,=651833319954.0,=368489916664.56,,=18.0648,,,,
2026-06-30,=26.4700,=26.4700,=26.4700,=26.4700,=647673722942.52,=647673722943.0,=366138441971.13,,=17.9495,,,,
2026-06-29,=26.8400,=26.8400,=26.8400,=26.8400,=656726963497.44,=656726963497.0,=371256357480.36,,=18.2004,,,,
2026-06-26,=26.6500,=26.6500,=26.6500,=26.6500,=652078002131.4,=652078002131.0,=368628238705.35,,=18.0716,,,,
2026-06-25,=26.2200,=26.2200,=26.2200,=26.2200,=641556668513.52,=641556668514.0,=362680390951.38,,=17.7800,,,,
2026-06-24,=26.6000,=26.6000,=26.6000,=26.6000,=650854591245.6,=650854591246.0,=367936628501.4,,=18.0377,,,,
2026-06-23,=26.8700,=26.8700,=26.8700,=26.8700,=657461010028.92,=657461010029.0,=371671323602.7301,,=18.2208,,,,
2026-06-22,=26.9400,=26.9400,=26.9400,=26.9400,=659173785269.04,=659173785269.0,=372639577888.26,,=18.2682,,,,
2026-06-18,=26.6600,=26.6600,=26.6600,=26.6600,=652322684308.56,=652322684309.0,=368766560746.14,,=18.0784,,,,
2026-06-17,=27.0000,=27.0000,=27.0000,=27.0000,=660641878332.0,=660641878332.0,=373469510133.0,,=18.3089,,,,
2026-06-16,=27.1900,=27.1900,=27.1900,=27.1900,=665290839698.04,=665290839698.0,=376097628908.01,,=18.4378,,,,
2026-06-15,=27.5700,=27.5700,=27.5700,=27.5700,=674588762430.12,=674588762430.0,=381353866458.03,,=18.6955,,,,
2026-06-12,=28.2800,=28.2800,=28.2800,=28.2800,=691961197008.48,=691961197008.0,=391174731354.12,,=19.1769,,,,
2026-06-11,=27.8900,=27.8900,=27.8900,=27.8900,=682418592099.24,=682418592099.0,=385780171763.31,,=18.9125,,,,
2026-06-10,=27.6900,=27.6900,=27.6900,=27.6900,=677524948556.04,=677524948556.0,=383013730947.51,,=18.7768,,,,
2026-06-09,=27.6300,=27.6300,=27.6300,=27.6300,=676056855493.08,=676056855493.0,=382183798702.77,,=18.7361,,,,
2026-06-08,=27.5100,=27.5100,=27.5100,=27.5100,=673120669367.16,=673120669367.0,=380523934213.2901,,=18.6548,,,,
2026-06-05,=27.6100,=27.6100,=27.6100,=27.6100,=675567491138.76,=675567491139.0,=381907154621.19,,=18.7226,,,,
