date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,2.2944,11542643382,2151953235,1.5312
2025-12-31,2.1153,10351760132,14142346479,1.4842
2025-09-30,1.3882,6696217810,5691650030,2.1047
2025-06-30,1.1607,5376509870,3725049533,1.0756
2025-03-31,0.9848,3544456209,826100852,2.5723
2024-12-31,0.956,3075396079,5719887032,0.6018
2024-09-30,0.6915,-950271589,2043645824,0.2445
2024-06-30,0.6855,-781189659,1705859300,0.1096
2024-03-31,0.5671,-2322696176,231251589,-0.7127
2023-12-31,0.682,-2331829193,3570913425,1.2559
2023-09-30,0.3835,-4395277997,1642150431,0.0571
2023-06-30,0.1094,-8594782643,1537385025,-0.4714
2023-03-31,0.4119,-6359636611,804996167,-0.2684
2022-12-31,0.3686,-6301716105,1582903843,-0.8614
2022-09-30,0.9366,-938714585,1553503726,-0.8015
2022-06-30,1.6416,3899783455,2523683011,-0.3272
2022-03-31,1.2578,3076394546,562712546,-0.7108
2021-12-31,1.4295,4997721578,8072652247,1.8943
2021-09-30,1.0643,3702075447,4253496613,5.0674
2021-06-30,1.0975,3480019694,3750987198,6.4858
2021-03-31,0.9469,2633968956,1945674698,15.0297
2020-12-31,0.7446,841743446,2789192347,-0.4569
2020-09-30,0.8951,639970111,701037271,-0.774
2020-06-30,0.8161,-38257335,501081512,-0.8236
2020-03-31,1.6064,3221550827,121379145,0.1384
2019-12-31,1.4088,3227747720,5135594020,0.5521
2019-09-30,1.2549,2707727852,3101705448,0.6148
2019-06-30,1.2974,3202898482,2840697615,0.4597
2019-03-31,1.0399,870409059,106618861,-0.8524
2018-12-31,1.6096,1693206077,3308712701,0.0492
2018-09-30,1.6232,1994057736,1920745102,-0.1349
2018-06-30,2.1674,2635416080,1946032076,0.1686
2018-03-31,2.3564,2570180326,722237646,0.0442
2017-12-31,3.0652,2568451314,3153411289,0.4044
2017-09-30,3.4879,2473806919,2220265830,0.4064
2017-06-30,5.2931,2885765708,1665323056,2.1019
2017-03-31,6.5192,2329862753,691633740,1.4608
2016-12-31,10.3668,1862794864,2245340337,19.3063
2016-09-30,9.9427,1107441873,1578645191,4.5641
