date,归属于母公司普通股股东的净利润,累积同比,营业收入,基本每股收益
2026-03-31,2056440953,0.0086,29790570753,0.175
2025-12-31,6572221644,0.0896,100822903512,0.57
2025-09-30,5977215500,0.1167,78157334159,0.51
2025-06-30,4358409242,0.1663,54808231312,0.37
2025-03-31,2022489702,0.2637,26814827048,0.171
2024-12-31,5976118333,0.122,91659763824,0.51
2024-09-30,5309032696,0.0971,68725894621,0.45
2024-06-30,3705706161,0.0324,49632270967,0.31
2024-03-31,1600471771,0.0506,24174419759,0.135
2023-12-31,5326470289,0.2351,92848220502,0.45
2023-09-30,4839321097,0.035,71670135736,0.41
2023-06-30,3589449681,-0.021,51277632878,0.3
2023-03-31,1523350581,-0.2638,23812986104,0.129
2022-12-31,4307097070,-0.4753,93817122394,0.36
2022-09-30,4675880889,-0.3133,75054047079,0.4
2022-06-30,2320530099,-0.3898,38203911732,0.2962
2022-03-31,1405470010,-0.1861,20033582489,0.179
2021-12-31,5614606146,0.5057,84327579230,0.7052
2021-09-30,4609263206,0.8935,69795855678,0.579
2021-06-30,3803041458,0.8446,53233823750,0.4794
2021-03-31,1726741854,1.8244,24977587173,0.217
2020-12-31,3728859646,0.0299,73968148563,0.4505
2020-09-30,2434197269,-0.194,51287400922,0.288
2020-06-30,2061735319,-0.097,35068754462,0.248
2020-03-31,611370405,-0.4195,13845822488,0.07
2019-12-31,3620572465,0.7698,59175998918,0.432
2019-09-30,3020012958,1.0028,43238846038,0.363
2019-06-30,2283307032,1.0682,31156145146,0.276
2019-03-31,1053132280,1.0274,14419507973,0.128
2018-12-31,2045733652,1.0044,44410005648,0.261
2018-09-30,1507901403,0.9385,34075856535,0.195
2018-06-30,1104030145,1.0062,23943950792,0.147
2018-03-31,519462424,1.5739,10783685806,0.07
2017-12-31,1020617730,3.8931,29131104626,0.14
2017-09-30,777851965,3.7039,21544280953,0.111
2017-06-30,550307753,3.3327,14440509654,0.079
2017-03-31,201818832,18.0998,5997901569,0.029
2016-12-31,208583211,2.6805,16891229923,0.03
2016-09-30,165364860,7.7931,12090105084,0.024
