日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=61.8400,=61.8400,=61.8400,=61.8400,=107724357718.24,=96297457761.0,=53449485475.84,,=22.2343,,,,
2026-07-02,=60.3800,=60.3800,=60.3800,=60.3800,=105181059492.68,=94023940809.0,=52187579770.88,,=21.7093,,,,
2026-07-01,=61.1500,=61.1500,=61.1500,=61.1500,=106522388008.9,=95222987421.0,=52853105382.4,,=21.9862,,,,
2026-06-30,=61.2500,=61.2500,=61.2500,=61.2500,=106696586517.5,=95378707760.0,=52939537280.0,,=22.0221,,,,
2026-06-29,=60.7200,=60.7200,=60.7200,=60.7200,=105773334421.92,=94553389962.0,=52481448222.72,,=21.8316,,,,
2026-06-26,=59.8000,=59.8000,=59.8000,=59.8000,=104170708142.8,=93120762842.0,=51686274764.8,,=21.5008,,,,
2026-06-25,=62.7000,=62.7000,=62.7000,=62.7000,=109222464892.2,=97636652678.0,=54192799795.2,,=22.5435,,,,
2026-06-24,=61.8000,=61.8000,=61.8000,=61.8000,=107654678314.8,=96235169626.0,=53414912716.8,,=22.2199,,,,
2026-06-23,=63.0000,=63.0000,=63.0000,=63.0000,=109745060418.0,=98103813696.0,=54452095488.0,,=22.6513,,,,
2026-06-22,=65.3000,=65.3000,=65.3000,=65.3000,=113751626115.8,=101685381498.0,=56440029132.8,,=23.4783,,,,
2026-06-18,=64.8100,=64.8100,=64.8100,=64.8100,=112898053423.66,=100922351836.0,=56016512834.56,,=23.3021,,,,
2026-06-17,=66.1400,=66.1400,=66.1400,=66.1400,=115214893588.04,=102993432347.0,=57166057072.64,,=23.7803,,,,
2026-06-16,=68.7800,=68.7800,=68.7800,=68.7800,=119813734215.08,=107104449302.0,=59447859169.28,,=24.7295,,,,
2026-06-15,=68.2000,=68.2000,=68.2000,=68.2000,=118803382865.2,=106201271334.0,=58946554163.2,,=24.5210,,,,
2026-06-12,=68.6700,=68.6700,=68.6700,=68.6700,=119622115855.62,=106933156929.0,=59352784081.92,,=24.6900,,,,
2026-06-11,=67.7100,=67.7100,=67.7100,=67.7100,=117949810173.06,=105438241672.0,=58523037864.96,,=24.3448,,,,
2026-06-10,=68.8800,=68.8800,=68.8800,=68.8800,=119987932723.68,=107260169641.0,=59534291066.88,,=24.7655,,,,
