日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-03,=61.8400,=61.8400,=61.8400,=61.8400,=107724357718.24,=96297457761.0,=53449485475.84,,=2.6986,,,,
2026-07-02,=60.3800,=60.3800,=60.3800,=60.3800,=105181059492.68,=94023940809.0,=52187579770.88,,=2.6349,,,,
2026-07-01,=61.1500,=61.1500,=61.1500,=61.1500,=106522388008.9,=95222987421.0,=52853105382.4,,=2.6685,,,,
2026-06-30,=61.2500,=61.2500,=61.2500,=61.2500,=106696586517.5,=95378707760.0,=52939537280.0,,=2.6729,,,,
2026-06-29,=60.7200,=60.7200,=60.7200,=60.7200,=105773334421.92,=94553389962.0,=52481448222.72,,=2.6498,,,,
2026-06-26,=59.8000,=59.8000,=59.8000,=59.8000,=104170708142.8,=93120762842.0,=51686274764.8,,=2.6096,,,,
2026-06-25,=62.7000,=62.7000,=62.7000,=62.7000,=109222464892.2,=97636652678.0,=54192799795.2,,=2.7362,,,,
2026-06-24,=61.8000,=61.8000,=61.8000,=61.8000,=107654678314.8,=96235169626.0,=53414912716.8,,=2.6969,,,,
2026-06-23,=63.0000,=63.0000,=63.0000,=63.0000,=109745060418.0,=98103813696.0,=54452095488.0,,=2.7493,,,,
2026-06-22,=65.3000,=65.3000,=65.3000,=65.3000,=113751626115.8,=101685381498.0,=56440029132.8,,=2.8496,,,,
2026-06-18,=64.8100,=64.8100,=64.8100,=64.8100,=112898053423.66,=100922351836.0,=56016512834.56,,=2.8283,,,,
2026-06-17,=66.1400,=66.1400,=66.1400,=66.1400,=115214893588.04,=102993432347.0,=57166057072.64,,=2.8863,,,,
2026-06-16,=68.7800,=68.7800,=68.7800,=68.7800,=119813734215.08,=107104449302.0,=59447859169.28,,=3.0015,,,,
2026-06-15,=68.2000,=68.2000,=68.2000,=68.2000,=118803382865.2,=106201271334.0,=58946554163.2,,=2.9762,,,,
2026-06-12,=68.6700,=68.6700,=68.6700,=68.6700,=119622115855.62,=106933156929.0,=59352784081.92,,=2.9967,,,,
2026-06-11,=67.7100,=67.7100,=67.7100,=67.7100,=117949810173.06,=105438241672.0,=58523037864.96,,=2.9548,,,,
2026-06-10,=68.8800,=68.8800,=68.8800,=68.8800,=119987932723.68,=107260169641.0,=59534291066.88,,=3.0059,,,,
2026-06-09,=71.7100,=71.7100,=71.7100,=71.7100,=124917750517.06,=111667055240.0,=61980313768.96,,=3.1294,,,,
2026-06-08,=72.9000,=72.9000,=72.9000,=72.9000,=126990712769.4,=113520127277.0,=63008853350.4,,=3.1813,,,,
2026-06-05,=75.0100,=75.0100,=75.0100,=75.0100,=130666301300.86,=116805826434.0,=64832566389.76,,=3.2734,,,,
2026-06-04,=76.3700,=76.3700,=76.3700,=76.3700,=133035401017.82,=118923623047.0,=66008040197.12,,=3.3327,,,,
2026-06-03,=79.1000,=79.1000,=79.1000,=79.1000,=137791020302.6,=123174788307.0,=68367631001.6,,=3.4519,,,,
2026-06-02,=82.0100,=82.0100,=82.0100,=82.0100,=142860196902.86,=127706250178.0,=70882799221.76,,=3.4582,,,,
2026-06-01,=80.0900,=80.0900,=80.0900,=80.0900,=139515585537.74,=124716419665.0,=69223306787.84,,=3.3773,,,,
2026-05-29,=81.4600,=81.4600,=81.4600,=81.4600,=141902105105.56,=126849788312.0,=70407423784.96,,=3.4350,,,,
2026-05-28,=82.9800,=82.9800,=82.9800,=82.9800,=144549922436.28,=129216737468.0,=71721188628.48,,=3.4991,,,,
2026-05-27,=84.6200,=84.6200,=84.6200,=84.6200,=147406777977.32,=131770551031.0,=73138671749.12,,=3.5683,,,,
2026-05-26,=86.4100,=86.4100,=86.4100,=86.4100,=150524931281.26,=134557945103.0,=74685802716.16,,=3.6438,,,,
2026-05-25,=82.0800,=82.0800,=82.0800,=82.0800,=142982135858.88,=127815254415.0,=70943301550.08,,=3.4612,,,,
2026-05-22,=82.0300,=82.0300,=82.0300,=82.0300,=142895036604.58,=127737394246.0,=70900085601.28,,=3.4591,,,,
2026-05-21,=83.3800,=83.3800,=83.3800,=83.3800,=145246716470.68,=129839618825.0,=72066916218.88,,=3.5160,,,,
2026-05-20,=78.5600,=78.5600,=78.5600,=78.5600,=136850348356.16,=122333898476.0,=67900898754.56,,=3.3128,,,,
2026-05-19,=80.0800,=80.0800,=80.0800,=80.0800,=139498165686.88,=124700847631.0,=69214663598.08,,=3.3768,,,,
2026-05-18,=81.8000,=81.8000,=81.8000,=81.8000,=142494380034.8,=127379237466.0,=70701292236.8,,=3.4494,,,,
2026-05-15,=83.2600,=83.2600,=83.2600,=83.2600,=145037678260.36,=129652754418.0,=71963197941.76,,=3.5109,,,,
2026-05-14,=85.0500,=85.0500,=85.0500,=85.0500,=148155831564.3,=132440148490.0,=73510328908.8,,=3.5864,,,,
2026-05-13,=87.4600,=87.4600,=87.4600,=87.4600,=152354015621.56,=136193008664.0,=75593337640.96,,=3.6881,,,,
2026-05-12,=86.7500,=86.7500,=86.7500,=86.7500,=151117206210.5,=135087394256.0,=74979671168.0,,=3.6581,,,,
2026-05-11,=89.1900,=89.1900,=89.1900,=89.1900,=155367649820.34,=138886970532.0,=77088609469.44,,=3.7610,,,,
2026-05-08,=90.3000,=90.3000,=90.3000,=90.3000,=157301253265.8,=140615466298.0,=78048003532.8,,=3.8078,,,,
2026-05-07,=89.1900,=89.1900,=89.1900,=89.1900,=155367649820.34,=138886970532.0,=77088609469.44,,=3.7610,,,,
2026-05-06,=88.0700,=88.0700,=88.0700,=88.0700,=153416626524.02,=137142902733.0,=76120572216.32,,=3.7138,,,,
2026-04-30,=88.7500,=88.7500,=88.7500,=88.7500,=154601176382.5,=138201801040.0,=76708309120.0,,=3.7424,,,,
2026-04-29,=90.4500,=90.4500,=90.4500,=90.4500,=157562551028.7,=140849046806.0,=78177651379.2,,=3.8507,,,,
2026-04-28,=88.9500,=88.9500,=88.9500,=88.9500,=154949573399.7,=138513241718.0,=76881172915.2,,=3.7868,,,,
2026-04-27,=90.6800,=90.6800,=90.6800,=90.6800,=157963207598.48,=141207203587.0,=78376444743.68,,=3.8605,,,,
2026-04-24,=90.8500,=90.8500,=90.8500,=90.8500,=158259345063.1,=141471928163.0,=78523378969.6,,=3.8677,,,,
2026-04-23,=92.4800,=92.4800,=92.4800,=92.4800,=161098780753.28,=144010169692.0,=79932218900.48,,=3.9371,,,,
2026-04-22,=90.4700,=90.4700,=90.4700,=90.4700,=157597390730.42,=140880190874.0,=78194937758.72,,=3.8515,,,,
2026-04-21,=89.9500,=89.9500,=89.9500,=89.9500,=156691558485.7,=140070445110.0,=77745491891.2,,=3.8294,,,,
2026-04-20,=90.0700,=90.0700,=90.0700,=90.0700,=156900596696.02,=140257309517.0,=77849210168.32,,=3.8345,,,,
2026-04-17,=89.4700,=89.4700,=89.4700,=89.4700,=155855405644.42,=139322987482.0,=77330618782.72,,=3.8090,,,,
2026-04-16,=89.9100,=89.9100,=89.9100,=89.9100,=156621879082.26,=140008156975.0,=77710919132.16,,=3.8277,,,,
2026-04-15,=88.3200,=88.3200,=88.3200,=88.3200,=153852122795.52,=137532203581.0,=76336651960.32,,=3.7600,,,,
2026-04-14,=89.8900,=89.8900,=89.8900,=89.8900,=156587039380.54,=139977012907.0,=77693632752.64,,=3.8268,,,,
2026-04-13,=90.1100,=90.1100,=90.1100,=90.1100,=156970276099.46,=140319597653.0,=77883782927.36,,=3.8362,,,,
2026-04-10,=90.0700,=90.0700,=90.0700,=90.0700,=156900596696.02,=140257309517.0,=77849210168.32,,=3.8345,,,,
2026-04-09,=88.5800,=88.5800,=88.5800,=88.5800,=154305038917.88,=137937076463.0,=76561374894.08,,=3.7711,,,,
2026-04-08,=90.0000,=90.0000,=90.0000,=90.0000,=156778657740.0,=140148305280.0,=77788707840.0,,=3.8315,,,,
2026-04-07,=86.6300,=86.6300,=86.6300,=86.6300,=150908168000.18,=134900529849.0,=70767854421.51,,=3.6881,,,,
2026-04-03,=86.4000,=86.4000,=86.4000,=86.4000,=150507511430.4,=134542373069.0,=70579967932.8,,=3.6783,,,,
2026-04-02,=89.0800,=89.0800,=89.0800,=89.0800,=155176031460.88,=138715678159.0,=72769253975.16,,=3.7924,,,,
2026-04-01,=91.7600,=91.7600,=91.7600,=91.7600,=159844551491.36,=142888983250.0,=74958540017.52,,=3.9064,,,,
2026-03-31,=90.8300,=90.8300,=90.8300,=90.8300,=158224505361.38,=141440784095.0,=74198825084.91,,=3.8669,,,,
2026-03-30,=94.2400,=94.2400,=94.2400,=94.2400,=164164674504.64,=142281873868.0,=73686046504.48,,=6.0142,,,,
