date,流动负债合计,货币资金,资产合计,速动比率,资产负债率,流动比率,所有者权益合计,有息负债率,应收账款,长期负债合计,负债合计,流动资产合计
2026-03-31,4202521949,324000179352,91056789222,1.202,0.5001,2.3912,45519714008,0.1705,8780279745,13732167819,45537075214,311455825
2025-12-31,4290959315,332414626623.6,89800578024,1.1188,0.5108,2.2659,43927549736,0.1672,8216966691,12972934857,45873028288,541602840
2025-09-30,4704129888,327548750761.2,85894227938,1.0788,0.509,2.429,42171330822,0.1698,9101331437,13224590313,43722897116,724568459
2025-06-30,5004503251,236066417844.27,84344685084,0.9491,0.5249,2.251,40072989707,0.1654,7923968385,12389728823,44271695378,521373951
2025-03-31,5751494199,222074647392,68242220291,0.8884,0.5,2.0538,34123993796,0.1057,6955645781,4858169021,34118226495,550380744
2024-12-31,6214163863,207635980774,65708880828,0.9098,0.5096,1.9679,32225195939,0.0949,6044952733,3946105391,33483684889,479104806
2024-09-30,7782918820,194349402157.72,63430457680,0.9404,0.5289,2.0808,29882222772,0.0947,6531571459,5776626816,33548234909,351453178
2024-06-30,8984771604,169867880316.96,60021185980,0.8882,0.5354,1.9022,27885269250,0.1009,5659381448,5810960149,32135916730,387721598
2024-03-31,9251029540,162057658150.4,56256540819,0.993,0.5371,1.9531,26038727301,0.1087,4888957313,5831131927,30217813517,335113860
2023-12-31,8316892378,130261646366.34,53624552279,1.0202,0.5371,2.0031,24824780519,0.1126,3767378765,5835243587,28799771761,284927764
2023-09-30,9380264332,127865494967,52530272088,0.9571,0.5629,1.9092,22962502410,0.1129,4133531417,5774827000,29567769678,377696127
2023-06-30,8585582142,168281735596.85,48489817158,0.939,0.5497,1.9482,21835264330,0.1129,3384040907,5353994900,26654552828,367879085
2023-03-31,7822427598,140569465175.1,44854260342,0.9496,0.5397,1.9617,20646682443,0.1021,3079654139,4440000000,24207577899,385368591
2022-12-31,7198476041,119082230737.8,42551398848,1.0231,0.5304,1.9732,19983905282,0.0961,2995183112,3740000000,22567493567,390841476
2022-09-30,6511681257,147091495219.2,40895706832,1.177,0.5331,2.0202,19093095628,0.0988,3873141759,3700000000,21802611205,406509002
2022-06-30,5678224631,146098769431.68,35320071130,1.0365,0.4866,1.9503,18133680698,0.0518,3017647290,1500000000,17186390432,346743536
2022-03-31,5090428541,144073935268,31792256182,1.0218,0.4464,1.949,17599618224,0.0112,2196087931,0,14192637959,309045712
2021-12-31,5046171822,182412349750.16,31054473365,1.1834,0.4462,1.981,17198391159,0.001,1899157846,0,13856082206,295607677
2021-09-30,5503458329,181980673400.5,22388658674,0.4726,0.6555,1.1681,7713801780,0.0267,2270112873,10000000,14674856894,240345363
2021-06-30,4742853072,137709403727.58,21825277100,0.53,0.6635,1.1929,7345008847,0.0219,2077332843,10000000,14480268253,211479866
2021-03-31,4494485729,71259836447.76,20260452847,0.6112,0.6495,1.2337,7101505236,0.042,1406871540,10000000,13158947611,174997107
2020-12-31,3048455729,89727621844.56,17518033653,0.6908,0.594,1.3941,7111788257,0.0361,1431025871,10000000,10406245396,233814133
2020-09-30,2347526181,78940281868.8,15880520931,0.6709,0.5857,1.3272,6579344193,0.0969,1759535479,0,9301176738,0
2020-06-30,2732942248,84620407160.7,14802271398,0.7037,0.5762,1.4156,6272462697,0.0999,1512683518,260000000,8529808701,0
2020-03-31,2644410387,57582080351,14148797397,0.7967,0.5673,1.4884,6122164158,0.1011,1139243424,412440000,8026633239,0
2019-12-31,0,43176915760,13734762795,0.9925,0.5559,1.768,6100206977,0.1624,936399635,1112853716,7634555817,0
2019-09-30,0,30035926584.6,10952605450,0.5801,0.6376,1.5046,3969645970,0.175,1119022072,1145103716,6982959480,0
2019-06-30,0,31716802622.5,10864705804,0.5334,0.6439,1.3764,3868931274,0.1501,1062017095,644690000,6995774530,0
2019-03-31,0,32284728041.3,10154249447,0.4726,0.6287,1.3143,3770514759,0.1154,920423024,455140000,6383734688,0
2018-12-31,0,17294245011.2,10001490721,0.5644,0.6249,1.2665,3751416569,0.1294,843249861,328140000,6250074152,0
2018-09-30,0,21553685652.2,10068450027,0.6442,0.6378,1.3984,3647041339,0.1251,1022557418,603400000,6421408687,0
2018-06-30,0,22749077057.9,9099432157,0.7113,0.6055,1.402,3589445557,0.1258,930395971,483400000,5509986599,0
2018-03-31,0,21008660451.9,8516918995,0.625,0.5909,1.3656,3484053070,0.1269,802611708,394900000,5032865925,0
2017-12-31,0,18979701092.8,8145390006,0.7833,0.5727,1.4951,3480374461,0.1173,734912167,435800000,4665015545,0
2017-09-30,0,13662270357.1,7720365900,0.8314,0.556,1.6093,3428017489,0.0884,825028232,310000000,4292348411,0
2017-06-30,0,10955464530.4,7123161707,0.9698,0.5203,1.7484,3416712886,0.0722,862258901,150000000,3706448821,0
2017-03-31,0,13053124545,6777489003,1.1208,0.5034,1.9235,3365575336,0.0589,717010718,120000000,3411913666,0
2016-12-31,0,12182916242,6540875336,1.2124,0.4857,1.9603,3363808308,0.076,693709647,60000000,3177067028,0
2016-09-30,0,15764510415.4,6650817731,1.3476,0.5017,2.1067,3313905805,0.077,856039364,0,3336911927,0
