date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2026-03-31,748055667,1.4327,2912466596,0.8523
2025-12-31,2133444578,0.3748,713057277,0.3944
2025-09-30,-2566434879,-7.1301,-3158260134,-0.233
2025-06-30,-3191375954,-9.1734,-3053941946,-0.2168
2025-03-31,-1728688647,-8.3401,-2391870415,-0.0676
2024-12-31,1573165054,-0.3348,-466321808,0.2763
2024-09-30,454777870,-0.5997,255501323,0.3052
2024-06-30,-292472216,0.1905,666300757,0.4912
2024-03-31,260016537,1.3931,1482180972,0.7245
2023-12-31,2365007735,4.2489,385305083,0.5865
2023-09-30,1135978731,6.95,-1410560872,0.1642
2023-06-30,-361310583,0.7648,-1204484101,0.1269
2023-03-31,-661529951,0.4889,-1608377524,-0.0327
2022-12-31,-727939010,0.063,-2135872798,-0.2865
2022-09-30,-190920907,0.683,-1265060934,-0.1591
2022-06-30,-1536461229,-6.7168,-2922716172,-1.2467
2022-03-31,-1294300561,-2.9571,-3370206310,-2.0133
2021-12-31,-776859120,-1.5609,-1223561063,-0.651
2021-09-30,-602204358,-4.6425,89631065,0.6144
2021-06-30,-199107008,-1.362,89959683,0.8092
2021-03-31,661328683,-0.084,823051531,1.9526
2020-12-31,1385139595,2.4712,726263955,2.1948
2020-09-30,165328194,1.1721,-349501427,0.3726
2020-06-30,549988627,2.1526,-341373057,0.199
2020-03-31,721968606,3.844,-364366839,0.091
2019-12-31,-941473334,-45.0432,-1111741833,-2.5469
2019-09-30,-960436433,-18.9543,-1201314263,-2.9781
2019-06-30,-477164533,-13.5701,-676549880,-1.5281
2019-03-31,-253858889,0.0063,-203843296,-0.0644
2018-12-31,-20447601,-1.6467,-264372780,-0.0723
2018-09-30,53493374,1.2558,15211129,1.137
2018-06-30,-32749511,-38.0863,-299485442,-0.0013
2018-03-31,-255457347,-49.9322,-537292319,-1.2218
2017-12-31,31620679,1.157,-200470447,0.1889
2017-09-30,-209092254,-0.388,-566060786,-1.6572
2017-06-30,-837877,0.9929,-362665522,-0.7594
2017-03-31,-5015638,0.9516,-390308414,-1.4041
2016-12-31,-201418443,-0.4491,-379226906,-1.4601
2016-09-30,-150639194,0.2836,-161197086,-0.9252
