date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-07-03,128642559252.9,3.9281,,,,,34.9882,,,,,4.4506,,,,,4.4673,,,,,34.9345,,,,,0.0047
2026-07-02,127744053629.92,3.9006,,,,,34.7438,,,,,4.4195,,,,,4.4361,,,,,34.6905,,,,,0.0048
2026-07-01,122496544366.56,3.7404,,,,,33.3166,,,,,4.2380,,,,,4.2538,,,,,33.2654,,,,,0.0050
2026-06-30,119645734045.6,3.6534,,,,,32.5412,,,,,4.1393,,,,,4.1548,,,,,32.4913,,,,,0.0051
2026-06-29,111375385931.7,3.4036,,,,,30.2918,,,,,3.8568,,,,,3.8676,,,,,30.2454,,,,,0.0055
2026-06-26,109382485481.28,3.3427,,,,,29.7498,,,,,3.7878,,,,,3.7984,,,,,29.7042,,,,,0.0056
2026-06-25,113153860384.29,3.4580,,,,,30.7756,,,,,3.9184,,,,,3.9294,,,,,30.7283,,,,,0.0054
2026-06-24,113898044729.7,3.4807,,,,,30.9780,,,,,3.9442,,,,,3.9552,,,,,30.9304,,,,,0.0053
2026-06-23,110618588292.3,3.3805,,,,,30.0860,,,,,3.8306,,,,,3.8414,,,,,30.0398,,,,,0.0055
2026-06-22,114225990373.44,3.4907,,,,,31.0672,,,,,3.9555,,,,,3.9666,,,,,31.0195,,,,,0.0053
2026-06-18,113481806028.03,3.4680,,,,,30.8648,,,,,3.9297,,,,,3.9408,,,,,30.8174,,,,,0.0054
2026-06-17,113671005437.88,3.4738,,,,,30.9162,,,,,3.9363,,,,,3.9474,,,,,30.8688,,,,,0.0053
2026-06-16,111249252991.8,3.3998,,,,,30.2575,,,,,3.8524,,,,,3.8633,,,,,30.2111,,,,,0.0055
2026-06-15,111905144279.28,3.4198,,,,,30.4359,,,,,3.8751,,,,,3.8860,,,,,30.3892,,,,,0.0054
2026-06-12,108486941607.99,3.3154,,,,,29.5062,,,,,3.7568,,,,,3.7673,,,,,29.4610,,,,,0.0056
2026-06-11,107427424912.83,3.2830,,,,,29.2181,,,,,3.7201,,,,,3.7305,,,,,29.1732,,,,,0.0057
2026-06-10,113746685201.82,3.4761,,,,,30.9368,,,,,3.9389,,,,,3.9500,,,,,30.8893,,,,,0.0053
2026-06-09,117707259514.68,3.5971,,,,,32.0140,,,,,4.0761,,,,,4.0875,,,,,31.9649,,,,,0.0052
2026-06-08,116067531295.98,3.5470,,,,,31.5680,,,,,4.0193,,,,,4.0306,,,,,31.5196,,,,,0.0052
