date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,128642559252.9,4.4673,,,,,3.9281,,,,,0.0047,4.4506,,,,,34.9882,,,,,34.9345,,,,
2026-07-02,127744053629.92,4.4361,,,,,3.9006,,,,,0.0048,4.4195,,,,,34.7438,,,,,34.6905,,,,
2026-07-01,122496544366.56,4.2538,,,,,3.7404,,,,,0.0050,4.2380,,,,,33.3166,,,,,33.2654,,,,
2026-06-30,119645734045.6,4.1548,,,,,3.6534,,,,,0.0051,4.1393,,,,,32.5412,,,,,32.4913,,,,
2026-06-29,111375385931.7,3.8676,,,,,3.4036,,,,,0.0055,3.8568,,,,,30.2918,,,,,30.2454,,,,
2026-06-26,109382485481.28,3.7984,,,,,3.3427,,,,,0.0056,3.7878,,,,,29.7498,,,,,29.7042,,,,
2026-06-25,113153860384.29,3.9294,,,,,3.4580,,,,,0.0054,3.9184,,,,,30.7756,,,,,30.7283,,,,
2026-06-24,113898044729.7,3.9552,,,,,3.4807,,,,,0.0053,3.9442,,,,,30.9780,,,,,30.9304,,,,
2026-06-23,110618588292.3,3.8414,,,,,3.3805,,,,,0.0055,3.8306,,,,,30.0860,,,,,30.0398,,,,
2026-06-22,114225990373.44,3.9666,,,,,3.4907,,,,,0.0053,3.9555,,,,,31.0672,,,,,31.0195,,,,
2026-06-18,113481806028.03,3.9408,,,,,3.4680,,,,,0.0054,3.9297,,,,,30.8648,,,,,30.8174,,,,
2026-06-17,113671005437.88,3.9474,,,,,3.4738,,,,,0.0053,3.9363,,,,,30.9162,,,,,30.8688,,,,
2026-06-16,111249252991.8,3.8633,,,,,3.3998,,,,,0.0055,3.8524,,,,,30.2575,,,,,30.2111,,,,
2026-06-15,111905144279.28,3.8860,,,,,3.4198,,,,,0.0054,3.8751,,,,,30.4359,,,,,30.3892,,,,
2026-06-12,108486941607.99,3.7673,,,,,3.3154,,,,,0.0056,3.7568,,,,,29.5062,,,,,29.4610,,,,
2026-06-11,107427424912.83,3.7305,,,,,3.2830,,,,,0.0057,3.7201,,,,,29.2181,,,,,29.1732,,,,
2026-06-10,113746685201.82,3.9500,,,,,3.4761,,,,,0.0053,3.9389,,,,,30.9368,,,,,30.8893,,,,
2026-06-09,117707259514.68,4.0875,,,,,3.5971,,,,,0.0052,4.0761,,,,,32.0140,,,,,31.9649,,,,
2026-06-08,116067531295.98,4.0306,,,,,3.5470,,,,,0.0052,4.0193,,,,,31.5680,,,,,31.5196,,,,
2026-06-05,120318211370.61,4.1782,,,,,3.6769,,,,,0.0051,4.1665,,,,,32.7241,,,,,32.6739,,,,
2026-06-04,124695024385.14,4.3302,,,,,3.8107,,,,,0.0049,4.3180,,,,,33.9145,,,,,33.8625,,,,
2026-06-03,127280749653.09,4.4200,,,,,3.8748,,,,,0.0048,4.3885,,,,,34.6178,,,,,34.5647,,,,
2026-06-02,116862168817.35,4.0582,,,,,3.5577,,,,,0.0052,4.0293,,,,,31.7841,,,,,31.7354,,,,
2026-06-01,116332410469.77,4.0398,,,,,3.5415,,,,,0.0052,4.0110,,,,,31.6401,,,,,31.5915,,,,
2026-05-29,119826292905.0,4.1611,,,,,3.6479,,,,,0.0051,4.1315,,,,,32.5903,,,,,32.5403,,,,
2026-05-28,128529465758.1,4.4633,,,,,3.9128,,,,,0.0047,4.4316,,,,,34.9574,,,,,34.9038,,,,
2026-05-27,132389133719.04,4.5974,,,,,4.0303,,,,,0.0046,4.5646,,,,,36.0072,,,,,35.9519,,,,
2026-05-26,133762127135.25,4.6450,,,,,4.0721,,,,,0.0045,4.6120,,,,,36.3806,,,,,36.3248,,,,
2026-05-25,137381409730.5,4.7707,,,,,4.1823,,,,,0.0044,4.7368,,,,,37.3650,,,,,37.3076,,,,
2026-05-22,131466972318.75,4.5653,,,,,4.0023,,,,,0.0046,4.5328,,,,,35.7564,,,,,35.7015,,,,
2026-05-21,129461864539.5,4.4957,,,,,3.9412,,,,,0.0047,4.4637,,,,,35.2110,,,,,35.1570,,,,
2026-05-20,127746803797.5,4.4362,,,,,3.8890,,,,,0.0048,4.4046,,,,,34.7445,,,,,34.6912,,,,
2026-05-19,129411421576.5,4.4940,,,,,3.9397,,,,,0.0047,4.4620,,,,,35.1973,,,,,35.1433,,,,
2026-05-18,125842581944.25,4.3700,,,,,3.8310,,,,,0.0048,4.3389,,,,,34.2266,,,,,34.1741,,,,
2026-05-15,127860300464.25,4.4401,,,,,3.8925,,,,,0.0048,4.4085,,,,,34.7754,,,,,34.7220,,,,
2026-05-14,126737944537.5,4.4011,,,,,3.8583,,,,,0.0048,4.3698,,,,,34.4702,,,,,34.4173,,,,
2026-05-13,130533777503.25,4.5329,,,,,3.9739,,,,,0.0047,4.5007,,,,,35.5025,,,,,35.4481,,,,
2026-05-12,130281562688.25,4.5242,,,,,3.9662,,,,,0.0047,4.4920,,,,,35.4339,,,,,35.3796,,,,
2026-05-11,127847689723.5,4.4397,,,,,3.8921,,,,,0.0048,4.4081,,,,,34.7720,,,,,34.7186,,,,
2026-05-08,125073326758.5,4.3433,,,,,3.8076,,,,,0.0049,4.3124,,,,,34.0174,,,,,33.9652,,,,
2026-05-07,126435286759.5,4.3906,,,,,3.8491,,,,,0.0048,4.3594,,,,,34.3878,,,,,34.3351,,,,
2026-05-06,127242374167.5,4.4186,,,,,3.8737,,,,,0.0048,4.3872,,,,,34.6073,,,,,34.5542,,,,
2026-04-30,123963581572.5,4.3048,,,,,3.7738,,,,,0.0049,4.2741,,,,,33.7156,,,,,33.6638,,,,
2026-04-29,128112515279.25,4.4399,,,,,4.5781,,,,,0.0047,5.2580,,,,,32.7694,,,,,31.6686,,,,
2026-04-28,131012985651.75,4.5404,,,,,4.6817,,,,,0.0046,5.3771,,,,,33.5113,,,,,32.3855,,,,
2026-04-27,131946180467.25,4.5728,,,,,4.7151,,,,,0.0046,5.4154,,,,,33.7500,,,,,32.6162,,,,
2026-04-24,119953366014.0,4.1571,,,,,4.2865,,,,,0.0051,4.9231,,,,,30.6824,,,,,29.6517,,,,
2026-04-23,116573687493.0,4.0400,,,,,4.1658,,,,,0.0052,4.7844,,,,,29.8179,,,,,28.8162,,,,
2026-04-22,118793177865.0,4.1169,,,,,4.2451,,,,,0.0051,4.8755,,,,,30.3856,,,,,29.3649,,,,
2026-04-21,117090727863.75,4.0579,,,,,4.1842,,,,,0.0052,4.8057,,,,,29.9502,,,,,28.9440,,,,
2026-04-20,118263526753.5,4.0986,,,,,4.2261,,,,,0.0051,4.8538,,,,,30.2502,,,,,29.2340,,,,
2026-04-17,117330331938.0,4.0662,,,,,4.1928,,,,,0.0052,4.8155,,,,,30.0115,,,,,29.0033,,,,
2026-04-16,118175251568.25,4.0955,,,,,4.2230,,,,,0.0051,4.8502,,,,,30.2276,,,,,29.2121,,,,
2026-04-15,116409747863.25,4.0343,,,,,4.1599,,,,,0.0052,4.7777,,,,,29.7760,,,,,28.7757,,,,
2026-04-14,119373271939.5,4.1370,,,,,4.2658,,,,,0.0051,4.8993,,,,,30.5340,,,,,29.5083,,,,
2026-04-13,119587654532.25,4.1445,,,,,4.2735,,,,,0.0051,4.9081,,,,,30.5888,,,,,29.5613,,,,
2026-04-10,120243413051.25,4.1672,,,,,4.2969,,,,,0.0051,4.9350,,,,,30.7566,,,,,29.7234,,,,
2026-04-09,118843620828.0,4.1187,,,,,4.2469,,,,,0.0051,4.8776,,,,,30.3985,,,,,29.3774,,,,
2026-04-08,120369520458.75,4.1716,,,,,4.3014,,,,,0.0051,4.9402,,,,,30.7888,,,,,29.7545,,,,
2026-04-07,114530747491.5,3.9692,,,,,4.0928,,,,,0.0053,4.7006,,,,,29.2954,,,,,28.3112,,,,
2026-04-03,113685827861.25,3.9399,,,,,4.0626,,,,,0.0054,4.6659,,,,,29.0792,,,,,28.1024,,,,
2026-04-02,115199116751.25,3.9924,,,,,4.1166,,,,,0.0053,4.7280,,,,,29.4663,,,,,28.4765,,,,
2026-04-01,121126164903.75,4.1978,,,,,4.3284,,,,,0.0050,4.9713,,,,,30.9824,,,,,29.9416,,,,
2026-03-31,119751594162.0,4.1501,,,,,4.2793,,,,,0.0051,4.9149,,,,,30.6308,,,,,29.6018,,,,
2026-03-30,126510951204.0,4.4227,,,,,4.6416,,,,,0.0059,5.3536,,,,,33.0871,,,,,30.4248,,,,
2026-03-27,127393703056.5,4.4536,,,,,4.6740,,,,,0.0059,5.3910,,,,,33.3180,,,,,30.6371,,,,
2026-03-26,126107407500.0,4.4086,,,,,4.6268,,,,,0.0059,5.3365,,,,,32.9816,,,,,30.3277,,,,
2026-03-25,129070931576.25,4.5122,,,,,4.7355,,,,,0.0058,5.4620,,,,,33.7567,,,,,31.0404,,,,
2026-03-24,126082186018.5,4.4077,,,,,4.6258,,,,,0.0059,5.3355,,,,,32.9750,,,,,30.3216,,,,
2026-03-23,124367125276.5,4.3478,,,,,4.5629,,,,,0.0060,5.2629,,,,,32.5264,,,,,29.9092,,,,
2026-03-20,130567802510.2,4.5645,,,,,4.7904,,,,,0.0057,5.5253,,,,,34.1481,,,,,31.4004,,,,
2026-03-19,133455299060.16,4.6655,,,,,4.8964,,,,,0.0056,5.6475,,,,,34.9033,,,,,32.0948,,,,
2026-03-18,136531932938.72,4.7730,,,,,5.0092,,,,,0.0055,5.7777,,,,,35.7080,,,,,32.8347,,,,
2026-03-17,137338918874.08,4.8012,,,,,5.0388,,,,,0.0054,5.8118,,,,,35.9190,,,,,33.0288,,,,
2026-03-16,139078982297.2,4.8621,,,,,5.1027,,,,,0.0054,5.8855,,,,,36.3741,,,,,33.4473,,,,
2026-03-13,140882091496.52,4.9251,,,,,5.1688,,,,,0.0053,5.9618,,,,,36.8457,,,,,33.8809,,,,
2026-03-12,142256489417.68,4.9732,,,,,5.2193,,,,,0.0052,6.0199,,,,,37.2052,,,,,34.2114,,,,
