date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,1484629547,1.0259,737078999,-0.3287
2025-12-31,1794868262,1.0218,4119514939,-0.1367
2025-09-30,2097855940,1.0207,2676153377,-0.1754
2025-06-30,3163302194,1.2269,1888150248,0.0366
2025-03-31,3233405278,1.3251,1097915587,-0.0112
2024-12-31,3550811569,1.4529,4771871581,-0.3668
2024-09-30,4166024374,2.0892,3245316232,-0.405
2024-06-30,5125378046,3.5445,1821507799,-0.4181
2024-03-31,6241400841,8.0455,1110348754,-0.1971
2023-12-31,6495141911,13.8587,7536687722,4.781
2023-09-30,4343107913,-7.5523,5454413648,3.044
2023-06-30,332874921,-2.1952,3130311716,3.25
2023-03-31,-2018438780,0.7076,1382860098,2.7343
2022-12-31,-4245492335,-2.08,-1993297788,-1.9092
2022-09-30,-4592426193,-0.965,-2668563625,-2.0628
2022-06-30,-1581097159,-0.0688,-1391237539,-2.2534
2022-03-31,-322132421,0.2095,-797348154,-2.6528
2021-12-31,1072908342,0.4823,2192411060,-0.3445
2021-09-30,4475557447,1.2022,2510830454,5.6382
2021-06-30,3249085544,1.0552,1110009766,4.3018
2021-03-31,2826121325,1.1806,482416923,6.5558
2020-12-31,2217388431,1.2465,3344594068,3.153
2020-09-30,40522761,0.7021,378241043,2.5464
2020-06-30,-208552424,0.6287,209366493,3.536
2020-03-31,-162410351,0.7008,-86831881,0.7878
2019-12-31,78667704,1.1419,805335235,0.0194
2019-09-30,-321577106,-0.1887,-244594421,-1.6574
2019-06-30,149133979,-17.5723,-33951592,0.8837
2019-03-31,50311014,1.1618,-57386267,0.7032
2018-12-31,-79777029,0.0467,5401858,1.0199
2018-09-30,-430638826,-1.3016,-189399431,-0.6047
2018-06-30,-667064408,-2.7419,-291878764,-11.9582
2018-03-31,-594596133,-4.143,-193332922,-3.7747
2017-12-31,-331202309,-2.2038,-271954276,-4.8786
2017-09-30,-126787119,-0.9143,-118030823,-2.8724
2017-06-30,65220236,0.729,26635726,1.5947
2017-03-31,47447869,0.9692,69678289,8.7303
2016-12-31,-17197354,0.5334,70116453,2.4985
2016-09-30,,,63037746,
