date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,0.7612,6425122558,684071356,2.4371
2025-12-31,0.8061,6381532522,7701234651,11.0157
2025-09-30,0.6642,3389479132,4637420688,15.2963
2025-06-30,0.3186,248168218,952686854,4.2767
2025-03-31,0.1651,-837543413,199026141,0.2045
2024-12-31,0.2259,-835407863,640930146,-0.4856
2024-09-30,0.3431,-343207380,284568423,-0.6756
2024-06-30,0.3736,-235726614,-290744264,-1.6024
2024-03-31,1.2776,537779189,165235822,-0.3517
2023-12-31,1.8101,691675752,1245984809,0.4987
2023-09-30,2.2763,842351843,877084108,1.1428
2023-06-30,1.5232,630345144,482631408,1.4039
2023-03-31,1.2162,668663169,254890931,13.8414
2022-12-31,0.9201,466691176,831352212,2.8043
2022-09-30,0.4185,76777515,409309294,0.8091
2022-06-30,0.3629,49002063,200768518,0.5562
2022-03-31,0.389,4618155,17174344,1.5809
2021-12-31,0.3301,-54964915,218531824,0.4151
2021-09-30,0.7704,208203732,226253177,3.434
2021-06-30,0.5077,35820261,129010292,4.8928
2021-03-31,0.0389,-289929100,-29565878,-1.2856
2020-12-31,0.314,-136206979,154433185,0.4107
2020-09-30,-0.1783,-339946278,-92953637,-2.0137
2020-06-30,0.0788,-207212178,-33140577,-1.6517
2020-03-31,0.8219,61238251,103535143,4.5937
2019-12-31,0.5143,10341046,109475914,-0.6586
2019-09-30,0.6913,38225762,91695388,-0.6965
2019-06-30,1.4899,134028579,50853276,-0.7195
2019-03-31,4.0811,203356577,18509097,-0.702
2018-12-31,10.0724,251847842,320626742,5.396
2018-09-30,13.2693,196839696,302122578,9.7141
2018-06-30,6.4103,117025330,181291164,2.7272
2018-03-31,0.4166,-80156099,62104036,2.4393
2017-12-31,-0.6565,-208669507,-72936174,-12.5489
2017-09-30,-0.2423,-195509421,-34670733,-33.5924
2017-06-30,-0.7134,-239187753,-104965105,-6.8239
2017-03-31,-0.2005,-169896881,-43148455,-2.0725
2016-12-31,0.06,-124461285,6315428,-0.8067
2016-09-30,0.3542,-51681766,1063766,1.3609
