date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,733379015784.0,68.2872,,,,,0.0014,37.7771,,,,,25.1782,,,,,38.1735,,,,,68.4984,,,,
2026-07-02,709676652156.0,66.0802,,,,,0.0014,36.5562,,,,,24.3645,,,,,36.9397,,,,,66.2846,,,,
2026-07-01,802478377043.0399,74.7213,,,,,0.0012,41.3365,,,,,27.5505,,,,,41.7702,,,,,74.9523,,,,
2026-06-30,846313807188.0,78.8030,,,,,0.0012,43.5945,,,,,29.0555,,,,,44.0519,,,,,79.0466,,,,
2026-06-29,776545202720.64,72.3066,,,,,0.0013,40.0007,,,,,26.6602,,,,,40.4203,,,,,72.5302,,,,
2026-06-26,789149283144.0,73.4802,,,,,0.0013,40.6499,,,,,27.0929,,,,,41.0764,,,,,73.7074,,,,
2026-06-25,851179763015.16,79.2560,,,,,0.0012,43.8452,,,,,29.2225,,,,,44.3052,,,,,79.5011,,,,
2026-06-24,774230736625.2,72.0911,,,,,0.0013,39.8814,,,,,26.5807,,,,,40.2999,,,,,72.3140,,,,
2026-06-23,769629689568.0,71.6627,,,,,0.0013,39.6444,,,,,26.4228,,,,,40.0604,,,,,71.8842,,,,
2026-06-22,808627049019.48,75.2938,,,,,0.0012,41.6532,,,,,27.7616,,,,,42.0903,,,,,75.5266,,,,
2026-06-18,810732376612.3201,75.4899,,,,,0.0012,41.7617,,,,,27.8339,,,,,42.1998,,,,,75.7233,,,,
2026-06-17,777827918869.92,72.4260,,,,,0.0013,40.0667,,,,,26.7042,,,,,40.4871,,,,,72.6500,,,,
2026-06-16,765446919516.0,71.2732,,,,,0.0013,39.4290,,,,,26.2792,,,,,39.8427,,,,,71.4936,,,,
2026-06-15,753581795135.16,70.1684,,,,,0.0013,38.8178,,,,,25.8718,,,,,39.2251,,,,,70.3854,,,,
2026-06-12,706135240178.64,65.7505,,,,,0.0014,36.3738,,,,,24.2429,,,,,36.7554,,,,,65.9538,,,,
2026-06-11,733379015784.0,68.2872,,,,,0.0014,37.7771,,,,,25.1782,,,,,38.1735,,,,,68.4984,,,,
2026-06-10,769330920720.0,71.6348,,,,,0.0013,37.6953,,,,,26.4125,,,,,38.0713,,,,,71.8563,,,,
2026-06-09,782506646391.36,72.8617,,,,,0.0013,38.3409,,,,,26.8649,,,,,38.7233,,,,,73.0870,,,,
2026-06-08,722025783200.0,67.2301,,,,,0.0014,35.3774,,,,,24.7885,,,,,35.7303,,,,,67.4380,,,,
2026-06-05,744931428736.0,69.3629,,,,,0.0013,36.4998,,,,,25.5748,,,,,36.8639,,,,,69.5774,,,,
2026-06-04,772756808574.0801,71.9538,,,,,0.0013,37.8631,,,,,26.5301,,,,,38.2408,,,,,72.1763,,,,
2026-06-03,779040922632.0,72.5390,,,,,0.0013,38.1710,,,,,26.7459,,,,,38.5518,,,,,72.7633,,,,
2026-06-02,743935531104.0,69.2702,,,,,0.0013,36.4510,,,,,25.5407,,,,,36.8146,,,,,69.4844,,,,
2026-06-01,677031128186.24,63.0405,,,,,0.0015,33.1728,,,,,23.2437,,,,,33.5037,,,,,63.2354,,,,
2026-05-29,703551882126.4,65.5099,,,,,0.0014,34.4723,,,,,24.1542,,,,,34.8161,,,,,65.7125,,,,
2026-05-28,715393104970.88,66.6125,,,,,0.0014,35.0525,,,,,24.5607,,,,,35.4021,,,,,66.8185,,,,
2026-05-27,692148854240.0,64.4482,,,,,0.0014,33.9136,,,,,23.7627,,,,,34.2518,,,,,64.6475,,,,
2026-05-26,697128342400.0,64.9118,,,,,0.0014,34.1575,,,,,23.9337,,,,,34.4983,,,,,65.1125,,,,
2026-05-25,656306498464.32,61.1108,,,,,0.0015,32.1574,,,,,22.5322,,,,,32.4781,,,,,61.2997,,,,
2026-05-22,604280806168.64,56.2665,,,,,0.0016,29.6082,,,,,20.7461,,,,,29.9036,,,,,56.4405,,,,
2026-05-21,562609270592.0,52.3863,,,,,0.0018,27.6077,,,,,19.3154,,,,,27.8835,,,,,52.5483,,,,
2026-05-20,584447655176.64,54.4198,,,,,0.0017,28.6794,,,,,20.0651,,,,,28.9659,,,,,54.5880,,,,
2026-05-19,569070331120.0,52.9879,,,,,0.0017,27.9248,,,,,19.5372,,,,,28.2038,,,,,53.1518,,,,
2026-05-18,596326066455.0399,55.5258,,,,,0.0017,29.2623,,,,,20.4730,,,,,29.5546,,,,,55.6975,,,,
2026-05-15,606395380785.6,56.4634,,,,,0.0016,29.7564,,,,,20.8187,,,,,30.0536,,,,,56.6380,,,,
2026-05-14,614198353884.7999,57.1900,,,,,0.0016,30.1393,,,,,21.0865,,,,,30.4404,,,,,57.3668,,,,
2026-05-13,625221917154.88,58.2164,,,,,0.0016,30.6802,,,,,21.4650,,,,,30.9867,,,,,58.3964,,,,
2026-05-12,588970397546.24,54.8409,,,,,0.0017,28.9013,,,,,20.2204,,,,,29.1900,,,,,55.0105,,,,
2026-05-11,560323049174.4,52.1735,,,,,0.0018,27.4956,,,,,19.2369,,,,,27.7702,,,,,52.3348,,,,
2026-05-08,548365117151.04,51.0600,,,,,0.0018,26.9088,,,,,18.8264,,,,,27.1776,,,,,51.2179,,,,
2026-05-07,560124247312.0,52.1549,,,,,0.0018,27.4858,,,,,19.2301,,,,,27.7604,,,,,52.3162,,,,
2026-05-06,519349985333.76,48.3583,,,,,0.0019,25.4850,,,,,17.8302,,,,,25.7396,,,,,48.5078,,,,
2026-04-30,522640156156.48,48.6647,,,,,0.0019,25.6464,,,,,17.9432,,,,,25.9026,,,,,48.8152,,,,
2026-04-29,533783000544.0,49.7022,,,,,0.0019,26.1932,,,,,18.3257,,,,,26.4549,,,,,49.8559,,,,
2026-04-28,532252226203.52,49.5597,,,,,0.0019,26.1181,,,,,18.2732,,,,,26.3790,,,,,49.7129,,,,
2026-04-27,534777009856.0,49.7948,,,,,0.0019,26.2420,,,,,18.3599,,,,,26.5041,,,,,49.9488,,,,
2026-04-24,534051383058.24,49.7272,,,,,0.0019,26.2064,,,,,18.3350,,,,,26.4682,,,,,49.8810,,,,
2026-04-23,604635984303.36,80.4162,,,,,0.0005,41.6284,,,,,30.1998,,,,,42.2142,,,,,80.7576,,,,
2026-04-22,618979538675.52,82.3239,,,,,0.0005,42.6159,,,,,30.9162,,,,,43.2157,,,,,82.6734,,,,
2026-04-21,575034386992.0,76.4792,,,,,0.0006,39.5904,,,,,28.7213,,,,,40.1475,,,,,76.8039,,,,
2026-04-20,579507428896.0,77.0741,,,,,0.0006,39.8983,,,,,28.9447,,,,,40.4598,,,,,77.4013,,,,
2026-04-17,585471484768.0,77.8673,,,,,0.0005,40.3089,,,,,29.2426,,,,,40.8762,,,,,78.1979,,,,
2026-04-16,534280005200.0,71.0589,,,,,0.0006,36.7845,,,,,26.6857,,,,,37.3022,,,,,71.3606,,,,
2026-04-15,494002747877.76,65.7020,,,,,0.0006,34.0114,,,,,24.6740,,,,,34.4901,,,,,65.9810,,,,
2026-04-14,516884842240.0,68.7454,,,,,0.0006,35.5868,,,,,25.8169,,,,,36.0877,,,,,69.0372,,,,
2026-04-13,509648454448.64,67.7829,,,,,0.0006,35.0886,,,,,25.4555,,,,,35.5824,,,,,68.0707,,,,
