date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,733379015784.0,38.1735,,,,,0.0014,68.4984,,,,,68.2872,,,,,25.1782,,,,,37.7771,,,,
2026-07-02,709676652156.0,36.9397,,,,,0.0014,66.2846,,,,,66.0802,,,,,24.3645,,,,,36.5562,,,,
2026-07-01,802478377043.0399,41.7702,,,,,0.0012,74.9523,,,,,74.7213,,,,,27.5505,,,,,41.3365,,,,
2026-06-30,846313807188.0,44.0519,,,,,0.0012,79.0466,,,,,78.8030,,,,,29.0555,,,,,43.5945,,,,
2026-06-29,776545202720.64,40.4203,,,,,0.0013,72.5302,,,,,72.3066,,,,,26.6602,,,,,40.0007,,,,
2026-06-26,789149283144.0,41.0764,,,,,0.0013,73.7074,,,,,73.4802,,,,,27.0929,,,,,40.6499,,,,
2026-06-25,851179763015.16,44.3052,,,,,0.0012,79.5011,,,,,79.2560,,,,,29.2225,,,,,43.8452,,,,
2026-06-24,774230736625.2,40.2999,,,,,0.0013,72.3140,,,,,72.0911,,,,,26.5807,,,,,39.8814,,,,
2026-06-23,769629689568.0,40.0604,,,,,0.0013,71.8842,,,,,71.6627,,,,,26.4228,,,,,39.6444,,,,
2026-06-22,808627049019.48,42.0903,,,,,0.0012,75.5266,,,,,75.2938,,,,,27.7616,,,,,41.6532,,,,
2026-06-18,810732376612.3201,42.1998,,,,,0.0012,75.7233,,,,,75.4899,,,,,27.8339,,,,,41.7617,,,,
2026-06-17,777827918869.92,40.4871,,,,,0.0013,72.6500,,,,,72.4260,,,,,26.7042,,,,,40.0667,,,,
2026-06-16,765446919516.0,39.8427,,,,,0.0013,71.4936,,,,,71.2732,,,,,26.2792,,,,,39.4290,,,,
2026-06-15,753581795135.16,39.2251,,,,,0.0013,70.3854,,,,,70.1684,,,,,25.8718,,,,,38.8178,,,,
2026-06-12,706135240178.64,36.7554,,,,,0.0014,65.9538,,,,,65.7505,,,,,24.2429,,,,,36.3738,,,,
2026-06-11,733379015784.0,38.1735,,,,,0.0014,68.4984,,,,,68.2872,,,,,25.1782,,,,,37.7771,,,,
2026-06-10,769330920720.0,38.0713,,,,,0.0013,71.8563,,,,,71.6348,,,,,26.4125,,,,,37.6953,,,,
2026-06-09,782506646391.36,38.7233,,,,,0.0013,73.0870,,,,,72.8617,,,,,26.8649,,,,,38.3409,,,,
2026-06-08,722025783200.0,35.7303,,,,,0.0014,67.4380,,,,,67.2301,,,,,24.7885,,,,,35.3774,,,,
