date,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率,自由现金流量
2026-03-31,27831931440,1.2215,1.1857,59391694612
2025-12-31,75429516296,0.5438,1.1819,44778799818
2025-09-30,52107388420,0.4431,1.1704,43127623478
2025-06-30,28829856948,0.41,1.155,34829611273
2025-03-31,12528238721,0.5331,1.2038,29967419736
2024-12-31,48860346839,0.3256,1.2403,24434510616
2024-09-30,36109037266,0.4038,1.3071,18374623482
2024-06-30,20446829834,0.2757,1.2827,11450171911
2024-03-31,8172074230,0.0438,1.3622,5170592206
2023-12-31,36860066015,0.2853,1.3889,6531219636
2023-09-30,25723188523,0.172,1.3437,2756940179
2023-06-30,16027707277,0.029,1.314,847911874
2023-03-31,7829053840,0.054,1.2002,4958420472
2022-12-31,28678502360,0.1,1.1579,4021270618
2022-09-30,21948447561,0.2321,1.1728,10494457239
2022-06-30,15575769525,0.2953,1.1341,11028491938
2022-03-31,7427862528,0.4153,1.1972,6900940039
2021-12-31,26072237601,0.8273,1.3302,5941022160
2021-09-30,17814544258,0.7986,1.2899,1940406264
2021-06-30,12025055353,0.8571,1.3881,-771496983
2021-03-31,5248175316,1.2563,1.6297,1188860904
2020-12-31,14268403423,0.3378,1.687,482464927
2020-09-30,9904944976,0.6352,1.9929,535905846
2020-06-30,6475077168,0.4695,2.1537,1097454748
2020-03-31,2326033155,0.8102,2.1933,-205967601
2019-12-31,10665557013,0.0423,2.1074,-1021340377
2019-09-30,6057290486,-0.0849,2.2231,-342110067
2019-06-30,4406208104,-0.1153,2.5067,382950472
2019-03-31,1284925091,-0.0317,2.3441,2236422722
2018-12-31,10233009701,0.048,2.1853,2787546490
2018-09-30,6619580913,0.1483,2.3683,4815476200
2018-06-30,4980685290,0.5066,2.5121,6163218344
2018-03-31,1326940832,0.3067,2.8551,4777626707
2017-12-31,9764355514,0.1352,3.0067,4822736226
2017-09-30,5764881327,0.0858,3.1158,4348617159
2017-06-30,3305808789,-0.0897,2.8802,3633704617
2017-03-31,1015456609,1.2971,3.3867,4105363382
2016-12-31,8601671878,-0.1624,5.098,3363349018
2016-09-30,5309439603,-0.0165,9.123,5302659906
