date,资本回报率(ROIC),净资产收益率(ROE),毛利率(GM),净利润率,总资产收益率(ROA)
2026-03-31,0.2011,0.3378,0.3106,0.2076,0.1592
2025-12-31,0.1799,0.2998,0.2773,0.1828,0.1405
2025-09-30,0.164,0.2801,0.2451,0.1692,0.1287
2025-06-30,0.1579,0.2818,0.2271,0.1544,0.1226
2025-03-31,0.1497,0.2646,0.2193,0.1436,0.1152
2024-12-31,0.1414,0.2492,0.2037,0.1297,0.1065
2024-09-30,0.1374,0.2376,0.1917,0.121,0.102
2024-06-30,0.1262,0.2189,0.1811,0.1097,0.0926
2024-03-31,0.1138,0.1956,0.1608,0.0931,0.0814
2023-12-31,0.1157,0.202,0.1581,0.0905,0.0818
2023-09-30,0.1112,0.1893,0.1539,0.083,0.0782
2023-06-30,0.1066,0.1809,0.1453,0.0769,0.0741
2023-03-31,0.1221,0.2086,0.1532,0.0864,0.0883
2022-12-31,0.1314,0.2279,0.1574,0.0916,0.0963
2022-09-30,0.1392,0.2432,0.1599,0.0989,0.105
2022-06-30,0.1488,0.2619,0.1677,0.1054,0.1111
2022-03-31,0.145,0.2609,0.1603,0.0974,0.1113
2021-12-31,0.1327,0.234,0.1544,0.0871,0.1003
2021-09-30,0.1228,0.2131,0.1449,0.0819,0.0917
2021-06-30,0.1122,0.1931,0.1373,0.072,0.0819
2021-03-31,0.0905,0.1529,0.1291,0.0577,0.0639
2020-12-31,0.0796,0.1285,0.1191,0.0493,0.0553
2020-09-30,0.0746,0.1246,0.115,0.0442,0.0505
2020-06-30,0.0689,0.1111,0.1124,0.0389,0.0444
2020-03-31,0.0646,0.1009,0.1098,0.0373,0.0422
2019-12-31,0.0651,0.097,0.114,0.0372,0.0428
2019-09-30,0.0674,0.1012,0.1113,0.0331,0.0417
2019-06-30,0.068,0.0909,0.1119,0.0312,0.0371
2019-03-31,,0.1019,0.1208,0.0388,0.0426
2018-12-31,0.0695,0.1103,0.1259,0.0442,0.0463
2018-09-30,,0.1181,0.1312,0.0412,0.0485
2018-06-30,,0.1228,0.1385,0.0426,0.049
2018-03-31,,0.0998,0.1423,0.0357,0.0386
2017-12-31,,0.0945,0.1394,0.0343,0.0364
2017-09-30,,0.0854,0.1388,0.0348,0.0322
2017-06-30,,0.0855,0.1323,0.0371,0.0315
2017-03-31,,0.0843,0.1216,0.0348,0.0294
2016-12-31,,0.0535,0.115,0.0214,0.0195
2016-09-30,,0.0355,0.1076,0.0159,0.0133
