date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-07-03,739753680784.04,3.9521,,,,,12.4745,,,,,3.9664,,,,,2.0067,,,,,11.9915,,,,,0.0216
2026-07-02,699335794558.6,3.7362,,,,,11.7930,,,,,3.7497,,,,,1.8970,,,,,11.3363,,,,,0.0228
2026-07-01,667692844158.42,3.5671,,,,,11.2594,,,,,3.5801,,,,,1.8112,,,,,10.8234,,,,,0.0239
2026-06-30,668490565597.08,3.5714,,,,,11.2728,,,,,3.5843,,,,,1.8134,,,,,10.8363,,,,,0.0239
2026-06-29,685774530101.38,3.6637,,,,,11.5643,,,,,3.6770,,,,,1.8602,,,,,11.1165,,,,,0.0233
2026-06-26,667426937012.2001,3.5657,,,,,11.2549,,,,,3.5786,,,,,1.8105,,,,,10.8191,,,,,0.0239
2026-06-25,689231323002.24,3.4936,,,,,11.6226,,,,,3.5056,,,,,1.8696,,,,,11.1725,,,,,0.0231
2026-06-24,735233259298.2999,3.7268,,,,,12.3983,,,,,3.7396,,,,,1.9944,,,,,11.9182,,,,,0.0217
2026-06-23,737892330760.5,3.7402,,,,,12.4431,,,,,3.7531,,,,,2.0016,,,,,11.9613,,,,,0.0216
2026-06-22,809421353093.68,4.1028,,,,,13.6493,,,,,4.1169,,,,,2.1956,,,,,13.1208,,,,,0.0197
2026-06-18,789478317127.18,4.0017,,,,,13.3130,,,,,4.0155,,,,,2.1415,,,,,12.7975,,,,,0.0202
2026-06-17,809155445947.46,4.1015,,,,,13.6449,,,,,4.1156,,,,,2.1949,,,,,13.1165,,,,,0.0197
2026-06-16,805432745900.38,4.0826,,,,,13.5821,,,,,4.0967,,,,,2.1848,,,,,13.0561,,,,,0.0198
2026-06-15,832555274814.82,4.2201,,,,,14.0395,,,,,4.2346,,,,,2.2584,,,,,13.4958,,,,,0.0192
2026-06-12,773523888353.98,3.9208,,,,,13.0440,,,,,3.9344,,,,,2.0983,,,,,12.5389,,,,,0.0206
2026-06-11,726724230619.26,3.6836,,,,,12.2548,,,,,3.6963,,,,,1.9713,,,,,11.7803,,,,,0.0219
2026-06-10,736562795029.4,3.7335,,,,,12.4207,,,,,3.7464,,,,,1.9980,,,,,11.9398,,,,,0.0217
2026-06-09,757037645288.34,3.8373,,,,,12.7660,,,,,3.8505,,,,,2.0535,,,,,12.2717,,,,,0.0211
2026-06-08,745869545147.1,3.7807,,,,,12.5777,,,,,3.7937,,,,,2.0233,,,,,12.0906,,,,,0.0214
