date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,739753680784.04,11.9915,,,,,2.0067,,,,,0.0216,12.4745,,,,,3.9521,,,,,3.9664,,,,
2026-07-02,699335794558.6,11.3363,,,,,1.8970,,,,,0.0228,11.7930,,,,,3.7362,,,,,3.7497,,,,
2026-07-01,667692844158.42,10.8234,,,,,1.8112,,,,,0.0239,11.2594,,,,,3.5671,,,,,3.5801,,,,
2026-06-30,668490565597.08,10.8363,,,,,1.8134,,,,,0.0239,11.2728,,,,,3.5714,,,,,3.5843,,,,
2026-06-29,685774530101.38,11.1165,,,,,1.8602,,,,,0.0233,11.5643,,,,,3.6637,,,,,3.6770,,,,
2026-06-26,667426937012.2001,10.8191,,,,,1.8105,,,,,0.0239,11.2549,,,,,3.5657,,,,,3.5786,,,,
2026-06-25,689231323002.24,11.1725,,,,,1.8696,,,,,0.0231,11.6226,,,,,3.4936,,,,,3.5056,,,,
2026-06-24,735233259298.2999,11.9182,,,,,1.9944,,,,,0.0217,12.3983,,,,,3.7268,,,,,3.7396,,,,
2026-06-23,737892330760.5,11.9613,,,,,2.0016,,,,,0.0216,12.4431,,,,,3.7402,,,,,3.7531,,,,
2026-06-22,809421353093.68,13.1208,,,,,2.1956,,,,,0.0197,13.6493,,,,,4.1028,,,,,4.1169,,,,
2026-06-18,789478317127.18,12.7975,,,,,2.1415,,,,,0.0202,13.3130,,,,,4.0017,,,,,4.0155,,,,
2026-06-17,809155445947.46,13.1165,,,,,2.1949,,,,,0.0197,13.6449,,,,,4.1015,,,,,4.1156,,,,
2026-06-16,805432745900.38,13.0561,,,,,2.1848,,,,,0.0198,13.5821,,,,,4.0826,,,,,4.0967,,,,
