代码,名称,股价,PE,PB,PS,股息率(%),ROE(%),ROA(%)
019547,21国债02,101.25,0.00,0.00,0.00,2.85,0.00,0.00
019666,22国债02,102.50,0.00,0.00,0.00,2.92,0.00,0.00
019735,22国债15,101.80,0.00,0.00,0.00,2.78,0.00,0.00
019665,22国债01,102.10,0.00,0.00,0.00,2.65,0.00,0.00
210024,21附息国债24,103.20,0.00,0.00,0.00,2.95,0.00,0.00
220003,22附息国债03,101.50,0.00,0.00,0.00,2.88,0.00,0.00
220012,22附息国债12,102.30,0.00,0.00,0.00,2.75,0.00,0.00
210016,21附息国债16,103.50,0.00,0.00,0.00,2.90,0.00,0.00
220019,22附息国债19,101.90,0.00,0.00,0.00,2.82,0.00,0.00
230004,23附息国债04,100.80,0.00,0.00,0.00,2.70,0.00,0.00
200006,20附息国债06,104.20,0.00,0.00,0.00,3.15,0.00,0.00
190015,19附息国债15,103.80,0.00,0.00,0.00,3.25,0.00,0.00
210011,21附息国债11,102.60,0.00,0.00,0.00,2.85,0.00,0.00
230009,23附息国债09,101.20,0.00,0.00,0.00,2.75,0.00,0.00
220023,22附息国债23,100.50,0.00,0.00,0.00,2.68,0.00,0.00
