日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=4.7000,=4.7000,=4.7000,=4.7000,=568349916843.4,=445336634263.0,=65607210554.3,,=17.0200,,,,
2026-07-02,=4.6000,=4.6000,=4.6000,=4.6000,=556257365421.2,=435861386725.0,=64211312457.4,,=16.6579,,,,
2026-07-01,=4.5400,=4.5400,=4.5400,=4.5400,=549001834567.88,=430176238203.0,=63373773599.26,,=16.4406,,,,
2026-06-30,=4.4600,=4.4600,=4.4600,=4.4600,=539327793430.12,=422596040173.0,=62257055121.74,,=16.1509,,,,
2026-06-29,=4.6100,=4.6100,=4.6100,=4.6100,=557466620563.42,=436808911479.0,=64350902267.09,,=16.6941,,,,
2026-06-26,=4.5200,=4.5200,=4.5200,=4.5200,=546583324283.4399,=428281188695.0,=63094593979.88,,=16.3682,,,,
2026-06-25,=4.5500,=4.5500,=4.5500,=4.5500,=550211089710.1,=431123762956.0,=63513363408.95,,=16.4768,,,,
2026-06-24,=4.6600,=4.6600,=4.6600,=4.6600,=563512896274.52,=441546535248.0,=65048851315.54,,=16.8752,,,,
2026-06-23,=4.7300,=4.7300,=4.7300,=4.7300,=571977682270.06,=448179208524.0,=66025979983.37,,=17.1287,,,,
2026-06-22,=4.7700,=4.7700,=4.7700,=4.7700,=576814702838.94,=451969307539.0,=66584339222.13,,=17.2735,,,,
2026-06-18,=4.7100,=4.7100,=4.7100,=4.7100,=569559171985.62,=446284159016.0,=65762703207.99,,=17.0562,,,,
2026-06-17,=4.8500,=4.8500,=4.8500,=4.8500,=586488743976.7,=459549505569.0,=67717433239.65,,=17.5632,,,,
2026-06-16,=4.9700,=4.9700,=4.9700,=4.9700,=600999805683.34,=470919802614.0,=69392916123.93,,=17.9978,,,,
2026-06-15,=4.9900,=4.9900,=4.9900,=4.9900,=603418315967.78,=472814852121.0,=69672163271.31,,=18.0702,,,,
2026-06-12,=4.9400,=4.9400,=4.9400,=4.9400,=597372040256.68,=468077228353.0,=68974045402.86,,=17.8891,,,,
2026-06-11,=4.7900,=4.7900,=4.7900,=4.7900,=579233213123.38,=453864357046.0,=66879691797.51,,=17.3459,,,,
2026-06-10,=4.7800,=4.7800,=4.7800,=4.7800,=578023957981.16,=452916832293.0,=66740068223.82,,=17.3097,,,,
2026-06-09,=4.7900,=4.7900,=4.7900,=4.7900,=579233213123.38,=453864357046.0,=66879691797.51,,=17.3459,,,,
2026-06-08,=4.9000,=4.9000,=4.9000,=4.9000,=592535019687.8,=464287129338.0,=68415551108.1,,=17.7443,,,,
2026-06-05,=4.8900,=4.8900,=4.8900,=4.8900,=591325764545.58,=463339604584.0,=68275927534.41,,=17.7081,,,,
