日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,=7.1000,=7.1000,=7.1000,=7.1000,=111456462848.9,=78083740425.0,=31069055089.2,,=2.1388,,,,
2026-07-02,=7.6100,=7.6100,=7.6100,=7.6100,=119462490461.99,=83692572484.0,=33300775947.72,,=2.0459,,,,
2026-07-01,=7.5900,=7.5900,=7.5900,=7.5900,=119148528594.81,=83472618285.0,=33213257482.68,,=2.0405,,,,
2026-06-30,=7.5900,=7.5900,=7.5900,=7.5900,=119148528594.81,=83472618285.0,=33213257482.68,,=2.0405,,,,
2026-06-29,=7.4800,=7.4800,=7.4800,=7.4800,=117421738325.32,=82262870194.0,=32731905924.96,,=2.0110,,,,
2026-06-26,=7.3100,=7.3100,=7.3100,=7.3100,=114753062454.29,=80393259508.0,=31987998972.12,,=1.9653,,,,
2026-06-25,=7.4000,=7.4000,=7.4000,=7.4000,=116165890856.6,=81383053401.0,=32381832064.8,,=1.9895,,,,
2026-06-24,=7.4400,=7.4400,=7.4400,=7.4400,=116793814590.96,=81822961797.0,=32556868994.88,,=2.0002,,,,
2026-06-23,=7.7800,=7.7800,=7.7800,=7.7800,=122131166333.02,=85562183170.0,=34044682900.56,,=2.0916,,,,
2026-06-22,=7.7200,=7.7200,=7.7200,=7.7200,=121189280731.48,=84902320575.0,=33782127505.44,,=2.0755,,,,
2026-06-18,=7.6400,=7.6400,=7.6400,=7.6400,=119933433262.76,=84022503781.0,=33432053645.28,,=2.0540,,,,
2026-06-17,=7.9200,=7.9200,=7.9200,=7.9200,=124328899403.28,=87101862558.0,=34657312155.84,,=2.1293,,,,
2026-06-16,=7.8800,=7.8800,=7.8800,=7.8800,=123700975668.92,=86661954162.0,=34482275225.76,,=2.1185,,,,
2026-06-15,=8.0600,=8.0600,=8.0600,=8.0600,=126526632473.54,=88641541947.0,=35269941411.12,,=2.1669,,,,
2026-06-12,=8.0500,=8.0500,=8.0500,=8.0500,=126369651539.95,=88531564848.0,=35226182178.6,,=2.1642,,,,
2026-06-11,=8.1700,=8.1700,=8.1700,=8.1700,=128253422743.03,=89851290038.0,=35751292968.84,,=2.1965,,,,
2026-06-10,=8.1600,=8.1600,=8.1600,=8.1600,=128096441809.44,=89741312939.0,=35707533736.32,,=2.1938,,,,
2026-06-09,=8.4600,=8.4600,=8.4600,=8.4600,=132805869817.14,=93040625915.0,=37020310711.92,,=2.2744,,,,
2026-06-08,=8.4100,=8.4100,=8.4100,=8.4100,=132020965149.19,=92490740419.0,=36801514549.32,,=2.2610,,,,
2026-06-05,=8.3900,=8.3900,=8.3900,=8.3900,=131707003282.01,=92270786220.0,=36713996084.28,,=2.2556,,,,
