代码,名称,股价,PE,PB,PS,股息率(%),ROE(%),ROA(%)
002230,科大讯飞,52.80,55.2,4.8,5.2,0.5,8.5,4.2
000977,浪潮信息,42.50,38.5,4.2,1.5,1.2,11.2,5.5
300496,中科创达,85.20,42.8,6.5,6.2,0.0,15.2,8.5
002415,海康威视,35.60,22.5,3.8,3.2,2.5,17.8,9.5
600570,恒生电子,38.90,45.2,5.8,7.5,0.5,13.2,7.2
300454,深信服,125.60,50.5,8.5,8.2,0.0,17.5,10.2
002439,启明星辰,28.50,42.8,5.2,4.8,0.0,12.5,6.8
300033,同花顺,85.20,38.5,8.8,12.5,1.2,25.2,15.5
002410,广联达,42.80,48.5,6.2,5.5,0.5,13.2,7.5
300352,北信源,12.50,65.2,3.8,4.2,0.0,5.8,3.2
002049,紫光国微,72.30,35.2,5.8,8.2,0.0,18.5,10.5
300598,诚迈科技,52.60,85.2,6.5,5.2,0.0,8.2,4.5
300253,卫宁健康,12.80,52.5,4.2,3.8,0.0,8.5,4.8
603118,共进股份,8.50,28.5,2.2,1.5,1.5,8.8,5.2
300365,恒华科技,18.20,42.8,3.5,2.8,0.0,9.5,5.8
