date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2025-12-31,59135544000,-0.5569,-95574651000,1.7516
2025-09-30,40845498000,-0.2742,-22399316000,2.9826
2025-06-30,31833471000,1.2452,22579628000,3.4727
2025-03-31,8580961000,-0.161,24620227000,2.8492
2024-12-31,133453873000,-0.2137,37162121000,3.209
2024-09-30,56273315000,-0.425,38110942000,3.6336
2024-06-30,14178310000,-0.827,-910258000,2.9965
2024-03-31,10227984000,-0.2929,49998576000,5.213
2023-12-31,169725025000,0.2051,48102309000,5.4149
2023-09-30,97860288000,0.075,13908124000,4.9137
2023-06-30,81971177000,0.8981,52685454000,7.1224
2023-03-31,14465699000,0.2122,27369778000,6.7718
2022-12-31,140837657000,1.1513,43649032000,7.951
2022-09-30,91036733000,1.8562,44162448000,11.6923
2022-06-30,43185167000,3.4627,36799604000,16.253
2022-03-31,11933340000,83.1229,31498111000,17.6884
2021-12-31,65466682000,0.4422,28949462000,16.5017
2021-09-30,31873711000,0.112,25993761000,11.0245
2021-06-30,9676845000,-0.3772,24050678000,7.265
2021-03-31,141856000,-0.9713,28799161000,6.5429
2020-12-31,45392668000,2.0793,33877551000,7.5479
2020-09-30,28663476000,6.4787,25550683000,7.72
2020-06-30,15538447000,8.5265,17312553000,11.333
2020-03-31,4948683000,11.1326,-5665000,12.4212
2019-12-31,14741007000,0.1771,-5473034000,6.9571
2019-09-30,3832666000,-0.4237,-10603030000,2.9366
2019-06-30,-2064503000,-0.417,-5254368000,2.7863
2019-03-31,407884000,3.4975,-1520682000,3.1452
2018-12-31,12522909000,0.9035,-1383407000,3.5214
2018-09-30,6650351000,8.555,-831929000,3.4217
2018-06-30,-1606579000,0.537,-7804935000,2.2701
2018-03-31,-217952000,0.9099,-6744226000,1.9475
2017-12-31,6367887000,4.4504,-8194859000,1.2951
2017-09-30,696008000,1.246,-12321068000,0.3379
2017-06-30,-3470247000,-1.4293,-17280951000,-0.751
2017-03-31,-2418308000,-0.9295,-16434330000,-0.5613
2016-12-31,-1845571000,-1.4804,-14702380000,-0.3368
2016-09-30,-2828936000,-0.8358,-10147131000,0.5184
2016-06-30,-1428493000,-1.4727,-13318089000,-0.1221
