date,总资产收益率(ROA),毛利率(GM),净资产收益率(ROE),净利润率
2025-12-31,0.0405,0.1774,0.1477,0.042
2025-09-30,0.0475,0.1759,0.1853,0.047
2025-06-30,0.0568,0.1861,0.2179,0.0514
2025-03-31,0.0609,0.192,0.2307,0.0562
2024-12-31,0.0569,0.1944,0.2382,0.0535
2024-09-30,0.0508,0.2089,0.2276,0.0517
2024-06-30,0.0533,0.2088,0.2387,0.0529
2024-03-31,0.0518,0.2102,0.2259,0.0523
2023-12-31,0.0534,0.2021,0.2306,0.052
2023-09-30,0.0573,0.1957,0.237,0.0519
2023-06-30,0.0538,0.1866,0.2131,0.0473
2023-03-31,0.049,0.1789,0.1829,0.0443
2022-12-31,0.0449,0.1704,0.157,0.0418
2022-09-30,0.0314,0.1531,0.1046,0.0315
2022-06-30,0.0214,0.1337,0.0623,0.0221
2022-03-31,0.0162,0.1292,0.0449,0.0181
2021-12-31,0.016,0.1302,0.047,0.0184
2021-09-30,0.0197,0.1392,0.0554,0.0224
2021-06-30,0.0259,0.1609,0.0695,0.0291
2021-03-31,0.0299,0.1801,0.0817,0.0349
2020-12-31,0.0303,0.1938,0.0947,0.0384
2020-09-30,0.026,0.1984,0.0787,0.0369
2020-06-30,0.0144,0.1746,0.0441,0.0226
2020-03-31,0.008,0.1581,0.0249,0.0133
2019-12-31,0.0109,0.1629,0.0344,0.0166
2019-09-30,0.0169,0.1613,0.054,0.0245
2019-06-30,0.0221,0.1692,0.0712,0.0314
2019-03-31,0.0219,0.1686,0.0684,0.0308
2018-12-31,0.0191,0.164,0.0589,0.0273
2018-09-30,0.0202,0.1659,0.0607,0.0298
2018-06-30,0.021,0.1705,0.0622,0.0315
2018-03-31,0.0268,0.1821,0.0755,0.0401
2017-12-31,0.0304,0.1901,0.0852,0.0464
2017-09-30,0.0333,0.1951,0.0876,0.0475
2017-06-30,0.0376,0.2014,0.1079,0.05
2017-03-31,0.0415,0.2075,0.1151,0.0515
2016-12-31,0.0421,0.2036,0.1199,0.053
2016-09-30,0.041,0.194,0.1129,0.0472
2016-06-30,0.0459,0.1858,0.1461,0.0534
