date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.448,-0.5689,4084551000,150225314000
2025-12-31,3.58,-0.2234,32619022000,803964958000
2025-09-30,2.56,-0.1142,23333173000,566265546000
2025-06-30,1.71,0.0962,15510533000,371280948000
2025-03-31,3.12,0.9873,9154985000,170360448000
2024-12-31,13.84,0.3411,40254346000,777102455000
2024-09-30,8.68,0.181,25238115000,502251312000
2024-06-30,4.68,0.2414,13631257000,301126713000
2024-03-31,1.57,0.1056,4568793000,124944397000
2023-12-31,10.32,0.8074,30040811000,602315354000
2023-09-30,7.35,1.2969,21366896000,422274838000
2023-06-30,3.77,2.0403,10954145000,260124143000
2023-03-31,1.42,4.0714,4130063000,120173608000
2022-12-31,5.71,4.3868,16622448000,424060635000
2022-09-30,3.2,2.7647,9311467000,267687847000
2022-06-30,1.24,2.0244,3595279000,150607252000
2022-03-31,0.28,2.5,808408000,66825185000
2021-12-31,1.06,-0.2789,3045188000,216142395000
2021-09-30,0.85,-0.2797,2443112000,145192358000
2021-06-30,0.41,-0.2679,1173571000,90885400000
2021-03-31,0.08,3,237356000,40991873000
2020-12-31,1.47,1.94,4234267000,156597691000
2020-09-30,1.18,1.3137,3413570000,105022633000
2020-06-30,0.56,0.1429,1662430000,60502986000
2020-03-31,0.02,-0.92,112636000,19678542000
2019-12-31,0.5,-0.4624,1614450000,127738523000
2019-09-30,0.51,0.0408,1574296000,93821797000
2019-06-30,0.49,2.7692,1454573000,62184263000
2019-03-31,0.25,11.5,749732000,30304111000
2018-12-31,0.93,-0.3357,2780194000,130054707000
2018-09-30,0.49,-0.4896,1527053000,88981326000
2018-06-30,0.13,-0.7797,479099000,54150930000
2018-03-31,0.02,-0.9,102425000,24737565000
2017-12-31,1.4,-0.2553,4066478000,105914702000
2017-09-30,0.96,-0.3043,2791435000,73932895000
2017-06-30,0.59,-0.3218,1722914000,45037637000
2017-03-31,0.2,-0.375,605795000,21046138000
2016-12-31,1.88,0.6786,5052154000,103469997000
2016-09-30,1.3835,0.7573,3664126000,72797790000
2016-06-30,0.87,3.5789,2259696000,44949565000
