date,应收账款,流动比率,负债合计,长期负债合计,流动资产合计,资产负债率,有息负债率,货币资金,流动负债合计,资产合计,所有者权益合计,速动比率
2026-03-31,67271995517,0.6784,403203265134,5596990096,4410788815,0.4587,0.052,518845476423.33,62789647779,879079073895,475875808761,0.6278
2025-12-31,50165259625,0.6368,402384334040,6109171571,4122841962,0.4622,0.0571,576494973803.7,67112817516,870643642519,468259308479,0.5899
2025-09-30,69296858460,0.6784,410815290334,7551291190,5129107679,0.4689,0.0606,609437543735.34,60371467700,876049386120,465234095786,0.6232
2025-06-30,68987550476,0.6815,413214623645,8800453593,5599504383,0.4657,0.0636,709180324917.25,59471184503,887223855118,474009231473,0.6279
2025-03-31,59856971063,0.6295,393021476624,7260080914,5130023554,0.4578,0.067,718331038787.15,60959841153,858456508591,465435031968,0.5746
2024-12-31,39648270450,0.5782,410073397470,7458653588,4730928363,0.4732,0.0702,660681541406.78,65185431440,866625200722,456551803252,0.531
2024-09-30,59126769775,0.5931,412713439505,7666986709,6246328272,0.4769,0.0709,614012900670.29,58013470031,865467894423,452754454918,0.5313
2024-06-30,54920185341,0.611,410318125209,5823539088,6017033998,0.4711,0.0705,562768902998.85,56763054609,870991270429,460673145220,0.5511
2024-03-31,50327007185,0.5997,393160405399,5183815020,5019519889,0.4632,0.0742,556363403289.92,59914733370,848805995409,455645590010,0.5425
2023-12-31,30754567297,0.5576,388647092045,5141727158,4665319970,0.465,0.078,495053620361.59,65416635800,835813904891,447166812845,0.5054
2023-09-30,52009465762,0.5919,391932303938,3599429034,3866291859,0.469,0.0781,529826333067.21,61662602895,835598409759,443666105821,0.5316
2023-06-30,46380531235,0.5951,390459633280,4014763316,3613967585,0.4646,0.0827,515185190875.37,59622081186,840386309764,449926676484,0.5388
2023-03-31,40421569670,0.5638,379345544523,4069727330,4001181147,0.4606,0.0878,579240187964.67,62288750114,823656122334,444310577812,0.5017
2022-12-31,24019045657,0.5077,371270622953,4484224243,3042453472,0.4597,0.0958,383414911148.81,67840731714,807698157613,436427534660,0.4503
2022-09-30,39301000529,0.5508,354995620117,4515672028,2294301147,0.4525,0.0568,350472341217.17,64026566042,784600332206,429604712089,0.4938
2022-06-30,36452734759,0.5383,349698833541,4920757864,1956666075,0.4461,0.0628,341321627347.27,60357794992,783856474057,434157640516,0.4865
2022-03-31,34224531125,0.5282,329923029063,4930031344,1226452059,0.4295,0.0661,366028554796,64728403055,768152953004,438229923941,0.4722
2021-12-31,22329026301,0.4893,331065864738,5348271927,911802148,0.4343,0.0773,396225910566.67,70913991574,762241575526,431175710787,0.4412
2021-09-30,32759300078,0.5482,334593584601,5361188583,1256988156,0.4384,0.069,392565625018.71,61197549357,763274893588,428681308987,0.4942
2021-06-30,31968000000,0.3611,330804000000,9782000000,1101000000,0.4682,0.0977,,59782000000,706485000000,375681000000,0.3087
2021-03-31,30955000000,0.3529,341101000000,16808000000,812000000,0.4779,0.1071,,62088000000,713728000000,372627000000,0.2942
2020-12-31,21468000000,0.3174,348921000000,17226000000,604000000,0.4879,0.1151,,63849000000,715103000000,366182000000,0.2699
2020-09-30,0,,,0,0,,,,0,,,
2020-06-30,0,,,0,0,,,,0,,,
2020-03-31,0,,,0,0,,,,0,,,
2019-12-31,21404000000,0.2833,348091000000,27056000000,474000000,0.4951,0.1439,,54388000000,703138000000,355047000000,0.2481
2018-12-31,20421000000,0.2887,319283000000,44852000000,478000000,0.4813,0.102,,55783000000,663389000000,344106000000,0.2454
