date,归属于母公司普通股股东的净利润,累积同比,基本每股收益,营业收入
2026-03-31,7350127689,-0.1708,0.08,131393926307
2025-12-31,33184733428,0.0052,0.36,523924731369
2025-09-30,30773321357,0.0503,0.34,394269976324
2025-06-30,23017044187,0.0553,0.25,269421736705
2025-03-31,8864251917,0.0311,0.1,134508815336
2024-12-31,33012069908,0.0843,0.36,523568920041
2024-09-30,29298664915,0.0811,0.32,391968018864
2024-06-30,21811826966,0.0823,0.24,265973118881
2024-03-31,8597086264,0.0768,0.09,134494562936
2023-12-31,30445686139,0.1034,0.33,507842674997
2023-09-30,27100502619,0.1042,0.3,381102560510
2023-06-30,20152910521,0.1018,0.22,258679059745
2023-03-31,7984014705,0.1053,0.09,129753222753
2022-12-31,27593420934,0.0632,0.3,474967243498
2022-09-30,24542951348,0.0521,0.27,357842938040
2022-06-30,18291097770,0.0309,0.2,240219208205
2022-03-31,7223387008,0.1214,0.08,118576141112
2021-12-31,25951975088,0.2444,0.31,434158923222
2021-09-30,23326518964,0.247,0.28,326536330125
2021-06-30,17743000000,0.272,0.22,217547000000
2021-03-31,6441000000,0.1063,0.08,106317000000
2020-12-31,20855000000,0.0163,0.26,389939000000
2020-09-30,18705620919,,0.23,290820029438
2020-06-30,13949000000,,0.17,192438000000
2020-03-31,5822000000,,0.07,94354000000
2019-12-31,20521000000,0.0044,0.25,372200000000
2018-12-31,20432000000,,0.25,374929000000
