date,总资产收益率(ROA),毛利率(GM),净利润率,净资产收益率(ROE),资本回报率(ROIC)
2026-03-31,0.0365,0.2874,0.0608,0.0673,0.0656
2025-12-31,0.0382,0.2908,0.0634,0.0718,0.0696
2025-09-30,0.0395,0.2891,0.0654,0.075,0.0724
2025-06-30,0.0387,0.286,0.0646,0.0728,0.0706
2025-03-31,0.0389,0.2868,0.0634,0.072,0.0699
2024-12-31,0.0387,0.2866,0.063,0.073,0.0706
2024-09-30,0.0384,0.2876,0.0629,0.0728,0.0705
2024-06-30,0.0377,0.289,0.0625,0.0708,0.0686
2024-03-31,0.0372,0.2882,0.0606,0.0691,0.0669
2023-12-31,0.037,0.2883,0.0599,0.0689,0.0666
2023-09-30,0.0373,0.2872,0.0606,0.0691,0.0668
2023-06-30,0.0363,0.2839,0.0598,0.0667,0.0641
2023-03-31,0.0357,0.2807,0.0584,0.0643,0.0613
2022-12-31,0.0353,0.2843,0.0583,0.0638,0.0597
2022-09-30,0.0353,0.288,0.0588,0.0637,0.0621
2022-06-30,0.0358,0.2928,0.0583,0.0658,0.0623
2022-03-31,0.0363,0.2917,0.0603,0.0664,0.0627
2021-12-31,0.0354,0.2921,0.0602,0.0656,0.0615
2021-09-30,,0.2978,0.0602,,
2021-06-30,,0.3012,0.06,,
2021-03-31,,0.3014,0.054,,
2020-12-31,0.0297,0.302,0.0541,0.0585,0.0543
2020-09-30,,,,,
2020-06-30,,,,,
2020-03-31,,,,,
2019-12-31,0.0303,0.3043,0.0557,0.0593,0.055
2018-12-31,,0.3024,0.0548,,
