date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-06-02,102152330542.72,2.0239,0.0861,7.5681,3.9424,2.3833,-14.7976,0.9855,51.0792,28.8934,19.0419,0.0000,1.5048,0.1845,5.2626,3.0013,1.5527
2026-06-01,103667943755.52,2.0540,0.0947,7.5681,3.9424,2.3846,-15.0172,0.9810,51.0277,28.8934,19.0419,0.0000,1.5271,0.1895,5.2626,3.0013,1.5529
2026-05-29,105259337628.96,2.0855,0.1079,7.5550,3.9410,2.3890,-15.2477,0.9735,51.0067,28.8934,19.0419,0.0000,1.5505,0.1980,5.2554,2.9997,1.5588
2026-05-28,108745248018.4,2.1546,0.1299,7.5550,3.9419,2.3901,-15.7527,0.9607,50.9782,28.8837,19.0419,0.0000,1.6019,0.2155,5.2554,3.0011,1.5627
2026-05-27,108821028679.04,2.1561,0.1307,7.5681,3.9424,2.3901,-15.7637,0.9603,50.9782,28.8720,19.0419,0.0000,1.6030,0.2160,5.2626,3.0013,1.5588
2026-05-26,110639764534.4,2.1921,0.1394,7.5681,3.9424,2.3913,-16.0271,0.9561,50.9126,28.8558,19.0419,0.0000,1.6298,0.2213,5.2626,3.0013,1.5588
2026-05-25,112534281050.4,2.2296,0.1502,7.5681,3.9424,2.3922,-16.3015,0.9483,50.9012,28.8381,19.0419,0.0000,1.6577,0.2259,5.2626,3.0013,1.5588
2026-05-22,113974113602.56,2.2582,0.1587,7.5550,3.9410,2.3966,-16.5101,0.9454,50.8710,28.8558,19.0419,0.0000,1.6789,0.2286,5.2554,2.9997,1.5627
2026-05-21,112079597086.56,2.2206,0.1476,7.5550,3.9419,2.3966,-16.2357,0.9508,50.8634,28.8513,19.0419,0.0000,1.6510,0.2237,5.2554,3.0011,1.5627
2026-05-20,116323314082.4,2.3047,0.1713,7.5681,3.9424,2.3966,-16.8504,0.9408,50.8634,28.8381,19.0419,0.0000,1.7135,0.2350,5.2626,3.0013,1.5588
2026-05-19,115489726815.36,2.2882,0.1671,7.5681,3.9424,2.3993,-16.7297,0.9417,50.7568,28.8381,19.0419,0.0000,1.7012,0.2333,5.2626,3.0013,1.5588
2026-05-18,114731920208.96,2.2732,0.1630,7.5681,3.9424,2.3993,-16.6199,0.9441,50.7535,28.8381,19.0419,0.0000,1.6901,0.2313,5.2626,3.0013,1.5588
2026-05-15,118217830598.4,2.3422,0.1831,7.5550,3.9410,2.4023,-17.1249,0.9396,50.7215,28.8558,19.0419,0.0000,1.7414,0.2381,5.2554,3.0013,1.5627
2026-05-14,123522476843.2,2.4473,0.2138,7.5550,3.9419,2.4040,-17.8933,0.9313,50.6736,28.8513,19.0419,0.0000,1.8196,0.2610,5.2554,3.0016,1.5627
2026-05-13,127159948553.92,2.5194,0.2445,7.5681,3.9424,2.4023,-18.4202,0.9230,50.6736,28.8381,19.0419,0.0000,1.8731,0.2855,5.2626,3.0022,1.5588
2026-05-12,126553703268.8,2.5074,0.2408,7.5681,3.9424,2.4023,-18.3324,0.9235,50.6508,28.8381,19.0419,0.0000,1.8642,0.2813,5.2626,3.0022,1.5588
2026-05-11,125871677323.04,2.4939,0.2329,7.5681,3.9424,2.4023,-18.2336,0.9251,50.6434,28.8381,19.0419,0.0000,1.8542,0.2776,5.2626,3.0022,1.5588
2026-05-08,123977160807.04,2.4564,0.2170,7.5550,3.9410,2.4040,-17.9591,0.9305,50.6037,28.8558,19.0419,0.0000,1.8263,0.2642,5.2554,3.0013,1.5627
2026-05-07,125416993359.2,2.4849,0.2283,7.5550,3.9419,2.4040,-18.1677,0.9264,50.5985,28.8513,19.0419,0.0000,1.8475,0.2725,5.2554,3.0016,1.5627
2026-05-06,125416993359.2,2.4849,0.2284,7.5681,3.9424,2.4023,-18.1677,0.9268,50.5985,28.8381,19.0419,0.0000,1.8475,0.2727,5.2626,3.0022,1.5588
2026-04-30,124734967413.44,2.4714,0.2231,7.5550,3.9401,2.4040,-18.0689,0.9289,50.5126,28.8602,19.0419,0.0000,1.8374,0.2682,5.2554,3.0039,1.5627
2026-04-29,125416993359.2,2.4849,0.2278,7.5550,3.9410,2.4040,-18.1677,0.9277,50.4781,28.8558,19.0419,0.0000,1.8475,0.2720,5.2554,3.0052,1.5627
2026-04-28,128448219784.8,2.2568,0.1575,7.5550,3.9410,2.4040,-23.2848,0.9045,50.4741,28.8558,19.0419,0.0000,1.7148,0.2340,5.2554,3.0079,1.5627
2026-04-27,129888052336.96,2.2821,0.1641,7.5550,3.9410,2.4073,-23.5458,0.9037,50.4377,28.8558,19.0419,0.0000,1.7341,0.2365,5.2554,3.0079,1.5627
2026-04-24,131782568852.96,2.3154,0.1731,7.5550,3.9390,2.4073,-23.8893,0.9017,50.4361,28.8720,19.0419,0.0000,1.7593,0.2396,5.2554,3.0052,1.5627
2026-04-23,132843498101.92,2.3340,0.1764,7.5550,3.9401,2.4079,-24.0816,0.8992,50.4207,28.8602,19.0419,0.0000,1.7735,0.2438,5.2554,3.0066,1.5627
2026-04-22,132995059423.2,2.3367,0.1782,7.5550,3.9410,2.4113,-24.1090,0.8979,50.3850,28.8558,19.0419,0.0000,1.7755,0.2451,5.2554,3.0079,1.5627
2026-04-21,133298182065.76,2.3420,0.1807,7.5550,3.9410,2.4120,-24.1640,0.8975,50.3760,28.8558,19.0419,0.0000,1.7796,0.2468,5.2554,3.0096,1.5627
2026-04-20,133752866029.6,2.3500,0.1823,7.5550,3.9410,2.4126,-24.2464,0.8967,50.3482,28.8558,19.0419,0.0000,1.7857,0.2489,5.2554,3.0120,1.5627
2026-04-17,132161472156.16,2.3220,0.1735,7.5550,3.9424,2.4139,-23.9579,0.9013,50.3386,28.8720,19.0419,0.0000,1.7644,0.2396,5.2554,3.0147,1.5627
2026-04-16,132691936780.64,2.3314,0.1752,7.5550,3.9429,2.4139,-24.0541,0.9004,50.2747,28.8602,19.0419,0.0000,1.7715,0.2409,5.2554,3.0147,1.5627
2026-04-15,131706788192.32,2.3141,0.1728,7.5550,3.9443,2.4219,-23.8755,0.9020,50.2368,28.8558,19.0419,0.0000,1.7583,0.2394,5.2554,3.0180,1.5627
2026-04-14,132995059423.2,2.3367,0.1769,7.5550,3.9476,2.4232,-24.1090,0.8995,50.2239,28.8558,19.0419,0.0000,1.7755,0.2439,5.2554,3.0227,1.5627
2026-04-13,133980208011.52,2.3540,0.1811,7.5550,3.9527,2.4232,-24.2876,0.8975,50.1829,28.8558,19.0419,0.0000,1.7887,0.2480,5.2554,3.0245,1.5627
2026-04-10,129736491015.68,2.2794,0.1627,7.5550,3.9583,2.4232,-23.5183,0.9042,50.1620,28.8720,19.0419,0.0000,1.7320,0.2354,5.2554,3.0266,1.5627
2026-04-09,128220877802.8801,2.2528,0.1558,7.5550,3.9583,2.4272,-23.2436,0.9050,50.1583,28.8602,19.0419,0.0000,1.7118,0.2335,5.2554,3.0276,1.5627
2026-04-08,131252104228.48,2.3061,0.1691,7.5550,3.9583,2.4284,-23.7931,0.9041,50.1325,28.8558,19.0419,0.0000,1.7523,0.2373,5.2554,3.0276,1.5627
2026-04-07,126553703268.8,2.2235,0.1484,7.5550,3.9583,2.4285,-22.9414,0.9066,50.1122,28.8558,19.0419,0.0000,1.6895,0.2307,5.2554,3.0303,1.5627
2026-04-03,126250580626.24,2.2182,0.1458,7.5550,3.9590,2.4326,-22.8864,0.9075,50.0618,28.8720,19.0419,0.0000,1.6855,0.2292,5.2554,3.0344,1.5627
2026-04-02,131555226871.04,2.3114,0.1690,7.5550,3.9592,2.4326,-23.8480,0.9050,50.0521,28.8602,19.0419,0.0000,1.7563,0.2364,5.2554,3.0344,1.5627
2026-04-01,135571601884.96,2.3820,0.1860,7.5550,3.9593,2.4328,-24.5761,0.8971,50.0370,28.8558,19.0419,0.0000,1.8099,0.2509,5.2554,3.0344,1.5627
2026-03-31,132919278762.56,2.3354,0.1736,7.5550,3.9600,2.4339,-24.0953,0.9029,49.9715,28.8558,19.0419,0.0000,1.7745,0.2406,5.2554,3.0363,1.5627
2026-03-30,136102033732.44,2.3913,0.1881,7.5550,3.9652,2.4339,-24.6723,0.8967,49.9688,28.8558,19.0419,0.0000,1.8170,0.2522,5.2554,3.0382,1.5627
2026-03-27,140345749706.28,2.4658,0.2115,7.5550,3.9652,2.4364,-25.4416,0.8823,49.9576,28.8720,19.0419,0.0000,1.8737,0.2739,5.2554,3.0392,1.5627
2026-03-26,139209040070.43,2.4459,0.2041,7.5550,3.9698,2.4364,-25.2355,0.8860,49.9534,28.8602,19.0419,0.0000,1.8585,0.2674,5.2554,3.0393,1.5627
2026-03-25,143149633474.71,2.5151,0.2311,7.5550,3.9713,2.4364,-25.9498,0.8718,49.9469,28.8558,19.0419,0.0000,1.9111,0.2898,5.2554,3.0412,1.5627
2026-03-24,144286343110.56,2.5351,0.2360,7.5550,3.9713,2.4364,-26.1559,0.8702,49.9464,28.8558,19.0419,0.0000,1.9263,0.2927,5.2554,3.0431,1.5627
2026-03-23,142543388335.59,2.5045,0.2265,7.5550,3.9734,2.4364,-25.8399,0.8739,49.9464,28.8558,19.0419,0.0000,1.9030,0.2869,5.2626,3.0444,1.5627
2026-03-20,143907439898.61,2.5284,0.2330,7.5550,3.9780,2.4364,-26.0872,0.8715,49.9534,28.8720,19.0419,0.0000,1.9212,0.2904,5.2743,3.0464,1.5627
2026-03-19,140345749706.28,2.4658,0.2112,7.5550,3.9791,2.4364,-25.4416,0.8831,49.9469,28.8602,19.0419,0.0000,1.8737,0.2736,5.2743,3.0468,1.5627
2026-03-18,140497310991.06,2.4685,0.2121,7.5550,3.9793,2.4364,-25.4690,0.8830,49.9464,28.8558,19.0419,0.0000,1.8757,0.2745,5.2743,3.0484,1.5627
2026-03-17,142391827050.81,2.5018,0.2241,7.5550,3.9809,2.4364,-25.8125,0.8764,49.9464,28.8558,19.0419,0.0000,1.9010,0.2844,5.2750,3.0520,1.5627
2026-03-16,141558239984.52,2.4871,0.2183,7.5550,3.9828,2.4364,-25.6614,0.8797,49.9464,28.8558,19.0419,0.0000,1.8899,0.2803,5.2758,3.0546,1.5627
2026-03-13,142998072189.93,2.5124,0.2284,7.5550,3.9809,2.4364,-25.9224,0.8744,49.9534,28.8720,19.0419,0.0000,1.9091,0.2871,5.2758,3.0554,1.5627
2026-03-12,143528536686.66,2.5218,0.2289,7.5550,3.9824,2.4364,-26.0185,0.8744,49.9469,28.8602,19.0419,0.0000,1.9162,0.2876,5.2758,3.0556,1.5627
2026-03-11,142391827050.81,2.5018,0.2236,7.5550,3.9828,2.4364,-25.8125,0.8772,49.9464,28.8558,19.0419,0.0000,1.9010,0.2840,5.2758,3.0568,1.5627
2026-03-10,140648872275.84,2.4712,0.2125,7.5550,3.9828,2.4364,-25.4965,0.8830,49.9464,28.8558,19.0419,0.0000,1.8777,0.2749,5.2758,3.0590,1.5627
2026-03-09,139360601355.21,2.4485,0.2046,7.5550,3.9828,2.4364,-25.2630,0.8855,49.9464,28.8558,19.0419,0.0000,1.8605,0.2675,5.2758,3.0625,1.5627
2026-03-06,136405156302.0,2.3966,0.1892,7.5550,3.9809,2.4364,-24.7272,0.8959,49.9534,28.8720,19.0419,0.0000,1.8211,0.2528,5.2758,3.0653,1.5627
2026-03-05,134586420884.64,2.3647,0.1810,7.5550,3.9824,2.4379,-24.3975,0.8992,49.9469,28.8602,19.0419,0.0000,1.7968,0.2463,5.2758,3.0656,1.5627
2026-03-04,133828614460.74,2.3513,0.1778,7.5550,3.9828,2.4392,-24.2602,0.9012,49.9464,28.8558,19.0419,0.0000,1.7867,0.2443,5.2758,3.0659,1.5627
2026-03-03,136329375659.61,2.3953,0.1877,7.5550,3.9828,2.4392,-24.7135,0.8975,49.9464,28.8558,19.0419,0.0000,1.8201,0.2513,5.2758,3.0666,1.5627
2026-03-02,137314524010.68,2.4126,0.1922,7.5550,3.9828,2.4413,-24.8921,0.8946,49.9464,28.8558,19.0419,0.0000,1.8332,0.2559,5.2758,3.0675,1.5627
2026-02-27,138830136858.48,2.4392,0.1987,7.5550,3.9809,2.4424,-25.1668,0.8889,49.9534,28.8720,19.0419,0.0000,1.8534,0.2635,5.2758,3.0690,1.5627
2026-02-26,138451233646.53,2.4326,0.1963,7.5550,3.9824,2.4425,-25.0981,0.8913,49.9469,28.8602,19.0419,0.0000,1.8484,0.2616,5.2758,3.0690,1.5627
2026-02-25,140724652918.23,2.4725,0.2095,7.5550,3.9824,2.4437,-25.5103,0.8855,49.9469,28.8602,19.0419,0.0000,1.8787,0.2719,5.2758,3.0694,1.5627
2026-02-24,138527014288.92,2.4339,0.1971,7.5550,3.9824,2.4437,-25.1119,0.8913,49.9469,28.8602,19.0419,0.0000,1.8494,0.2620,5.2758,3.0697,1.5627
2026-02-13,137390304653.07,2.4139,0.1920,7.5428,3.9755,2.4445,-24.9058,0.8945,50.0521,28.9458,19.0462,0.0000,1.8342,0.2555,5.2750,3.0790,1.5627
2026-02-12,140118407779.11,2.4618,0.2045,7.5428,3.9770,2.4462,-25.4004,0.8887,50.0370,28.9433,19.0462,0.0000,1.8706,0.2667,5.2750,3.0794,1.5627
2026-02-11,140876214203.01,2.4752,0.2091,7.5428,3.9780,2.4462,-25.5377,0.8862,49.9715,28.9232,19.0462,0.0000,1.8808,0.2722,5.2750,3.0794,1.5627
2026-02-10,142543388335.59,2.5045,0.2182,7.5428,3.9791,2.4462,-25.8399,0.8824,49.9688,28.9030,19.0462,0.0000,1.9030,0.2785,5.2750,3.0794,1.5627
2026-02-09,145347272104.02,2.5537,0.2282,7.5428,3.9793,2.4462,-26.3482,0.8795,49.9576,28.8934,19.0462,0.0000,1.9404,0.2835,5.2750,3.0810,1.5627
2026-02-06,139133259428.04,2.4445,0.1994,7.5550,3.9795,2.4445,-25.2218,0.8902,49.9576,28.8837,19.0419,0.0000,1.8575,0.2630,5.2758,3.0826,1.5627
2026-02-05,138148111076.97,2.4272,0.1941,7.5550,3.9809,2.4462,-25.0432,0.8926,49.9534,28.8720,19.0419,0.0000,1.8443,0.2598,5.2758,3.0827,1.5627
2026-02-04,146332420455.09,2.5710,0.2284,7.5550,3.9809,2.4485,-26.5268,0.8786,49.9534,28.8720,19.0419,0.0000,1.9536,0.2850,5.2758,3.0843,1.5627
2026-02-03,140724652918.23,2.4725,0.2074,7.5550,3.9809,2.4485,-25.5103,0.8881,49.9534,28.8720,19.0419,0.0000,1.8787,0.2697,5.2758,3.0859,1.5627
2026-02-02,133677053175.96,2.3487,0.1772,7.5550,3.9809,2.4485,-24.2327,0.9021,49.9534,28.8720,19.0419,0.0000,1.7846,0.2437,5.2758,3.0904,1.5627
2026-01-30,135495788593.32,2.3806,0.1837,7.5550,3.9795,2.4502,-24.5624,0.8993,49.9576,28.8837,19.0419,0.0000,1.8089,0.2481,5.2758,3.1022,1.5627
2026-01-29,142240265766.03,2.4991,0.2140,7.5550,3.9809,2.4521,-25.7850,0.8856,49.9534,28.8720,19.0419,0.0000,1.8990,0.2747,5.2758,3.1039,1.5627
2026-01-28,142619168977.98,2.5058,0.2160,7.5550,3.9809,2.4521,-25.8537,0.8848,49.9534,28.8720,19.0419,0.0000,1.9040,0.2763,5.2758,3.1058,1.5627
