date,流动资产合计,长期负债合计,流动比率,有息负债率,负债合计,所有者权益合计,资产合计,资产负债率,流动负债合计,速动比率
2026-03-31,1797890057,4137744970,1.2383,0.243,101203055493,51954480568,153157536060,0.6608,8317179564,0.9332
2025-12-31,1719977031,6825267540,1.2908,0.2297,99092656484,54710952324,153803608808,0.6443,6656027383,1.0325
2025-09-30,1911524200,15434097581,1.4329,0.2107,96126619600,57845858432,153972478032,0.6243,8073469192,1.0988
2025-06-30,1773413430,15879379573,1.4908,0.2151,90845679608,58758624802,149604304410,0.6072,6024773263,1.1738
2025-03-31,1566858000,17368406850,1.6022,0.23,89129096738,59913914286,149043011024,0.598,7436074435,1.2595
2024-12-31,1612413673,13949126851,1.4931,0.1957,91443923169,61400679199,152844602368,0.5983,6311338593,1.1979
2024-09-30,2029930277,11456215816,1.4531,0.1809,91866827810,63325177848,155192005658,0.592,7459965396,1.0683
2024-06-30,1941913437,10548400000,1.4061,0.1717,94042371079,64920278082,158962649161,0.5916,7786932815,1.0531
2024-03-31,1683664420,11053800000,1.4213,0.1553,99923859493,68363770248,168287629741,0.5938,10845459989,1.0444
2023-12-31,1998183979,5274200000,1.3955,0.1161,93257186557,70712014853,163969201410,0.5687,10465510387,1.0251
2023-09-30,1383725468,3278000000,1.3823,0.0916,92721609623,71814397457,164536007079,0.5635,16355734874,0.971
2023-06-30,1154301046,3180000000,1.4149,0.09,87771767104,68988399264,156760166368,0.5599,12958415877,1.0335
2023-03-31,870960795,2580000000,1.4904,0.0909,77951654735,65922452807,143874107542,0.5418,15603774068,1.0475
2022-12-31,1324087435,2912000000,1.5004,0.0944,77301291301,62254301746,139555593047,0.5539,14690975204,1.1048
2022-09-30,1138240293,1917000000,1.4293,0.0857,88036129516,58389879322,146426008838,0.6012,21563402829,0.8973
2022-06-30,992341302,1280000000,1.4672,0.1034,73571165694,53466942268,127038107962,0.5791,12885494738,0.9347
2022-03-31,899338422,1304683161,1.5016,0.1352,63712523717,50753154547,114465678264,0.5566,9030859887,0.9042
2021-12-31,909275694,1661345366,1.387,0.0889,50148006258,47586873024,97734879282,0.5131,7421291988,0.9194
2021-09-30,1277301606,2194606802,1.305,0.0866,57580206025,46162548318,103742754343,0.555,8595939089,0.7625
2021-06-30,931247547,1537875637,1.2662,0.0909,53594617486,43536169586,97130787072,0.5518,5752388951,0.7787
2021-03-31,925900024,1178658619,1.2863,0.082,51353095545,41997443160,93350538705,0.5501,4889214620,0.8189
2020-12-31,1126728403,1125286240,1.2787,0.1219,52036767691,35598060993,87634828684,0.5938,5017755319,0.9429
2020-09-30,1455890027,1175535050,1.3194,0.1447,47490941404,34078099366,81569040770,0.5822,6253217817,0.9845
2020-06-30,1364243512,2248306287,1.3715,0.106,36175888886,31805716599,67981605485,0.5321,3348562791,1.0149
2020-03-31,1670180827,2470287367,1.4978,0.1043,32868949032,30281630687,63150579720,0.5205,3751224697,1.0873
2019-12-31,0,2508594223,1.5177,0.1,31009156433,28294816678,59303973111,0.5229,0,1.2177
2019-09-30,0,2511912325,1.6092,0.1041,27773379605,26327669169,54101048774,0.5134,0,1.2639
2019-06-30,0,2603880385,1.6202,0.1445,29184801703,22431018146,51615819849,0.5654,0,1.2932
2019-03-31,0,2854731416,1.4939,0.1777,25605289667,17559474771,43164764438,0.5932,0,1.1318
2018-12-31,0,2658904838,1.5392,0.1953,22834483901,16824760230,39659244131,0.5758,0,1.2104
2018-09-30,0,2955254623,1.4877,0.1929,22939906258,15894603494,38834509752,0.5907,0,1.088
2018-06-30,0,2013961468,1.3395,0.1713,22584814990,15309826256,37894641246,0.596,0,0.9699
2018-03-31,0,1168869916,1.4546,0.1896,19957472687,14846943644,34804416331,0.5734,0,1.087
2017-12-31,0,1655781628,1.5338,0.2121,18639555741,14244144520,32883700260,0.5668,0,1.305
2017-09-30,0,1662781628,1.2099,0.1748,17269346897,12216156006,29485502902,0.5857,0,1.0127
2017-06-30,0,1812281628,1.2334,0.2004,15524298994,11154934600,26679233594,0.5819,0,1.0705
2017-03-31,0,1750071628,1.7244,0.1861,11322937737,10540984451,21863922188,0.5179,0,1.3928
2016-12-31,0,1023931628,1.8666,0.1585,9078794757,10093609740,19172404496,0.4735,0,1.5657
2016-09-30,0,591346070,2.3733,0.125,6424139286,9614602854,16038742140,0.4005,0,1.8722
2016-06-30,0,389000000,1.7469,0.1325,6170431787,6455202749,12625634537,0.4887,0,1.4441
