date,速动比率,流动负债合计,资产负债率,资产合计,负债合计,所有者权益合计,流动比率,流动资产合计,长期负债合计,有息负债率
2026-03-31,2.2573,14138270216,0.3431,198638173212,68159329199,130478844014,2.5596,0,0,0.0022
2025-12-31,2.1453,13459591157,0.3569,189984270815,67803587170,122180683645,2.4461,0,0,0.0022
2025-09-30,4.0719,9267919775,0.1926,181073423203,34872936996,146200486207,4.5886,0,0,0.0028
2025-06-30,3.1335,10077254935,0.2548,193415382563,49284244655,144131137908,3.5028,0,0,0.0031
2025-03-31,3.478,10166356188,0.2334,197980160530,46217402541,151762757989,3.857,0,0,0.0036
2024-12-31,2.8888,11689880975,0.2755,188252218704,51857424971,136394793733,3.249,0,0,0.0043
2024-09-30,4.2076,7072124320,0.1899,171704058921,32600404546,139103654375,4.7689,0,0,0.0053
2024-06-30,2.9217,8157503633,0.2792,185984511885,51935717476,134048794409,3.2565,0,0,0.0055
2024-03-31,4.4449,5047386094,0.1862,180610175713,33625333056,146984842658,4.9522,0,0,0.0056
2023-12-31,3.9661,6864383635,0.2,165432981685,33083608498,132349373187,4.5033,0,0,0.0008
2023-09-30,4.4166,3948649641,0.1789,151803365286,27163408424,124639956862,5.0066,0,0,0.0007
2023-06-30,3.8819,3649035286,0.2044,150573350683,30778440180,119794910503,4.4156,0,0,0.0014
2023-03-31,4.2241,5535791111,0.1909,160421137094,30627634152,129793502941,4.7617,0,0,0.0019
2022-12-31,3.3963,12379125543,0.2359,152714727880,36030538264,116684189616,3.847,0,0,0.0026
2022-09-30,4.2613,2963105261,0.1856,134684500168,24996525469,109687974699,4.878,0,0,0.0037
2022-06-30,4.1722,1876524916,0.1905,130315873868,24829603346,105486270522,4.7688,0,0,0.0044
2022-03-31,4.4796,3606781598,0.1818,137804423939,25058044209,112746379729,5.0536,0,0,0.0046
2021-12-31,3.2106,13058652246,0.2524,135620812221,34228928576,101391883645,3.6334,0,0,0.0053
2021-09-30,4.135,4691017458,0.1962,118262474075,23207466031,95055008044,4.7618,0,0,0.007
2021-06-30,3.0088,6328128884,0.2717,124593796630,33849799258,90743997372,3.4224,0,0,0.0073
2021-03-31,4.2549,4985609934,0.1887,120222689551,22681398116,97541291435,4.8322,0,0,0
2020-12-31,3.4345,8618543467,0.2295,113893139014,26134892369,87758246645,3.9552,0,0,0
2020-09-30,4.2865,4385153772,0.1791,99978750605,17906954237,82071796368,5.0479,0,0,0
2020-06-30,4.4708,3618932286,0.1709,94388914431,16133271086,78255643346,5.3241,0,0,0
2020-03-31,3.9327,4769153482,0.2019,105451563991,21295023590,84156540401,4.5485,0,0,0
2019-12-31,2.754,0,0.2848,106396972334,30300924677,76096047657,3.2172,0,0,0
2019-09-30,3.2739,0,0.2346,92757067720,21756476712,71000591008,3.8747,0,0,0
2019-06-30,3.2986,0,0.2316,88082807410,20401320707,67681486702,3.9061,0,0,0
2019-03-31,3.3285,0,0.2398,93909828420,22522102556,71387725864,3.8593,0,0,0
2018-12-31,3.1917,0,0.2436,86094265733,20974826392,65119439341,3.772,0,0,0
2018-09-30,3.7815,0,0.1981,76123846575,15079592417,61044254158,4.5984,0,0,0
2018-06-30,2.801,0,0.2721,80430592529,21883355978,58547236551,3.3466,0,0,0
2018-03-31,3.1278,0,0.2481,79647898938,19759604201,59888294737,3.6906,0,0,0
2017-12-31,3.2893,0,0.2291,70922626679,16248301030,54674325649,3.9629,0,0,0
2017-09-30,3.4673,0,0.2153,66083400884,14230069298,51853331586,4.1987,0,0,0
2017-06-30,3.2684,0,0.2274,64433367542,14655201164,49778166379,3.9549,0,0,0
2017-03-31,3.2278,0,0.2346,67866616071,15921551776,51945064295,3.8497,0,0,0
2016-12-31,3.2858,0,0.2247,62174406583,13968547374,48205859210,3.982,0,0,0
2016-09-30,3.1524,0,0.2303,60345095213,13899386003,46445709210,3.867,0,0,0
2016-06-30,2.9519,0,0.2439,59962925309,14627860845,45335064464,3.6237,0,0,0
