date,毛利率(GM),资本回报率(ROIC),净资产收益率(ROE),净利润率,总资产收益率(ROA)
2026-03-31,0.8063,0.0162,0.0161,0.086,0.0115
2025-12-31,0.7754,0.072,0.0721,0.2299,0.0493
2025-09-30,0.7547,0.2061,0.2065,0.3584,0.167
2025-06-30,0.7675,0.2402,0.2409,0.367,0.1766
2025-03-31,0.7681,0.2265,0.2271,0.3717,0.1792
2024-12-31,0.7705,0.2465,0.247,0.3722,0.1877
2024-09-30,0.7672,0.2542,0.255,0.3793,0.2079
2024-06-30,0.7619,0.2632,0.2644,0.3795,0.1994
2024-03-31,0.7592,0.2378,0.2388,0.38,0.1938
2023-12-31,0.7579,0.2527,0.2531,0.3785,0.1982
2023-09-30,0.7538,0.263,0.2633,0.3821,0.2153
2023-06-30,0.7542,0.2652,0.2656,0.3823,0.213
2023-03-31,0.7556,0.2446,0.245,0.383,0.1992
2022-12-31,0.7542,0.256,0.2565,0.3781,0.194
2022-09-30,0.759,0.2664,0.2666,0.3777,0.2158
2022-06-30,0.7647,0.2699,0.2702,0.3751,0.208
2022-03-31,0.7619,0.248,0.2482,0.3758,0.2023
2021-12-31,0.7535,0.2587,0.2591,0.3702,0.1964
2021-09-30,0.7476,0.2683,0.2694,0.3696,0.2186
2021-06-30,0.7444,0.2754,0.2768,0.3694,0.2136
2021-03-31,0.7428,0.2492,0.2492,0.3686,0.2006
2020-12-31,0.7416,0.2553,0.2553,0.3648,0.1899
2020-09-30,0.7495,0.2656,0.2656,0.3662,0.211
2020-06-30,0.7483,0.2712,0.2712,0.3683,0.2169
2020-03-31,0.7481,0.2504,0.2504,0.3691,0.1954
2019-12-31,0.7446,0.2582,0.2582,0.3637,0.1894
2019-09-30,0.7401,0.2605,0.2605,0.3592,0.2037
2019-06-30,0.7426,,0.2596,0.358,0.1944
2019-03-31,0.7479,,0.2382,0.3576,0.1802
2018-12-31,0.738,0.2344,0.2344,0.3507,0.1788
2018-09-30,0.7368,,0.2265,0.3413,0.1798
2018-06-30,0.7266,,0.2282,0.3435,0.1706
2018-03-31,0.7293,,0.2067,0.3408,0.1567
2017-12-31,0.7201,,0.1961,0.3341,0.1516
2017-09-30,0.7093,,0.1836,0.3131,0.1428
2017-06-30,0.7114,,0.1728,0.3055,0.1322
2017-03-31,0.7045,,0.1569,0.3009,0.1209
2016-12-31,0.702,,0.1525,0.2875,0.123
2016-09-30,0.6986,,0.1555,0.286,0.1276
2016-06-30,0.6932,,0.1619,0.296,0.1307
