date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2025-09-30,28247488417,-0.0519,29890128971,1.0994
2025-06-30,31136736629,1.3188,49148240601,1.5417
2025-03-31,15848802262,29.7031,46742821268,1.4524
2024-12-31,33939755193,-0.1869,31283580814,1.0225
2024-09-30,29794118734,0.3308,47023162159,1.4615
2024-06-30,13427928656,0.1852,41146231206,1.3065
2024-03-31,516195073,-0.9459,30338706954,0.9901
2023-12-31,41742479908,0.7086,38787009216,1.3243
2023-09-30,22388745175,1.0758,33347763013,1.1682
2023-06-30,11329818886,5.0039,31710009257,1.1324
2023-03-31,9535617536,3.8037,34989869017,1.2579
2022-12-31,24431136261,-0.0875,22697268630,0.8735
2022-09-30,10785477248,-0.2995,20053959731,0.8119
2022-06-30,1887074641,-0.7833,18104754413,0.7526
2022-03-31,-3401025899,-1.6178,16315544106,0.6847
2021-12-31,26774941873,0.8216,25241997045,1.0925
2021-09-30,15397893819,2.9047,24797560741,1.0962
2021-06-30,8707487983,6.4542,20914750900,0.9509
2021-03-31,5505475102,5.5811,20122442484,0.9456
2020-12-31,14698327593,-0.364,13711006122,0.7028
2020-09-30,3943471635,-0.7564,10155580397,0.5344
2020-06-30,1168132704,-0.8604,15322861877,0.8041
2020-03-31,-1201790977,-1.1516,12327298163,0.718
2019-12-31,23112072041,0.8764,21505467727,1.2679
2019-09-30,16191322655,3.1764,23073516936,1.432
2019-06-30,8365812629,13.0214,18649569210,1.2261
2019-03-31,7926569919,2.3055,17523830273,1.1413
2018-12-31,12317359035,0.2612,11941561958,0.8774
2018-09-30,3876870034,-0.3637,7197573281,0.5906
2018-06-30,596647018,-0.8115,6862838636,0.5824
2018-03-31,2398028544,0.3007,10036639923,0.8927
2017-12-31,9766175823,-0.1651,9565294549,0.9683
2017-09-30,6093165398,-0.4231,7021042176,0.8008
2017-06-30,3164691698,-0.2659,10334043734,1.2835
2017-03-31,1843612667,1.4273,12512263786,1.6412
2016-12-31,11696760569,0.7481,11394776413,1.6575
2016-09-30,10562390294,0.8499,11268780233,1.6658
2016-06-30,4311242230,0.3833,7552013993,1.124
