日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2026-07-03,=5.9300,=5.9300,=5.9300,=5.9300,=96171278130.47,=69516637358.0,=14254656282.53,,=0.0330
2026-07-02,=5.8700,=5.8700,=5.8700,=5.8700,=95198212921.73,=68813264974.0,=14110427045.27,,=0.0333
2026-07-01,=5.8400,=5.8400,=5.8400,=5.8400,=94711680317.36,=68461578781.0,=14038312426.64,,=0.0335
2026-06-30,=5.7100,=5.7100,=5.7100,=5.7100,=92603372365.09,=66937605281.0,=13725815745.91,,=0.0343
2026-06-29,=5.8300,=5.8300,=5.8300,=5.8300,=94549502782.57,=68344350051.0,=14014274220.43,,=0.0335
2026-06-26,=5.7800,=5.7800,=5.7800,=5.7800,=93738615108.62,=67758206397.0,=13894083189.38,,=0.0338
2026-06-25,=5.9000,=5.9000,=5.9000,=5.9000,=95684745526.1,=69164951166.0,=14182541663.9,,=0.0331
2026-06-24,=5.9500,=5.9500,=5.9500,=5.9500,=96495633200.05,=69751094820.0,=14302732694.95,,=0.0329
2026-06-23,=6.0700,=6.0700,=6.0700,=6.0700,=98441763617.53,=71157839590.0,=14591191169.47,,=0.0322
2026-06-22,=6.1400,=6.1400,=6.1400,=6.1400,=99926315541.5,=72352108494.0,=14759458612.94,,=0.0317
2026-06-18,=6.1100,=6.1100,=6.1100,=6.1100,=99438076214.75,=71998596563.0,=14687343994.31,,=0.0319
2026-06-17,=6.3900,=6.3900,=6.3900,=6.3900,=103994976597.75,=75298041250.0,=15360413768.19,,=0.0305
2026-06-16,=6.1700,=6.1700,=6.1700,=6.1700,=100414554868.25,=72705620424.0,=14831573231.57,,=0.0316
2026-06-15,=6.3200,=6.3200,=6.3200,=6.3200,=102855751502.0,=74473180078.0,=15192146324.72,,=0.0308
2026-06-12,=6.3100,=6.3100,=6.3100,=6.3100,=102693005059.75,=74355342768.0,=15168108118.51,,=0.0309
2026-06-11,=6.2800,=6.2800,=6.2800,=6.2800,=102204765733.0,=74001830837.0,=15095993499.88,,=0.0310
2026-06-10,=6.2000,=6.2000,=6.2000,=6.2000,=100902794195.0,=73059132355.0,=14903687850.2,,=0.0314
2026-06-09,=6.1500,=6.1500,=6.1500,=6.1500,=100089061983.75,=72469945804.0,=14783496819.15,,=0.0317
2026-06-08,=6.1200,=6.1200,=6.1200,=6.1200,=99600822657.0,=72116433873.0,=14711382200.52,,=0.0318
2026-06-05,=6.2800,=6.2800,=6.2800,=6.2800,=102204765733.0,=74001830837.0,=15095993499.88,,=0.0310
