日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-03,=20.5800,=20.5800,=20.5800,=20.5800,=192991618197.0,=128687324698.0,=80709261497.34,,=10.3106,,,,
2026-07-02,=20.4200,=20.4200,=20.4200,=20.4200,=191491197453.0,=127686840153.0,=80081784245.66,,=10.2304,,,,
2026-07-01,=20.3000,=20.3000,=20.3000,=20.3000,=190365881895.0,=126936476743.0,=79611176306.9,,=10.1703,,,,
2026-06-30,=20.4100,=20.4100,=20.4100,=20.4100,=191397421156.5,=127624309869.0,=80042566917.43,,=10.2254,,,,
2026-06-29,=20.4200,=20.4200,=20.4200,=20.4200,=191491197453.0,=127686840153.0,=80081784245.66,,=10.2304,,,,
2026-06-26,=19.7200,=19.7200,=19.7200,=19.7200,=184926856698.0,=123309720265.0,=77336571269.56,,=9.8797,,,,
2026-06-25,=19.8600,=19.8600,=19.8600,=19.8600,=186239724849.0,=124185144242.0,=77885613864.78,,=9.9499,,,,
2026-06-24,=19.3400,=19.3400,=19.3400,=19.3400,=181363357431.0,=120933569469.0,=75846312796.82,,=9.6894,,,,
2026-06-23,=19.7200,=19.7200,=19.7200,=19.7200,=184926856698.0,=123309720265.0,=77336571269.56,,=9.8797,,,,
2026-06-22,=19.9800,=19.9800,=19.9800,=19.9800,=187365040407.0,=124935507652.0,=78356221803.54,,=10.0100,,,,
2026-06-18,=19.4500,=19.4500,=19.4500,=19.4500,=182394896692.5,=121621402594.0,=76277703407.35,,=9.7445,,,,
2026-06-17,=20.4900,=20.4900,=20.4900,=20.4900,=192147631528.5,=128124552141.0,=80356305543.27,,=10.2655,,,,
2026-06-16,=20.7200,=20.7200,=20.7200,=20.7200,=194304486348.0,=129562748676.0,=81258304092.56,,=10.3807,,,,
2026-06-15,=20.9700,=20.9700,=20.9700,=20.9700,=196648893760.5,=131126005779.0,=82238737298.31,,=10.5060,,,,
2026-06-12,=21.1300,=21.1300,=21.1300,=21.1300,=198149314504.5,=132126490324.0,=82866214549.99,,=10.5861,,,,
2026-06-11,=21.1100,=21.1100,=21.1100,=21.1100,=197961761911.5,=132001429756.0,=82787779893.53,,=10.5761,,,,
2026-06-10,=20.4200,=20.4200,=20.4200,=20.4200,=191491197453.0,=127686840153.0,=80081784245.66,,=10.2304,,,,
2026-06-09,=20.0700,=20.0700,=20.0700,=20.0700,=188209027075.5,=125498280209.0,=78709177757.61,,=10.0551,,,,
2026-06-08,=20.1700,=20.1700,=20.1700,=20.1700,=189146790040.5,=126123583050.0,=79101351039.91,,=10.1052,,,,
2026-06-05,=20.3100,=20.3100,=20.3100,=20.3100,=190459658191.5,=126999007027.0,=79650393635.13,,=10.1753,,,,
2026-06-04,=20.3600,=20.3600,=20.3600,=20.3600,=190928539674.0,=127311658448.0,=79846480276.28,,=10.2004,,,,
2026-06-03,=20.7000,=20.7000,=20.7000,=20.7000,=194116933755.0,=129437688108.0,=81179869436.1,,=10.3707,,,,
2026-06-02,=21.1300,=21.1300,=21.1300,=21.1300,=198149314504.5,=132126490324.0,=82866214549.99,,=10.5861,,,,
2026-06-01,=21.0800,=21.0800,=21.0800,=21.0800,=197680433022.0,=131813838904.0,=82670127908.84,,=10.5611,,,,
2026-05-29,=20.8800,=20.8800,=20.8800,=20.8800,=195804907092.0,=130563233222.0,=81885781344.24,,=10.4609,,,,
2026-05-28,=20.1100,=20.1100,=20.1100,=20.1100,=188584132261.5,=125748401345.0,=78866047070.53,,=10.0751,,,,
2026-05-27,=20.1600,=20.1600,=20.1600,=20.1600,=189053013744.0,=126061052766.0,=79062133711.68,,=10.1002,,,,
2026-05-26,=20.2200,=20.2200,=20.2200,=20.2200,=189615671523.0,=126436234470.0,=79297437681.06,,=10.1302,,,,
2026-05-25,=20.3100,=20.3100,=20.3100,=20.3100,=190459658191.5,=126999007027.0,=79650393635.13,,=10.1753,,,,
2026-05-22,=20.3800,=20.3800,=20.3800,=20.3800,=191116092267.0,=127436719016.0,=79924914932.74,,=10.2104,,,,
2026-05-21,=20.4400,=20.4400,=20.4400,=20.4400,=191678750046.0,=127811900721.0,=80160218902.12,,=10.2405,,,,
2026-05-20,=20.8800,=20.8800,=20.8800,=20.8800,=195804907092.0,=130563233222.0,=81885781344.24,,=10.4609,,,,
2026-05-19,=20.9800,=20.9800,=20.9800,=20.9800,=196742670057.0,=131188536063.0,=82277954626.54,,=10.5110,,,,
2026-05-18,=21.0900,=21.0900,=21.0900,=21.0900,=197774209318.5,=131876369188.0,=82709345237.07,,=10.5661,,,,
2026-05-15,=21.4000,=21.4000,=21.4000,=21.4000,=200681274510.0,=133814807995.0,=83925082412.2,,=10.7214,,,,
2026-05-14,=21.2800,=21.2800,=21.2800,=21.2800,=199555958952.0,=133064444586.0,=83454474473.44,,=10.6613,,,,
2026-05-13,=21.0800,=21.0800,=21.0800,=21.0800,=197680433022.0,=131813838904.0,=82670127908.84,,=10.5611,,,,
2026-05-12,=21.2200,=21.2200,=21.2200,=21.2200,=198993301173.0,=132689262881.0,=83219170504.06,,=10.6312,,,,
2026-05-11,=21.4900,=21.4900,=21.4900,=21.4900,=201525261178.5,=134377580552.0,=84278038366.27,,=10.7665,,,,
2026-05-08,=21.3900,=21.3900,=21.3900,=21.3900,=200587498213.5,=133752277711.0,=83885865083.97,,=10.7164,,,,
2026-05-07,=21.4400,=21.4400,=21.4400,=21.4400,=201056379696.0,=134064929132.0,=84081951725.12,,=10.7415,,,,
2026-05-06,=21.5800,=21.5800,=21.5800,=21.5800,=202369247847.0,=134940353109.0,=84630994320.34,,=10.8116,,,,
2026-04-30,=21.5300,=21.5300,=21.5300,=21.5300,=201900366364.5,=134627701689.0,=84434907679.19,,=10.7865,,,,
2026-04-29,=21.6400,=21.6400,=21.6400,=21.6400,=202931905626.0,=135315534814.0,=84866298289.72,,=10.8417,,,,
2026-04-28,=21.3400,=21.3400,=21.3400,=21.3400,=200118616731.0,=133439626291.0,=83689778442.82,,=10.6914,,,,
2026-04-27,=20.5200,=20.5200,=20.5200,=20.5200,=192428960418.0,=128312142994.0,=80473957527.96,,=9.8415,,,,
2026-04-24,=20.4800,=20.4800,=20.4800,=20.4800,=192053855232.0,=128062021857.0,=80317088215.04,,=9.8223,,,,
2026-04-23,=20.5300,=20.5300,=20.5300,=20.5300,=192522736714.5,=128374673278.0,=80513174856.19,,=9.8463,,,,
2026-04-22,=20.6800,=20.6800,=20.6800,=20.6800,=193929381162.0,=129312627539.0,=81101434779.64,,=9.9182,,,,
2026-04-21,=20.8300,=20.8300,=20.8300,=20.8300,=195336025609.5,=130250581801.0,=81689694703.09,,=9.9902,,,,
2026-04-20,=20.7700,=20.7700,=20.7700,=20.7700,=194773367830.5,=129875400096.0,=81454390733.71,,=9.9614,,,,
2026-04-17,=20.8500,=20.8500,=20.8500,=20.8500,=195523578202.5,=130375642369.0,=81768129359.55,,=9.9998,,,,
2026-04-16,=21.0600,=21.0600,=21.0600,=21.0600,=197492880429.0,=131688778336.0,=82591693252.38,,=10.1005,,,,
2026-04-15,=21.0500,=21.0500,=21.0500,=21.0500,=197399104132.5,=131626248052.0,=82552475924.15,,=10.0957,,,,
2026-04-14,=20.9400,=20.9400,=20.9400,=20.9400,=196367564871.0,=130938414926.0,=82121085313.62,,=10.0429,,,,
2026-04-13,=20.7400,=20.7400,=20.7400,=20.7400,=194492038941.0,=129687809244.0,=81336738749.02,,=9.9470,,,,
2026-04-10,=20.8800,=20.8800,=20.8800,=20.8800,=195804907092.0,=130563233222.0,=81885781344.24,,=10.0142,,,,
2026-04-09,=20.7500,=20.7500,=20.7500,=20.7500,=194585815237.5,=129750339528.0,=81375956077.25,,=9.9518,,,,
2026-04-08,=21.1700,=21.1700,=21.1700,=21.1700,=198524419690.5,=132376611461.0,=83023083862.91,,=10.1532,,,,
2026-04-07,=20.6700,=20.6700,=20.6700,=20.6700,=193835604865.5,=129250097255.0,=81062217451.41,,=9.9134,,,,
2026-04-03,=21.1500,=21.1500,=21.1500,=21.1500,=198336867097.5,=132251550893.0,=82944649206.45,,=10.1437,,,,
2026-04-02,=21.3800,=21.3800,=21.3800,=21.3800,=200493721917.0,=133689747427.0,=83846647755.74,,=10.2540,,,,
2026-04-01,=21.7900,=21.7900,=21.7900,=21.7900,=204338550073.5,=136253489076.0,=85454558213.17,,=10.4506,,,,
2026-03-31,=21.3800,=21.3800,=21.3800,=21.3800,=200493721917.0,=133689747427.0,=83846647755.74,,=10.2540,,,,
2026-03-30,=21.5900,=21.5900,=21.5900,=21.5900,=202463024143.5,=135002883393.0,=84670211648.57,,=10.3547,,,,
2026-03-27,=22.2300,=22.2300,=22.2300,=22.2300,=208464707119.5,=139004821577.0,=87180120655.29,,=10.6616,,,,
2026-03-26,=23.1100,=23.1100,=23.1100,=23.1100,=216717021211.5,=144507486578.0,=90665279266.77,,=10.3399,,,,
2026-03-25,=23.5900,=23.5900,=23.5900,=23.5900,=221218283443.5,=147508940215.0,=92548417910.13,,=10.5546,,,,
2026-03-24,=23.3500,=23.3500,=23.3500,=23.3500,=218967652327.5,=146008213397.0,=91606848588.45,,=10.4472,,,,
2026-03-23,=23.4400,=23.4400,=23.4400,=23.4400,=219811638996.0,=146570985954.0,=91959937084.08,,=10.4875,,,,
2026-03-20,=24.5100,=24.5100,=24.5100,=24.5100,=229845702721.5,=153261726354.0,=96157766976.57,,=10.9663,,,,
2026-03-19,=24.5500,=24.5500,=24.5500,=24.5500,=230220807907.5,=153511847490.0,=96314695196.85,,=10.9841,,,,
2026-03-18,=24.9400,=24.9400,=24.9400,=24.9400,=233878083471.0,=155950528570.0,=97844745344.58,,=11.1586,,,,
2026-03-17,=25.0800,=25.0800,=25.0800,=25.0800,=235190951622.0,=156825952548.0,=98393994115.56,,=11.2213,,,,
2026-03-16,=24.9300,=24.9300,=24.9300,=24.9300,=233784307174.5,=155887998286.0,=97805513289.51,,=11.1542,,,,
2026-03-13,=25.0800,=25.0800,=25.0800,=25.0800,=235190951622.0,=156825952548.0,=98393994115.56,,=11.2213,,,,
2026-03-12,=25.2400,=25.2400,=25.2400,=25.2400,=236691372366.0,=157826437094.0,=99021706996.68,,=11.2929,,,,
2026-03-11,=25.1900,=25.1900,=25.1900,=25.1900,=236222490883.5,=157513785673.0,=98825546721.33,,=11.2705,,,,
2026-03-10,=24.8700,=24.8700,=24.8700,=24.8700,=233221649395.5,=155512816582.0,=97570120959.09,,=11.1273,,,,
2026-03-09,=24.4000,=24.4000,=24.4000,=24.4000,=228814163460.0,=152573893228.0,=95726214370.8,,=10.9170,,,,
2026-03-06,=24.8600,=24.8600,=24.8600,=24.8600,=233127873099.0,=155450286297.0,=97530888904.02,,=11.1228,,,,
2026-03-05,=24.6200,=24.6200,=24.6200,=24.6200,=230877241983.0,=153949559479.0,=96589319582.34,,=11.0155,,,,
2026-03-04,=24.5400,=24.5400,=24.5400,=24.5400,=230127031611.0,=153449317206.0,=96275463141.78,,=10.9797,,,,
2026-03-03,=25.0800,=25.0800,=25.0800,=25.0800,=235190951622.0,=156825952548.0,=98393994115.56,,=11.2213,,,,
2026-03-02,=25.3200,=25.3200,=25.3200,=25.3200,=237441582738.0,=158326679367.0,=99335563437.24,,=11.3287,,,,
2026-02-27,=25.7000,=25.7000,=25.7000,=25.7000,=241005082005.0,=160702830163.0,=100826381529.9,,=11.4987,,,,
2026-02-26,=25.9600,=25.9600,=25.9600,=25.9600,=243443265714.0,=162328617550.0,=101846414961.72,,=11.6150,,,,
2026-02-25,=26.1100,=26.1100,=26.1100,=26.1100,=244849910161.5,=163266571811.0,=102434895787.77,,=11.6821,,,,
2026-02-24,=26.0200,=26.0200,=26.0200,=26.0200,=244005923493.0,=162703799254.0,=102081807292.14,,=11.6419,,,,
2026-02-13,=25.7000,=25.7000,=25.7000,=25.7000,=241005082005.0,=160702830163.0,=100826381529.9,,=11.4987,,,,
2026-02-12,=25.8900,=25.8900,=25.8900,=25.8900,=242786831638.5,=161890905561.0,=101571790576.23,,=11.5837,,,,
2026-02-11,=26.0300,=26.0300,=26.0300,=26.0300,=244099699789.5,=162766329538.0,=102121039347.21,,=11.6463,,,,
2026-02-10,=26.1500,=26.1500,=26.1500,=26.1500,=245225015347.5,=163516692948.0,=102591824008.05,,=11.7000,,,,
2026-02-09,=25.9600,=25.9600,=25.9600,=25.9600,=243443265714.0,=162328617550.0,=101846414961.72,,=11.6150,,,,
2026-02-06,=26.0700,=26.0700,=26.0700,=26.0700,=244474804975.5,=163016450675.0,=102277967567.49,,=11.6642,,,,
2026-02-05,=26.3300,=26.3300,=26.3300,=26.3300,=246912988684.5,=164642238062.0,=103298000999.31,,=11.7806,,,,
2026-02-04,=26.0400,=26.0400,=26.0400,=26.0400,=244193476086.0,=162828859822.0,=102160271402.28,,=11.6508,,,,
2026-02-03,=25.2000,=25.2000,=25.2000,=25.2000,=236316267180.0,=157576315957.0,=98864778776.4,,=11.2750,,,,
2026-02-02,=25.0000,=25.0000,=25.0000,=25.0000,=234440741250.0,=156325710275.0,=98080137675.0,,=11.1855,,,,
2026-01-30,=25.1100,=25.1100,=25.1100,=25.1100,=235472280511.5,=157013543400.0,=98511690280.77,,=11.2347,,,,
2026-01-29,=25.4600,=25.4600,=25.4600,=25.4600,=238754450889.0,=159202103344.0,=99884812208.22,,=11.3913,,,,
2026-01-28,=25.1300,=25.1300,=25.1300,=25.1300,=235659833104.5,=157138603968.0,=98590154390.91,,=11.2437,,,,
2026-01-27,=25.5000,=25.5000,=25.5000,=25.5000,=239129556075.0,=159452224481.0,=100041740428.5,,=11.4092,,,,
2026-01-26,=25.6000,=25.6000,=25.6000,=25.6000,=240067319040.0,=160077527322.0,=100434060979.2,,=11.4539,,,,
2026-01-23,=25.6800,=25.6800,=25.6800,=25.6800,=240817529412.0,=160577769594.0,=100747917419.76,,=11.4897,,,,
2026-01-22,=25.8900,=25.8900,=25.8900,=25.8900,=242786831638.5,=161890905561.0,=101571790576.23,,=11.5837,,,,
2026-01-21,=25.8900,=25.8900,=25.8900,=25.8900,=242786831638.5,=161890905561.0,=101571790576.23,,=11.5837,,,,
2026-01-20,=26.3800,=26.3800,=26.3800,=26.3800,=247381870167.0,=164954889482.0,=103494161274.66,,=11.8029,,,,
2026-01-19,=25.9400,=25.9400,=25.9400,=25.9400,=243255713121.0,=162203556981.0,=101767950851.58,,=11.6061,,,,
2026-01-16,=25.7000,=25.7000,=25.7000,=25.7000,=241005082005.0,=160702830163.0,=100826381529.9,,=11.4987,,,,
2026-01-15,=25.8200,=25.8200,=25.8200,=25.8200,=242130397563.0,=161453193572.0,=101297166190.74,,=11.5524,,,,
2026-01-14,=25.9300,=25.9300,=25.9300,=25.9300,=243161936824.5,=162141026697.0,=101728718796.51,,=11.6016,,,,
2026-01-13,=25.9000,=25.9000,=25.9000,=25.9000,=242880607935.0,=161953435845.0,=101611022631.3,,=11.5882,,,,
2026-01-12,=26.2000,=26.2000,=26.2000,=26.2000,=245693896830.0,=163829344368.0,=102787984283.4,,=11.7224,,,,
2026-01-09,=26.0500,=26.0500,=26.0500,=26.0500,=244287252382.5,=162891390107.0,=102199503457.35,,=11.6553,,,,
2026-01-08,=26.1200,=26.1200,=26.1200,=26.1200,=244943686458.0,=163329102095.0,=102474127842.84,,=11.6866,,,,
2026-01-07,=26.3000,=26.3000,=26.3000,=26.3000,=246631659795.0,=164454647209.0,=103180304834.1,,=11.7671,,,,
2026-01-06,=26.4000,=26.4000,=26.4000,=26.4000,=247569422760.0,=165079950050.0,=103572625384.8,,=11.8119,,,,
2026-01-05,=26.3200,=26.3200,=26.3200,=26.3200,=246819212388.0,=164579707778.0,=103258768944.24,,=11.7761,,,,
2025-12-31,=26.0900,=26.0900,=26.0900,=26.0900,=244662357568.5,=163141511243.0,=102356431677.63,,=11.6732,,,,
2025-12-30,=26.5400,=26.5400,=26.5400,=26.5400,=248882290911.0,=165955374028.0,=104121874155.78,,=11.8745,,,,
2025-12-29,=26.5800,=26.5800,=26.5800,=26.5800,=249257396097.0,=166205495164.0,=104278802376.06,,=11.8924,,,,
2025-12-26,=26.7400,=26.7400,=26.7400,=26.7400,=250757816841.0,=167205979710.0,=104906515257.18,,=11.9640,,,,
2025-12-25,=26.8800,=26.8800,=26.8800,=26.8800,=252070684992.0,=168081403688.0,=105455764028.16,,=12.0266,,,,
2025-12-24,=26.8400,=26.8400,=26.8400,=26.8400,=251695579806.0,=167831282551.0,=105298835807.88,,=12.0087,,,,
2025-12-23,=27.2100,=27.2100,=27.2100,=27.2100,=255165302776.5,=170144903063.0,=106750421845.47,,=12.1743,,,,
2025-12-22,=27.3300,=27.3300,=27.3300,=27.3300,=256290618334.5,=170895266473.0,=107221206506.31,,=12.2280,,,,
