日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,=53.3800,=53.3800,=53.3800,=53.3800,=72820735558.98,=37853142837.0,=16227193741.44,,=2.3389,,,,
2026-07-02,=52.9100,=52.9100,=52.9100,=52.9100,=72179563852.11,=37519853644.0,=16084316614.08,,=2.3183,,,,
2026-07-01,=52.8900,=52.8900,=52.8900,=52.8900,=72152279949.69,=37505671125.0,=16078236736.32,,=2.3175,,,,
2026-06-30,=52.2300,=52.2300,=52.2300,=52.2300,=71251911169.83,=37037648003.0,=15877600770.24,,=2.2885,,,,
2026-06-29,=53.0000,=53.0000,=53.0000,=53.0000,=72302341413.0,=37583674979.0,=16111676064.0,,=2.3223,,,,
2026-06-26,=51.5900,=51.5900,=51.5900,=51.5900,=70378826292.39,=36583807399.0,=15683044681.92,,=2.2605,,,,
2026-06-25,=52.4800,=52.4800,=52.4800,=52.4800,=71592959950.08,=37214929489.0,=15953599242.24,,=2.2995,,,,
2026-06-24,=52.1900,=52.1900,=52.1900,=52.1900,=71197343364.99,=37009282965.0,=15865441014.72,,=2.2868,,,,
2026-06-23,=53.2100,=53.2100,=53.2100,=53.2100,=72588822388.41,=37732591427.0,=16175514780.48,,=2.3315,,,,
2026-06-22,=53.9200,=53.9200,=53.9200,=53.9200,=73557400924.32,=38236070847.0,=16391350440.96,,=2.3626,,,,
2026-06-18,=53.9000,=53.9000,=53.9000,=53.9000,=73530117021.9,=38221888328.0,=16385270563.2,,=2.3617,,,,
2026-06-17,=56.1000,=56.1000,=56.1000,=56.1000,=76531346288.1,=39781965402.0,=17054057116.8,,=2.4581,,,,
2026-06-16,=57.8000,=57.8000,=57.8000,=57.8000,=78850477993.8,=40987479505.0,=17570846726.4,,=2.5326,,,,
2026-06-15,=59.5000,=59.5000,=59.5000,=59.5000,=81169609699.5,=42192993609.0,=18087636336.0,,=2.6071,,,,
2026-06-12,=60.5600,=60.5600,=60.5600,=60.5600,=82615656527.76,=42944667108.0,=18409869857.28,,=2.6535,,,,
2026-06-11,=60.6900,=60.6900,=60.6900,=60.6900,=82793001893.49,=43036853481.0,=18449389062.72,,=2.6592,,,,
2026-06-10,=61.0300,=61.0300,=61.0300,=61.0300,=83256828234.63,=43277956301.0,=18552746984.64,,=2.6741,,,,
2026-06-09,=59.5900,=59.5900,=59.5900,=59.5900,=81292387260.39,=42256814943.0,=18114995785.92,,=2.6110,,,,
2026-06-08,=60.1400,=60.1400,=60.1400,=60.1400,=82042694576.94,=42646834212.0,=18282192424.32,,=2.6351,,,,
2026-06-05,=59.7000,=59.7000,=59.7000,=59.7000,=81442448723.7,=42334818797.0,=18148435113.6,,=2.6158,,,,
2026-06-04,=59.4300,=59.4300,=59.4300,=59.4300,=81074116041.03,=42143354792.0,=18066356763.84,,=2.6040,,,,
2026-06-03,=59.8200,=59.8200,=59.8200,=59.8200,=81606152138.22,=42419913910.0,=18184914380.16,,=2.6211,,,,
2026-06-02,=61.0100,=61.0100,=61.0100,=61.0100,=83229544332.21,=43263773782.0,=18546667106.88,,=2.6732,,,,
2026-06-01,=61.4700,=61.4700,=61.4700,=61.4700,=83857074087.87,=43589971716.0,=18686504295.36,,=2.6934,,,,
2026-05-29,=61.1400,=61.1400,=61.1400,=61.1400,=83406889697.94,=43355960155.0,=18586186312.32,,=2.6789,,,,
2026-05-28,=59.9000,=59.9000,=59.9000,=59.9000,=81715287747.9,=42476643986.0,=18209233891.2,,=2.6246,,,,
2026-05-27,=60.6000,=60.6000,=60.6000,=60.6000,=82670224332.6,=42973032146.0,=18422029612.8,,=2.6553,,,,
2026-05-26,=60.4300,=60.4300,=60.4300,=60.4300,=82438311162.03,=42852480735.0,=18370350651.84,,=2.6478,,,,
2026-05-25,=60.2600,=60.2600,=60.2600,=60.2600,=82206397991.46,=42731929325.0,=18318671690.88,,=2.6404,,,,
2026-05-22,=60.8300,=60.8300,=60.8300,=60.8300,=82983989210.43,=43136131113.0,=18491948207.04,,=2.6654,,,,
2026-05-21,=61.2100,=61.2100,=61.2100,=61.2100,=83502383356.41,=43405598971.0,=18607465884.48,,=2.6820,,,,
2026-05-20,=61.8100,=61.8100,=61.8100,=61.8100,=84320900429.01,=43831074537.0,=18789862217.28,,=2.7083,,,,
2026-05-19,=61.6900,=61.6900,=61.6900,=61.6900,=84157197014.49,=43745979424.0,=18753382950.72,,=2.7030,,,,
2026-05-18,=61.7000,=61.7000,=61.7000,=61.7000,=84170838965.7,=43753070683.0,=18756422889.6,,=2.7035,,,,
2026-05-15,=61.7600,=61.7600,=61.7600,=61.7600,=84252690672.96,=43795618240.0,=18774662522.88,,=2.7061,,,,
2026-05-14,=62.1500,=62.1500,=62.1500,=62.1500,=84784726770.15,=44072177357.0,=18893220139.2,,=2.7232,,,,
2026-05-13,=62.1500,=62.1500,=62.1500,=62.1500,=84784726770.15,=44072177357.0,=18893220139.2,,=2.7232,,,,
2026-05-12,=62.7600,=62.7600,=62.7600,=62.7600,=85616885793.96,=44504744183.0,=19078656410.88,,=2.7499,,,,
2026-05-11,=62.7800,=62.7800,=62.7800,=62.7800,=85644169696.38,=44518926702.0,=19084736288.64,,=2.7508,,,,
2026-05-08,=62.4600,=62.4600,=62.4600,=62.4600,=85207627257.66,=44292006400.0,=18987458244.48,,=2.7368,,,,
2026-05-07,=62.4500,=62.4500,=62.4500,=62.4500,=85193985306.45,=44284915140.0,=18984418305.6,,=2.7363,,,,
2026-05-06,=62.8900,=62.8900,=62.8900,=62.8900,=85794231159.69,=44596930555.0,=19118175616.32,,=2.7556,,,,
2026-04-30,=63.4100,=63.4100,=63.4100,=63.4100,=86503612622.61,=44965676046.0,=19276252438.08,,=2.7784,,,,
2026-04-29,=63.2100,=63.2100,=63.2100,=63.2100,=86230773598.41,=44823850857.0,=19215453660.48,,=2.7696,,,,
2026-04-28,=63.1500,=63.1500,=63.1500,=63.1500,=86148921891.15,=44781303300.0,=19197214027.2,,=2.7670,,,,
2026-04-27,=61.9000,=61.9000,=61.9000,=61.9000,=84443677989.9,=43894895872.0,=18817221667.2,,=2.8779,,,,
2026-04-24,=61.6800,=61.6800,=61.6800,=61.6800,=84143555063.28,=43738888164.0,=18750343011.84,,=2.8677,,,,
2026-04-23,=61.9900,=61.9900,=61.9900,=61.9900,=84566455550.79,=43958717207.0,=18844581117.12,,=2.8821,,,,
2026-04-22,=61.8600,=61.8600,=61.8600,=61.8600,=84389110185.06,=43866530834.0,=18805061911.68,,=2.8761,,,,
2026-04-21,=62.0200,=62.0200,=62.0200,=62.0200,=84607381404.42,=43979990985.0,=18853700933.76,,=2.8835,,,,
2026-04-20,=61.9100,=61.9100,=61.9100,=61.9100,=84457319941.11,=43901987131.0,=18820261606.08,,=2.8784,,,,
2026-04-17,=61.9500,=61.9500,=61.9500,=61.9500,=84511887745.95,=43930352169.0,=18832421361.6,,=2.8803,,,,
2026-04-16,=62.0600,=62.0600,=62.0600,=62.0600,=84661949209.26,=44008356023.0,=18865860689.28,,=2.8854,,,,
2026-04-15,=62.0000,=62.0000,=62.0000,=62.0000,=84580097502.0,=43965808466.0,=18847621056.0,,=2.8826,,,,
2026-04-14,=61.9200,=61.9200,=61.9200,=61.9200,=84470961892.32,=43909078391.0,=18823301544.96,,=2.8789,,,,
2026-04-13,=62.2600,=62.2600,=62.2600,=62.2600,=84934788233.46,=44150181211.0,=18926659466.88,,=2.8947,,,,
2026-04-10,=62.3800,=62.3800,=62.3800,=62.3800,=85098491647.98,=44235276324.0,=18963138733.44,,=2.9002,,,,
2026-04-09,=62.5400,=62.5400,=62.5400,=62.5400,=85316762867.34,=44348736475.0,=19011777755.52,,=2.9077,,,,
2026-04-08,=63.4500,=63.4500,=63.4500,=63.4500,=86558180427.45,=44994041083.0,=19288412193.6,,=2.9500,,,,
2026-04-07,=63.0100,=63.0100,=63.0100,=63.0100,=85957934574.21,=44682025668.0,=19154654882.88,,=2.9295,,,,
2026-04-03,=63.1100,=63.1100,=63.1100,=63.1100,=86094354086.31,=44752938263.0,=19185054271.68,,=2.9342,,,,
2026-04-02,=63.9900,=63.9900,=63.9900,=63.9900,=87294845792.79,=45376969093.0,=19452568893.12,,=2.9751,,,,
2026-04-01,=63.3000,=63.3000,=63.3000,=63.3000,=86353551159.3,=44887672192.0,=19242813110.4,,=2.9430,,,,
2026-03-31,=61.8600,=61.8600,=61.8600,=61.8600,=84389110185.06,=43866530834.0,=18805061911.68,,=2.8761,,,,
2026-03-30,=62.1800,=62.1800,=62.1800,=62.1800,=84825652623.78,=44093451136.0,=18902339955.84,,=2.8909,,,,
2026-03-27,=62.4700,=62.4700,=62.4700,=62.4700,=85221269208.87,=44299097659.0,=18990498183.36,,=2.9044,,,,
2026-03-26,=62.2000,=62.2000,=62.2000,=62.2000,=84852936526.2,=44107633655.0,=18908419833.6,,=2.8260,,,,
2026-03-25,=62.6700,=62.6700,=62.6700,=62.6700,=85494108233.07,=44440922848.0,=19051296960.96,,=2.8473,,,,
2026-03-24,=62.3000,=62.3000,=62.3000,=62.3000,=84989356038.3,=44178546249.0,=18938819222.4,,=2.8305,,,,
2026-03-23,=60.7900,=60.7900,=60.7900,=60.7900,=82929421405.59,=43107766075.0,=18479788451.52,,=2.7619,,,,
2026-03-20,=62.5600,=62.5600,=62.5600,=62.5600,=85344046769.76,=44362918994.0,=19017857633.28,,=2.8423,,,,
2026-03-19,=62.8800,=62.8800,=62.8800,=62.8800,=85780589208.48,=44589839296.0,=19115135677.44,,=2.8569,,,,
2026-03-18,=63.1700,=63.1700,=63.1700,=63.1700,=86176205793.57,=44795485819.0,=19203293904.96,,=2.8700,,,,
2026-03-17,=63.8000,=63.8000,=63.8000,=63.8000,=87035648719.8,=45242235163.0,=19394810054.4,,=2.8987,,,,
2026-03-16,=63.8300,=63.8300,=63.8300,=63.8300,=87076574573.43,=45263508942.0,=19403929871.04,,=2.9000,,,,
2026-03-13,=63.4200,=63.4200,=63.4200,=63.4200,=86517254573.82,=44972767305.0,=19279292376.96,,=2.8814,,,,
2026-03-12,=63.2100,=63.2100,=63.2100,=63.2100,=86230773598.41,=44823850857.0,=19215453660.48,,=2.8719,,,,
2026-03-11,=63.0900,=63.0900,=63.0900,=63.0900,=86067070183.89,=44738755744.0,=19178974393.92,,=2.8664,,,,
2026-03-10,=62.9500,=62.9500,=62.9500,=62.9500,=85876082866.95,=44639478112.0,=19136415249.6,,=2.8601,,,,
2026-03-09,=62.2600,=62.2600,=62.2600,=62.2600,=84934788233.46,=44150181211.0,=18926659466.88,,=2.8287,,,,
