date,净利润率,毛利率(GM),总资产收益率(ROA),净资产收益率(ROE),资本回报率(ROIC)
2026-03-31,0.0325,0.2877,0.0199,0.0591,0.0512
2025-12-31,0.0416,0.3025,0.0262,0.0748,0.0641
2025-09-30,0.0444,0.3057,0.0283,0.0791,0.0642
2025-06-30,0.0591,0.3369,0.0365,0.1056,0.0752
2025-03-31,0.0652,0.3593,0.0378,0.1121,0.0802
2024-12-31,0.0689,0.3791,0.0409,0.1181,0.0871
2024-09-30,0.0747,0.3921,0.048,0.1338,0.0998
2024-06-30,0.0758,0.4019,0.0488,0.1418,0.1049
2024-03-31,0.0747,0.4096,0.0478,0.141,0.1012
2023-12-31,0.0744,0.4153,0.0484,0.1445,0.1015
2023-09-30,0.0739,0.4184,0.0479,0.1414,0.1033
2023-06-30,0.0697,0.4022,0.0472,0.143,0.0997
2023-03-31,0.0674,0.3877,0.0461,0.1428,0.0945
2022-12-31,0.0634,0.3719,0.0446,0.1381,0.0943
2022-09-30,0.0611,0.3581,0.0421,0.1356,0.0891
2022-06-30,0.058,0.3574,0.0407,0.1316,0.0856
2022-03-31,0.0601,0.3581,0.0417,0.1346,0.0845
2021-12-31,0.0614,0.3524,0.0441,0.1416,0.0943
2021-09-30,0.0693,0.3519,0.045,0.158,0.0915
2021-06-30,0.0647,0.3305,0.0419,0.1472,0.0907
2021-03-31,0.0565,0.3099,0.0398,0.1296,0.0847
2020-12-31,0.0465,0.3161,0.0324,0.1123,0.0766
2020-09-30,0.0415,0.327,0.0267,0.1018,0.0643
2020-06-30,0.0672,0.3431,0.041,0.1607,0.0969
2020-03-31,0.0608,0.37,0.0384,0.1422,0.0891
2019-12-31,0.0637,0.3717,0.0427,0.1629,0.101
2019-09-30,0.0569,0.3716,0.0382,0.1447,0.1052
2019-06-30,0.0302,0.3717,0.0209,0.081,0.0696
2019-03-31,-0.0066,0.3655,-0.0038,-0.0152,0.0269
2018-12-31,-0.0813,0.3291,-0.0509,-0.1774,-0.0864
2018-09-30,-0.0684,0.3139,-0.046,-0.1567,-0.0945
2018-06-30,-0.0532,0.2989,-0.0378,-0.1305,-0.0779
2018-03-31,-0.0112,0.3005,-0.0089,-0.0316,-0.0203
2017-12-31,0.0495,0.3107,0.0377,0.1249,0.0812
2017-09-30,-0.005,0.3081,-0.0038,-0.0118,-0.0078
2017-06-30,-0.0098,0.3048,-0.0077,-0.0242,-0.015
2017-03-31,-0.011,0.3029,-0.0083,-0.0271,-0.0173
2016-12-31,-0.0139,0.3075,-0.0107,-0.0334,-0.022
2016-09-30,0.0413,0.2989,0.0343,0.1046,0.0683
