date,市值(元),股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-06-02,173642316398.1,0.0113,38.8026,0.6977,-175.4082,26.2150,17.0876,1.2776,0.5162,1.5387,1.2642,0.9253,2.2643,0.3280,4.2977,2.7939,2.0868
2026-06-01,167902074533.7,0.0117,37.5199,0.6846,-175.4082,26.1010,17.0876,1.2353,0.4674,1.5387,1.2637,0.9247,2.1894,0.2804,4.2977,2.7939,2.0864
2026-05-29,175651401050.64,0.0112,39.2516,0.7051,-175.4082,25.8991,17.0828,1.2924,0.5322,1.5387,1.2634,0.9244,2.2905,0.3471,4.2977,2.7927,2.0853
2026-05-28,183209386172.1,0.0107,40.9405,0.7231,-175.4082,25.8728,17.0828,1.3480,0.5985,1.5387,1.2632,0.9244,2.3890,0.3813,4.2977,2.7930,2.0853
2026-05-27,166562684765.34,0.0118,37.2206,0.6825,-175.4082,25.8428,17.0828,1.2255,0.4589,1.5387,1.2630,0.9244,2.1720,0.2682,4.2977,2.7939,2.0853
2026-05-26,170006829883.98,0.0116,37.9902,0.6888,-175.4082,25.8067,17.0778,1.2508,0.4880,1.5387,1.2630,0.9243,2.2169,0.3002,4.2977,2.7939,2.0853
2026-05-25,173498810351.49,0.0113,38.7705,0.6985,-175.4082,25.7592,17.0759,1.2765,0.5154,1.5387,1.2630,0.9235,2.2624,0.3272,4.2977,2.7939,2.0846
2026-05-22,170485183372.68,0.0115,38.0971,0.6908,-175.4082,25.6161,17.0610,1.2543,0.4931,1.5387,1.2623,0.9230,2.2231,0.3054,4.2977,2.7927,2.0833
2026-05-21,166610520114.21,0.0118,37.2313,0.6843,-175.4082,25.6120,17.0610,1.2258,0.4609,1.5387,1.2623,0.9230,2.1726,0.2715,4.2977,2.7930,2.0833
2026-05-20,177851827098.66,0.0111,39.7433,0.7091,-175.4082,25.5894,17.0610,1.3085,0.5478,1.5387,1.2626,0.9230,2.3192,0.3587,4.2977,2.7939,2.0833
